#lineID, stationID, statusN, statusS, timestamp
0, 0, M, M, 9:40
0, 1, L, L, 9:40
0, 2, H, M, 9:40
0, 3, H, L, 9:40
0, 4, L, L, 9:40
0, 5, L, L, 9:40
0, 6, L, L, 9:40
0, 7, L, L, 9:40
0, 8, L, L, 9:40
0, 9, L, L, 9:40
0, 10, L, L, 9:40
0, 11, M, M, 9:40
0, 12, M, M, 9:40
0, 13, L, L, 9:40
0, 14, L, L, 9:40
0, 15, L, M, 9:40
0, 16, L, M, 9:40
0, 17, L, H, 9:40
0, 18, L, L, 9:40
0, 19, H, H, 9:40
0, 20, L, H, 9:40
0, 21, L, H, 9:40
0, 22, M, H, 9:40
0, 23, M, H, 9:40
0, 24, L, H, 9:40
0, 25, L, H, 9:40
0, 26, M, H, 9:40
0, 27, L, L, 9:40
0, 28, L, L, 9:40
0, 29, H, L, 9:40
0, 30, M, L, 9:40
0, 31, M, L, 9:40
0, 32, L, M, 9:40
0, 33, L, M, 9:40
0, 34, L, L, 9:40
0, 35, L, L, 9:40
0, 36, L, L, 9:40
1, 0, L, L, 9:35
1, 1, L, L, 9:35
1, 2, L, L, 9:35
1, 3, L, L, 9:35
1, 4, L, L, 9:35
1, 5, L, L, 9:35
1, 6, M, M, 9:35
1, 7, M, M, 9:35
1, 8, L, L, 9:35
1, 9, L, L, 9:35
1, 10, L, L, 9:35
1, 11, M, M, 9:35
2, 0, M, M, 9:39
2, 1, M, M, 9:39
2, 2, L, L, 9:39
2, 3, L, L, 9:39
2, 4, L, M, 9:39
2, 5, L, M, 9:39
2, 6, L, M, 9:39
2, 7, L, M, 9:39
2, 8, M, M, 9:39
2, 9, L, L, 9:39
2, 10, L, L, 9:39
2, 11, M, M, 9:39
2, 12, M, M, 9:39
2, 13, L, L, 9:39
2, 14, M, L, 9:39
2, 15, M, M, 9:39
2, 16, L, L, 9:39
2, 17, L, L, 9:39
2, 18, M, M, 9:39
2, 19, L, L, 9:39
2, 20, L, L, 9:39
2, 21, L, L, 9:39
2, 22, M, L, 9:39
2, 23, L, L, 9:39
2, 24, M, L, 9:39
3, 0, M, M, 9:39
3, 1, M, M, 9:39
3, 2, L, L, 9:39
3, 3, L, L, 9:39
3, 4, L, L, 9:39
3, 5, M, M, 9:39
3, 6, L, M, 9:39
3, 7, L, M, 9:39
4, 0, L, L, 9:39
4, 1, L, L, 9:39
4, 2, L, L, 9:39
4, 3, L, L, 9:39
4, 4, L, L, 9:39
4, 5, M, M, 9:39
4, 6, L, L, 9:39
4, 7, M, M, 9:39
4, 8, L, L, 9:39
4, 9, L, L, 9:39
4, 10, M, M, 9:39
4, 11, M, M, 9:39
4, 12, M, M, 9:39
4, 13, L, L, 9:39
4, 14, L, L, 9:39
4, 15, M, H, 9:39
4, 16, H, H, 9:39
4, 17, H, H, 9:39
4, 18, L, H, 9:39
5, 0, L, M, 9:39
5, 1, L, M, 9:39
5, 2, L, L, 9:39
5, 3, L, L, 9:39
5, 4, L, L, 9:39
5, 5, L, L, 9:39
5, 6, L, L, 9:39
5, 7, L, L, 9:39
5, 8, M, M, 9:39
5, 9, M, L, 9:39
5, 10, M, L, 9:39
5, 11, M, L, 9:39
5, 12, L, L, 9:39
5, 13, M, L, 9:39
5, 14, L, L, 9:39
6, 0, M, L, 9:39
6, 1, M, M, 9:39
6, 2, L, L, 9:39
6, 3, L, L, 9:39
6, 4, L, L, 9:39
6, 5, M, M, 9:39
6, 6, L, L, 9:39
7, 0, L, L, 9:39
7, 1, M, M, 9:39
7, 2, L, L, 9:39
7, 3, L, L, 9:39
7, 4, L, L, 9:39
7, 5, L, L, 9:39
7, 6, M, M, 9:39
7, 7, M, L, 9:39
7, 8, M, L, 9:39
7, 9, M, M, 9:39
7, 10, L, M, 9:39
7, 11, L, M, 9:39
8, 0, L, L, 9:39
8, 1, L, L, 9:39
8, 2, L, L, 9:39
8, 3, L, L, 9:39
8, 4, L, L, 9:39
8, 5, L, L, 9:39
8, 6, L, L, 9:39
