#lineID, stationID, statusN, statusS, timestamp
0, 0, M, M, 6:27
0, 1, L, L, 6:27
0, 2, M, L, 6:27
0, 3, L, L, 6:27
0, 4, M, L, 6:27
0, 5, L, L, 6:27
0, 6, L, L, 6:27
0, 7, L, L, 6:27
0, 8, H, L, 6:27
0, 9, H, L, 6:27
0, 10, H, L, 6:27
0, 11, H, M, 6:27
0, 12, H, L, 6:27
0, 13, H, L, 6:27
0, 14, H, L, 6:27
0, 15, H, H, 6:27
0, 16, H, H, 6:27
0, 17, H, H, 6:27
0, 18, L, L, 6:27
0, 19, L, H, 6:27
0, 20, L, H, 6:27
0, 21, L, H, 6:27
0, 22, M, H, 6:27
0, 23, M, H, 6:27
0, 24, L, H, 6:27
0, 25, M, H, 6:27
0, 26, M, H, 6:27
0, 27, L, L, 6:27
0, 28, L, L, 6:27
0, 29, M, L, 6:27
0, 30, M, L, 6:27
0, 31, M, L, 6:27
0, 32, L, M, 6:27
0, 33, L, M, 6:27
0, 34, L, L, 6:27
0, 35, L, L, 6:27
0, 36, L, L, 6:27
1, 0, L, M, 6:27
1, 1, L, L, 6:27
1, 2, L, M, 6:27
1, 3, L, L, 6:27
1, 4, L, L, 6:27
1, 5, L, L, 6:27
1, 6, M, M, 6:27
1, 7, M, M, 6:27
1, 8, M, L, 6:27
1, 9, L, L, 6:27
1, 10, L, L, 6:27
1, 11, M, L, 6:27
2, 0, M, M, 6:27
2, 1, M, M, 6:27
2, 2, L, L, 6:27
2, 3, M, M, 6:27
2, 4, M, M, 6:27
2, 5, L, M, 6:27
2, 6, L, M, 6:27
2, 7, L, M, 6:27
2, 8, M, M, 6:27
2, 9, L, L, 6:27
2, 10, L, L, 6:27
2, 11, M, M, 6:27
2, 12, M, M, 6:27
2, 13, L, L, 6:27
2, 14, M, L, 6:27
2, 15, M, M, 6:27
2, 16, L, M, 6:27
2, 17, L, L, 6:27
2, 18, M, M, 6:27
2, 19, L, L, 6:27
2, 20, L, L, 6:27
2, 21, L, L, 6:27
2, 22, M, L, 6:27
2, 23, M, L, 6:27
2, 24, M, L, 6:27
3, 0, M, M, 6:27
3, 1, M, M, 6:27
3, 2, M, M, 6:27
3, 3, L, M, 6:27
3, 4, M, M, 6:27
3, 5, M, M, 6:27
3, 6, L, M, 6:27
3, 7, L, M, 6:27
4, 0, L, L, 6:27
4, 1, L, L, 6:27
4, 2, L, L, 6:27
4, 3, L, L, 6:27
4, 4, H, L, 6:27
4, 5, H, H, 6:27
4, 6, L, H, 6:27
4, 7, M, H, 6:27
4, 8, L, L, 6:27
4, 9, M, L, 6:27
4, 10, M, M, 6:27
4, 11, M, M, 6:27
4, 12, M, M, 6:27
4, 13, L, L, 6:27
4, 14, L, L, 6:27
4, 15, M, M, 6:27
4, 16, M, H, 6:27
4, 17, L, H, 6:27
4, 18, L, M, 6:27
5, 0, M, M, 6:27
5, 1, M, M, 6:27
5, 2, M, M, 6:27
5, 3, L, L, 6:27
5, 4, L, L, 6:27
5, 5, L, H, 6:27
5, 6, M, H, 6:27
5, 7, M, H, 6:27
5, 8, H, H, 6:27
5, 9, H, H, 6:27
5, 10, H, H, 6:27
5, 11, H, M, 6:27
5, 12, L, M, 6:27
5, 13, M, L, 6:27
5, 14, L, L, 6:27
6, 0, H, L, 6:25
6, 1, H, M, 6:25
6, 2, H, L, 6:25
6, 3, L, L, 6:25
6, 4, L, L, 6:25
6, 5, M, M, 6:25
6, 6, L, L, 6:25
7, 0, L, L, 6:25
7, 1, M, M, 6:25
7, 2, L, L, 6:25
7, 3, M, L, 6:25
7, 4, M, M, 6:25
7, 5, M, M, 6:25
7, 6, L, M, 6:25
7, 7, M, L, 6:25
7, 8, M, L, 6:25
7, 9, M, M, 6:25
7, 10, L, L, 6:25
7, 11, L, L, 6:25
8, 0, L, L, 6:25
8, 1, H, L, 6:25
8, 2, L, L, 6:25
8, 3, L, L, 6:25
8, 4, L, L, 6:25
8, 5, L, L, 6:25
8, 6, L, L, 6:25
