#lineID, stationID, statusN, statusS, timestamp
0, 0, M, L, 8:07
0, 1, L, L, 8:07
0, 2, M, H, 8:07
0, 3, L, H, 8:07
0, 4, H, H, 8:07
0, 5, H, H, 8:07
0, 6, L, L, 8:07
0, 7, L, L, 8:07
0, 8, L, L, 8:07
0, 9, L, L, 8:07
0, 10, M, H, 8:07
0, 11, M, H, 8:07
0, 12, L, H, 8:07
0, 13, L, L, 8:07
0, 14, L, L, 8:07
0, 15, L, H, 8:07
0, 16, M, H, 8:07
0, 17, L, H, 8:07
0, 18, L, H, 8:07
0, 19, L, H, 8:07
0, 20, L, H, 8:07
0, 21, L, H, 8:07
0, 22, L, H, 8:07
0, 23, L, H, 8:07
0, 24, L, H, 8:07
0, 25, L, H, 8:07
0, 26, H, H, 8:07
0, 27, H, H, 8:07
0, 28, H, H, 8:07
0, 29, H, H, 8:07
0, 30, H, H, 8:07
0, 31, H, L, 8:07
0, 32, M, H, 8:07
0, 33, L, H, 8:07
0, 34, L, L, 8:07
0, 35, L, L, 8:07
0, 36, L, L, 8:07
1, 0, L, M, 8:07
1, 1, L, L, 8:07
1, 2, L, M, 8:07
1, 3, L, M, 8:07
1, 4, L, L, 8:07
1, 5, L, L, 8:07
1, 6, M, M, 8:07
1, 7, M, M, 8:07
1, 8, L, L, 8:07
1, 9, L, L, 8:07
1, 10, L, L, 8:07
1, 11, M, M, 8:07
2, 0, H, H, 8:07
2, 1, M, H, 8:07
2, 2, L, H, 8:07
2, 3, L, H, 8:07
2, 4, M, H, 8:07
2, 5, M, H, 8:07
2, 6, M, H, 8:07
2, 7, L, H, 8:07
2, 8, M, H, 8:07
2, 9, L, H, 8:07
2, 10, L, H, 8:07
2, 11, M, H, 8:07
2, 12, M, L, 8:07
2, 13, L, L, 8:07
2, 14, M, L, 8:07
2, 15, H, H, 8:07
2, 16, M, H, 8:07
2, 17, M, M, 8:07
2, 18, M, M, 8:07
2, 19, L, L, 8:07
2, 20, M, L, 8:07
2, 21, M, L, 8:07
2, 22, L, M, 8:07
2, 23, L, M, 8:07
2, 24, L, M, 8:07
3, 0, M, M, 8:07
3, 1, M, M, 8:07
3, 2, M, M, 8:07
3, 3, M, L, 8:07
3, 4, M, L, 8:07
3, 5, M, M, 8:07
3, 6, L, M, 8:07
3, 7, L, M, 8:07
4, 0, L, L, 8:07
4, 1, L, L, 8:07
4, 2, H, L, 8:07
4, 3, H, L, 8:07
4, 4, H, M, 8:07
4, 5, H, H, 8:07
4, 6, M, H, 8:07
4, 7, L, H, 8:07
4, 8, L, L, 8:07
4, 9, L, L, 8:07
4, 10, M, M, 8:07
4, 11, M, M, 8:07
4, 12, M, M, 8:07
4, 13, L, L, 8:07
4, 14, M, M, 8:07
4, 15, H, M, 8:07
4, 16, H, H, 8:07
4, 17, H, H, 8:07
4, 18, M, H, 8:07
5, 0, M, M, 8:07
5, 1, M, M, 8:07
5, 2, L, L, 8:07
5, 3, L, L, 8:07
5, 4, L, L, 8:07
5, 5, L, L, 8:07
5, 6, H, L, 8:07
5, 7, H, L, 8:07
5, 8, H, M, 8:07
5, 9, H, M, 8:07
5, 10, H, M, 8:07
5, 11, H, M, 8:07
5, 12, L, M, 8:07
5, 13, L, M, 8:07
5, 14, M, L, 8:07
6, 0, M, L, 8:07
6, 1, M, L, 8:07
6, 2, L, L, 8:07
6, 3, L, L, 8:07
6, 4, L, L, 8:07
6, 5, M, M, 8:07
6, 6, M, M, 8:07
7, 0, M, M, 8:07
7, 1, M, H, 8:07
7, 2, M, H, 8:07
7, 3, M, H, 8:07
7, 4, H, H, 8:07
7, 5, H, H, 8:07
7, 6, H, H, 8:07
7, 7, L, H, 8:07
7, 8, H, H, 8:07
7, 9, H, H, 8:07
7, 10, L, H, 8:07
7, 11, M, L, 8:07
8, 0, L, H, 8:07
8, 1, L, H, 8:07
8, 2, L, L, 8:07
8, 3, L, L, 8:07
8, 4, L, L, 8:07
8, 5, H, L, 8:07
8, 6, H, L, 8:07
