#lineID, stationID, statusN, statusS, timestamp
0, 0, M, L, 5:44
0, 1, L, L, 5:44
0, 2, M, M, 5:44
0, 3, L, L, 5:44
0, 4, M, M, 5:44
0, 5, M, M, 5:44
0, 6, L, L, 5:44
0, 7, L, L, 5:44
0, 8, H, L, 5:44
0, 9, H, L, 5:44
0, 10, H, L, 5:44
0, 11, H, M, 5:44
0, 12, L, M, 5:44
0, 13, L, L, 5:44
0, 14, L, L, 5:44
0, 15, L, L, 5:44
0, 16, L, M, 5:44
0, 17, L, L, 5:44
0, 18, L, L, 5:44
0, 19, L, H, 5:44
0, 20, L, H, 5:44
0, 21, L, H, 5:44
0, 22, L, H, 5:44
0, 23, L, M, 5:44
0, 24, L, L, 5:44
0, 25, L, L, 5:44
0, 26, L, L, 5:44
0, 27, L, L, 5:44
0, 28, M, L, 5:44
0, 29, M, M, 5:44
0, 30, M, L, 5:44
0, 31, M, L, 5:44
0, 32, L, H, 5:44
0, 33, L, H, 5:44
0, 34, L, L, 5:44
0, 35, L, L, 5:44
0, 36, L, L, 5:44
1, 0, L, M, 5:41
1, 1, L, M, 5:41
1, 2, L, L, 5:41
1, 3, L, L, 5:41
1, 4, L, L, 5:41
1, 5, L, L, 5:41
1, 6, M, M, 5:41
1, 7, M, M, 5:41
1, 8, L, L, 5:41
1, 9, L, L, 5:41
1, 10, L, L, 5:41
1, 11, L, M, 5:41
2, 0, M, M, 5:41
2, 1, L, L, 5:41
2, 2, L, L, 5:41
2, 3, L, M, 5:41
2, 4, M, M, 5:41
2, 5, L, L, 5:41
2, 6, L, L, 5:41
2, 7, M, M, 5:41
2, 8, M, M, 5:41
2, 9, L, L, 5:41
2, 10, L, L, 5:41
2, 11, M, M, 5:41
2, 12, M, M, 5:41
2, 13, L, L, 5:41
2, 14, M, L, 5:41
2, 15, M, M, 5:41
2, 16, L, M, 5:41
2, 17, L, L, 5:41
2, 18, M, M, 5:41
2, 19, L, L, 5:41
2, 20, M, M, 5:41
2, 21, L, L, 5:41
2, 22, L, L, 5:41
2, 23, M, L, 5:41
2, 24, M, M, 5:41
3, 0, L, L, 5:42
3, 1, L, M, 5:42
3, 2, L, M, 5:42
3, 3, M, M, 5:42
3, 4, M, L, 5:42
3, 5, M, M, 5:42
3, 6, L, M, 5:42
3, 7, M, M, 5:42
4, 0, L, L, 5:45
4, 1, L, L, 5:45
4, 2, M, M, 5:45
4, 3, L, L, 5:45
4, 4, L, L, 5:45
4, 5, M, M, 5:45
4, 6, L, M, 5:45
4, 7, L, L, 5:45
4, 8, L, L, 5:45
4, 9, H, L, 5:45
4, 10, H, M, 5:45
4, 11, H, M, 5:45
4, 12, L, L, 5:45
4, 13, L, L, 5:45
4, 14, L, L, 5:45
4, 15, L, M, 5:45
4, 16, M, H, 5:45
4, 17, L, H, 5:45
4, 18, M, H, 5:45
5, 0, M, M, 5:42
5, 1, M, M, 5:42
5, 2, L, L, 5:42
5, 3, L, L, 5:42
5, 4, M, M, 5:42
5, 5, L, L, 5:42
5, 6, L, L, 5:42
5, 7, M, L, 5:42
5, 8, M, L, 5:42
5, 9, M, M, 5:42
5, 10, M, M, 5:42
5, 11, L, L, 5:42
5, 12, L, L, 5:42
5, 13, L, L, 5:42
5, 14, M, L, 5:42
6, 0, M, L, 5:42
6, 1, M, L, 5:42
6, 2, L, L, 5:42
6, 3, L, L, 5:42
6, 4, L, L, 5:42
6, 5, M, M, 5:42
6, 6, L, L, 5:42
7, 0, L, L, 5:42
7, 1, M, M, 5:42
7, 2, L, L, 5:42
7, 3, L, L, 5:42
7, 4, L, L, 5:42
7, 5, M, L, 5:42
7, 6, M, M, 5:42
7, 7, L, L, 5:42
7, 8, L, L, 5:42
7, 9, M, M, 5:42
7, 10, L, M, 5:42
7, 11, L, L, 5:42
8, 0, L, L, 5:53
8, 1, L, L, 5:53
8, 2, L, L, 5:53
8, 3, L, L, 5:53
8, 4, L, L, 5:53
8, 5, L, L, 5:53
8, 6, L, L, 5:53
