#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 2:54
0, 1, L, L, 2:54
0, 2, L, L, 2:54
0, 3, L, L, 2:54
0, 4, L, L, 2:54
0, 5, L, L, 2:54
0, 6, L, L, 2:54
0, 7, L, L, 2:54
0, 8, L, L, 2:54
0, 9, L, L, 2:54
0, 10, L, L, 2:54
0, 11, L, L, 2:54
0, 12, L, L, 2:54
0, 13, L, L, 2:54
0, 14, L, L, 2:54
0, 15, L, L, 2:54
0, 16, L, L, 2:54
0, 17, L, L, 2:54
0, 18, L, L, 2:54
0, 19, L, L, 2:54
0, 20, L, L, 2:54
0, 21, L, L, 2:54
0, 22, L, L, 2:54
0, 23, L, L, 2:54
0, 24, L, L, 2:54
0, 25, L, L, 2:54
0, 26, L, L, 2:54
0, 27, L, L, 2:54
0, 28, L, L, 2:54
0, 29, L, M, 2:54
0, 30, L, L, 2:54
0, 31, L, L, 2:54
0, 32, L, L, 2:54
0, 33, L, L, 2:54
0, 34, L, L, 2:54
0, 35, L, L, 2:54
0, 36, L, L, 2:54
1, 0, L, L, 1:28
1, 1, L, L, 1:28
1, 2, L, L, 1:28
1, 3, L, L, 1:28
1, 4, L, L, 1:28
1, 5, L, L, 1:28
1, 6, M, M, 1:28
1, 7, M, M, 1:28
1, 8, L, L, 1:28
1, 9, L, L, 1:28
1, 10, L, L, 1:28
1, 11, L, L, 1:28
2, 0, M, M, 1:28
2, 1, L, L, 1:28
2, 2, L, L, 1:28
2, 3, L, L, 1:28
2, 4, M, M, 1:28
2, 5, L, L, 1:28
2, 6, L, L, 1:28
2, 7, L, L, 1:28
2, 8, M, M, 1:28
2, 9, L, L, 1:28
2, 10, L, L, 1:28
2, 11, L, M, 1:28
2, 12, L, M, 1:28
2, 13, L, L, 1:28
2, 14, L, L, 1:28
2, 15, M, M, 1:28
2, 16, L, L, 1:28
2, 17, L, L, 1:28
2, 18, M, M, 1:28
2, 19, L, L, 1:28
2, 20, M, M, 1:28
2, 21, L, L, 1:28
2, 22, L, L, 1:28
2, 23, L, L, 1:28
2, 24, M, M, 1:28
3, 0, L, L, 1:28
3, 1, L, L, 1:28
3, 2, L, L, 1:28
3, 3, L, L, 1:28
3, 4, L, L, 1:28
3, 5, L, L, 1:28
3, 6, L, L, 1:28
3, 7, L, L, 1:28
4, 0, M, M, 1:28
4, 1, L, L, 1:28
4, 2, L, L, 1:28
4, 3, L, L, 1:28
4, 4, L, L, 1:28
4, 5, M, L, 1:28
4, 6, M, L, 1:28
4, 7, L, L, 1:28
4, 8, L, L, 1:28
4, 9, L, M, 1:28
4, 10, L, L, 1:28
4, 11, L, L, 1:28
4, 12, M, L, 1:28
4, 13, L, L, 1:28
4, 14, L, L, 1:28
4, 15, L, M, 1:28
4, 16, L, L, 1:28
4, 17, L, L, 1:28
4, 18, L, L, 1:28
5, 0, L, L, 1:29
5, 1, L, L, 1:29
5, 2, L, L, 1:29
5, 3, L, L, 1:29
5, 4, L, L, 1:29
5, 5, L, L, 1:29
5, 6, L, L, 1:29
5, 7, L, L, 1:29
5, 8, L, L, 1:29
5, 9, L, L, 1:29
5, 10, L, L, 1:29
5, 11, L, L, 1:29
5, 12, L, L, 1:29
5, 13, L, L, 1:29
5, 14, L, L, 1:29
6, 0, L, L, 1:29
6, 1, L, L, 1:29
6, 2, L, L, 1:29
6, 3, L, L, 1:29
6, 4, L, L, 1:29
6, 5, L, L, 1:29
6, 6, L, L, 1:29
7, 0, M, M, 1:29
7, 1, L, L, 1:29
7, 2, L, L, 1:29
7, 3, L, L, 1:29
7, 4, L, L, 1:29
7, 5, L, L, 1:29
7, 6, L, L, 1:29
7, 7, L, L, 1:29
7, 8, L, L, 1:29
7, 9, L, L, 1:29
7, 10, L, L, 1:29
7, 11, M, M, 1:29
8, 0, L, L, 2:05
8, 1, L, L, 2:05
8, 2, L, L, 2:05
8, 3, L, L, 2:05
8, 4, L, L, 2:05
8, 5, L, L, 2:05
8, 6, L, L, 2:05
