#lineID, stationID, statusN, statusS, timestamp
0, 0, M, M, 9:13
0, 1, L, M, 9:13
0, 2, M, H, 9:13
0, 3, L, H, 9:13
0, 4, M, L, 9:13
0, 5, M, M, 9:13
0, 6, L, L, 9:13
0, 7, L, L, 9:13
0, 8, L, L, 9:13
0, 9, M, L, 9:13
0, 10, L, H, 9:13
0, 11, L, H, 9:13
0, 12, M, H, 9:13
0, 13, M, M, 9:13
0, 14, L, M, 9:13
0, 15, M, H, 9:13
0, 16, M, H, 9:13
0, 17, M, M, 9:13
0, 18, L, L, 9:13
0, 19, M, H, 9:13
0, 20, M, H, 9:13
0, 21, M, H, 9:13
0, 22, M, H, 9:13
0, 23, M, H, 9:13
0, 24, M, M, 9:13
0, 25, M, M, 9:13
0, 26, H, M, 9:13
0, 27, H, M, 9:13
0, 28, H, M, 9:13
0, 29, H, L, 9:13
0, 30, L, L, 9:13
0, 31, L, L, 9:13
0, 32, M, M, 9:13
0, 33, M, M, 9:13
0, 34, L, L, 9:13
0, 35, L, L, 9:13
0, 36, L, L, 9:13
1, 0, M, M, 9:11
1, 1, M, M, 9:11
1, 2, L, M, 9:11
1, 3, L, M, 9:11
1, 4, L, H, 9:11
1, 5, L, H, 9:11
1, 6, H, H, 9:11
1, 7, H, H, 9:11
1, 8, L, L, 9:11
1, 9, L, L, 9:11
1, 10, L, L, 9:11
1, 11, H, H, 9:11
2, 0, H, H, 9:11
2, 1, H, H, 9:11
2, 2, L, L, 9:11
2, 3, L, L, 9:11
2, 4, M, M, 9:11
2, 5, M, M, 9:11
2, 6, M, M, 9:11
2, 7, M, M, 9:11
2, 8, M, M, 9:11
2, 9, L, L, 9:11
2, 10, L, L, 9:11
2, 11, M, M, 9:11
2, 12, M, M, 9:11
2, 13, L, L, 9:11
2, 14, M, L, 9:11
2, 15, M, M, 9:11
2, 16, L, L, 9:11
2, 17, M, M, 9:11
2, 18, M, M, 9:11
2, 19, L, L, 9:11
2, 20, M, M, 9:11
2, 21, L, L, 9:11
2, 22, M, L, 9:11
2, 23, M, L, 9:11
2, 24, M, M, 9:11
3, 0, M, M, 9:12
3, 1, M, M, 9:12
3, 2, M, M, 9:12
3, 3, M, M, 9:12
3, 4, M, M, 9:12
3, 5, M, M, 9:12
3, 6, L, M, 9:12
3, 7, L, M, 9:12
4, 0, L, L, 9:12
4, 1, L, L, 9:12
4, 2, M, M, 9:12
4, 3, M, M, 9:12
4, 4, M, H, 9:12
4, 5, H, H, 9:12
4, 6, M, H, 9:12
4, 7, L, H, 9:12
4, 8, L, L, 9:12
4, 9, L, L, 9:12
4, 10, M, M, 9:12
4, 11, M, M, 9:12
4, 12, M, M, 9:12
4, 13, L, L, 9:12
4, 14, L, L, 9:12
4, 15, H, H, 9:12
4, 16, H, H, 9:12
4, 17, H, H, 9:12
4, 18, H, H, 9:12
5, 0, M, M, 9:12
5, 1, M, M, 9:12
5, 2, L, M, 9:12
5, 3, L, L, 9:12
5, 4, L, L, 9:12
5, 5, L, L, 9:12
5, 6, H, L, 9:12
5, 7, H, L, 9:12
5, 8, M, M, 9:12
5, 9, M, M, 9:12
5, 10, L, M, 9:12
5, 11, L, L, 9:12
5, 12, L, M, 9:12
5, 13, M, M, 9:12
5, 14, M, L, 9:12
6, 0, M, L, 9:12
6, 1, M, M, 9:12
6, 2, M, L, 9:12
6, 3, L, L, 9:12
6, 4, L, L, 9:12
6, 5, M, M, 9:12
6, 6, M, M, 9:12
7, 0, M, M, 9:12
7, 1, M, M, 9:12
7, 2, L, L, 9:12
7, 3, L, L, 9:12
7, 4, L, L, 9:12
7, 5, L, L, 9:12
7, 6, M, M, 9:12
7, 7, L, L, 9:12
7, 8, L, L, 9:12
7, 9, H, H, 9:12
7, 10, H, H, 9:12
7, 11, M, M, 9:12
8, 0, L, L, 9:12
8, 1, L, L, 9:12
8, 2, L, L, 9:12
8, 3, L, L, 9:12
8, 4, L, L, 9:12
8, 5, L, L, 9:12
8, 6, L, L, 9:12
