#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 8:16
0, 1, L, L, 8:16
0, 2, M, M, 8:16
0, 3, L, L, 8:16
0, 4, M, M, 8:16
0, 5, M, M, 8:16
0, 6, L, L, 8:16
0, 7, L, L, 8:16
0, 8, L, L, 8:16
0, 9, L, L, 8:16
0, 10, L, H, 8:16
0, 11, M, H, 8:16
0, 12, L, H, 8:16
0, 13, L, H, 8:16
0, 14, L, H, 8:16
0, 15, L, H, 8:16
0, 16, L, H, 8:16
0, 17, L, H, 8:16
0, 18, L, H, 8:16
0, 19, L, H, 8:16
0, 20, L, H, 8:16
0, 21, L, H, 8:16
0, 22, L, H, 8:16
0, 23, L, H, 8:16
0, 24, L, H, 8:16
0, 25, M, H, 8:16
0, 26, M, H, 8:16
0, 27, L, H, 8:16
0, 28, L, L, 8:16
0, 29, L, L, 8:16
0, 30, L, L, 8:16
0, 31, M, L, 8:16
0, 32, M, H, 8:16
0, 33, L, H, 8:16
0, 34, L, M, 8:16
0, 35, L, L, 8:16
0, 36, L, L, 8:16
1, 0, L, L, 8:05
1, 1, L, L, 8:05
1, 2, M, M, 8:05
1, 3, M, L, 8:05
1, 4, L, M, 8:05
1, 5, L, L, 8:05
1, 6, M, M, 8:05
1, 7, M, M, 8:05
1, 8, L, L, 8:05
1, 9, L, L, 8:05
1, 10, L, L, 8:05
1, 11, M, M, 8:05
2, 0, M, M, 8:16
2, 1, M, M, 8:16
2, 2, L, L, 8:16
2, 3, L, L, 8:16
2, 4, M, M, 8:16
2, 5, M, M, 8:16
2, 6, M, M, 8:16
2, 7, L, M, 8:16
2, 8, L, M, 8:16
2, 9, L, L, 8:16
2, 10, L, L, 8:16
2, 11, L, L, 8:16
2, 12, L, L, 8:16
2, 13, L, L, 8:16
2, 14, M, L, 8:16
2, 15, M, M, 8:16
2, 16, L, M, 8:16
2, 17, L, L, 8:16
2, 18, L, L, 8:16
2, 19, L, L, 8:16
2, 20, L, L, 8:16
2, 21, L, L, 8:16
2, 22, L, L, 8:16
2, 23, M, L, 8:16
2, 24, M, M, 8:16
3, 0, M, M, 8:16
3, 1, M, M, 8:16
3, 2, M, M, 8:16
3, 3, M, L, 8:16
3, 4, M, M, 8:16
3, 5, M, M, 8:16
3, 6, L, M, 8:16
3, 7, M, M, 8:16
4, 0, L, L, 8:06
4, 1, L, L, 8:06
4, 2, L, L, 8:06
4, 3, L, L, 8:06
4, 4, H, L, 8:06
4, 5, H, H, 8:06
4, 6, H, H, 8:06
4, 7, L, H, 8:06
4, 8, M, L, 8:06
4, 9, L, L, 8:06
4, 10, H, M, 8:06
4, 11, H, M, 8:06
4, 12, H, L, 8:06
4, 13, L, L, 8:06
4, 14, L, H, 8:06
4, 15, L, H, 8:06
4, 16, M, H, 8:06
4, 17, L, H, 8:06
4, 18, L, H, 8:06
5, 0, L, M, 8:06
5, 1, M, M, 8:06
5, 2, L, M, 8:06
5, 3, L, L, 8:06
5, 4, L, L, 8:06
5, 5, M, M, 8:06
5, 6, L, L, 8:06
5, 7, H, L, 8:06
5, 8, H, M, 8:06
5, 9, H, M, 8:06
5, 10, H, L, 8:06
5, 11, M, L, 8:06
5, 12, L, L, 8:06
5, 13, L, L, 8:06
5, 14, L, L, 8:06
6, 0, M, H, 8:16
6, 1, M, H, 8:16
6, 2, L, M, 8:16
6, 3, L, L, 8:16
6, 4, L, L, 8:16
6, 5, M, M, 8:16
6, 6, M, M, 8:16
7, 0, M, M, 8:16
7, 1, L, L, 8:16
7, 2, L, L, 8:16
7, 3, L, L, 8:16
7, 4, L, L, 8:16
7, 5, M, L, 8:16
7, 6, M, M, 8:16
7, 7, L, M, 8:16
7, 8, L, M, 8:16
7, 9, H, H, 8:16
7, 10, H, H, 8:16
7, 11, M, M, 8:16
8, 0, L, L, 8:03
8, 1, L, L, 8:03
8, 2, L, L, 8:03
8, 3, L, L, 8:03
8, 4, L, L, 8:03
8, 5, L, L, 8:03
8, 6, L, L, 8:03
