#lineID, stationID, statusN, statusS, timestamp
0, 0, M, L, 5:14
0, 1, L, L, 5:14
0, 2, M, M, 5:14
0, 3, L, L, 5:14
0, 4, M, M, 5:14
0, 5, M, M, 5:14
0, 6, L, L, 5:14
0, 7, L, L, 5:14
0, 8, L, L, 5:14
0, 9, L, L, 5:14
0, 10, M, H, 5:14
0, 11, H, H, 5:14
0, 12, H, H, 5:14
0, 13, H, H, 5:14
0, 14, H, H, 5:14
0, 15, H, H, 5:14
0, 16, H, H, 5:14
0, 17, H, H, 5:14
0, 18, L, L, 5:14
0, 19, L, H, 5:14
0, 20, L, H, 5:14
0, 21, H, H, 5:14
0, 22, H, H, 5:14
0, 23, H, H, 5:14
0, 24, H, H, 5:14
0, 25, H, H, 5:14
0, 26, H, H, 5:14
0, 27, H, H, 5:14
0, 28, H, H, 5:14
0, 29, H, H, 5:14
0, 30, L, L, 5:14
0, 31, M, L, 5:14
0, 32, M, H, 5:14
0, 33, L, H, 5:14
0, 34, L, L, 5:14
0, 35, L, L, 5:14
0, 36, L, L, 5:14
1, 0, L, L, 5:10
1, 1, L, L, 5:10
1, 2, L, M, 5:10
1, 3, L, L, 5:10
1, 4, L, L, 5:10
1, 5, L, L, 5:10
1, 6, M, M, 5:10
1, 7, M, M, 5:10
1, 8, L, L, 5:10
1, 9, L, L, 5:10
1, 10, L, L, 5:10
1, 11, M, M, 5:10
2, 0, M, M, 5:10
2, 1, M, M, 5:10
2, 2, L, L, 5:10
2, 3, L, L, 5:10
2, 4, M, M, 5:10
2, 5, M, M, 5:10
2, 6, M, M, 5:10
2, 7, L, M, 5:10
2, 8, L, M, 5:10
2, 9, L, L, 5:10
2, 10, M, L, 5:10
2, 11, M, M, 5:10
2, 12, L, M, 5:10
2, 13, L, L, 5:10
2, 14, M, M, 5:10
2, 15, M, M, 5:10
2, 16, M, L, 5:10
2, 17, L, L, 5:10
2, 18, M, M, 5:10
2, 19, L, L, 5:10
2, 20, L, L, 5:10
2, 21, L, L, 5:10
2, 22, L, L, 5:10
2, 23, M, M, 5:10
2, 24, M, M, 5:10
3, 0, L, M, 5:10
3, 1, M, M, 5:10
3, 2, M, M, 5:10
3, 3, L, L, 5:10
3, 4, L, L, 5:10
3, 5, M, M, 5:10
3, 6, L, M, 5:10
3, 7, L, M, 5:10
4, 0, M, M, 5:17
4, 1, M, L, 5:17
4, 2, M, L, 5:17
4, 3, M, L, 5:17
4, 4, H, H, 5:17
4, 5, H, H, 5:17
4, 6, H, M, 5:17
4, 7, H, M, 5:17
4, 8, L, L, 5:17
4, 9, H, L, 5:17
4, 10, H, H, 5:17
4, 11, H, H, 5:17
4, 12, H, H, 5:17
4, 13, H, L, 5:17
4, 14, H, H, 5:17
4, 15, H, H, 5:17
4, 16, H, M, 5:17
4, 17, L, M, 5:17
4, 18, L, M, 5:17
5, 0, M, M, 5:17
5, 1, M, M, 5:17
5, 2, L, M, 5:17
5, 3, L, L, 5:17
5, 4, M, L, 5:17
5, 5, L, L, 5:17
5, 6, H, L, 5:17
5, 7, H, L, 5:17
5, 8, H, M, 5:17
5, 9, H, M, 5:17
5, 10, H, M, 5:17
5, 11, M, M, 5:17
5, 12, L, L, 5:17
5, 13, L, L, 5:17
5, 14, L, L, 5:17
6, 0, L, H, 5:17
6, 1, L, H, 5:17
6, 2, L, H, 5:17
6, 3, L, L, 5:17
6, 4, L, L, 5:17
6, 5, M, M, 5:17
6, 6, M, M, 5:17
7, 0, L, H, 5:17
7, 1, L, H, 5:17
7, 2, M, H, 5:17
7, 3, L, H, 5:17
7, 4, L, H, 5:17
7, 5, M, H, 5:17
7, 6, M, H, 5:17
7, 7, L, H, 5:17
7, 8, L, H, 5:17
7, 9, M, H, 5:17
7, 10, M, H, 5:17
7, 11, M, L, 5:17
8, 0, L, H, 5:17
8, 1, L, H, 5:17
8, 2, L, M, 5:17
8, 3, L, L, 5:17
8, 4, L, H, 5:17
8, 5, L, L, 5:17
8, 6, L, L, 5:17
