#lineID, stationID, statusN, statusS, timestamp
0, 0, M, M, 5:01
0, 1, L, L, 5:01
0, 2, M, M, 5:01
0, 3, L, L, 5:01
0, 4, L, L, 5:01
0, 5, L, L, 5:01
0, 6, L, L, 5:01
0, 7, H, L, 5:01
0, 8, H, L, 5:01
0, 9, H, L, 5:01
0, 10, H, M, 5:01
0, 11, H, M, 5:01
0, 12, H, L, 5:01
0, 13, H, L, 5:01
0, 14, H, M, 5:01
0, 15, H, H, 5:01
0, 16, H, H, 5:01
0, 17, H, H, 5:01
0, 18, L, H, 5:01
0, 19, L, H, 5:01
0, 20, L, H, 5:01
0, 21, M, H, 5:01
0, 22, M, H, 5:01
0, 23, L, H, 5:01
0, 24, M, H, 5:01
0, 25, H, H, 5:01
0, 26, H, H, 5:01
0, 27, H, H, 5:01
0, 28, H, H, 5:01
0, 29, H, H, 5:01
0, 30, H, M, 5:01
0, 31, H, L, 5:01
0, 32, L, H, 5:01
0, 33, L, H, 5:01
0, 34, L, L, 5:01
0, 35, L, L, 5:01
0, 36, L, L, 5:01
1, 0, L, L, 4:55
1, 1, M, L, 4:55
1, 2, M, M, 4:55
1, 3, L, L, 4:55
1, 4, L, L, 4:55
1, 5, L, L, 4:55
1, 6, M, M, 4:55
1, 7, M, M, 4:55
1, 8, L, L, 4:55
1, 9, L, L, 4:55
1, 10, L, L, 4:55
1, 11, M, M, 4:55
2, 0, M, M, 4:55
2, 1, M, M, 4:55
2, 2, M, M, 4:55
2, 3, M, M, 4:55
2, 4, M, M, 4:55
2, 5, M, M, 4:55
2, 6, M, M, 4:55
2, 7, M, M, 4:55
2, 8, M, M, 4:55
2, 9, M, M, 4:55
2, 10, M, M, 4:55
2, 11, M, M, 4:55
2, 12, M, M, 4:55
2, 13, L, L, 4:55
2, 14, M, L, 4:55
2, 15, M, M, 4:55
2, 16, L, M, 4:55
2, 17, L, L, 4:55
2, 18, M, M, 4:55
2, 19, L, L, 4:55
2, 20, L, L, 4:55
2, 21, M, M, 4:55
2, 22, L, L, 4:55
2, 23, M, L, 4:55
2, 24, M, M, 4:55
3, 0, M, M, 4:55
3, 1, M, M, 4:55
3, 2, M, M, 4:55
3, 3, M, L, 4:55
3, 4, M, M, 4:55
3, 5, M, M, 4:55
3, 6, M, M, 4:55
3, 7, M, M, 4:55
4, 0, M, L, 4:55
4, 1, M, L, 4:55
4, 2, M, L, 4:55
4, 3, M, L, 4:55
4, 4, H, L, 4:55
4, 5, H, H, 4:55
4, 6, H, H, 4:55
4, 7, H, H, 4:55
4, 8, H, H, 4:55
4, 9, H, H, 4:55
4, 10, H, H, 4:55
4, 11, H, M, 4:55
4, 12, L, M, 4:55
4, 13, L, L, 4:55
4, 14, H, L, 4:55
4, 15, H, L, 4:55
4, 16, H, H, 4:55
4, 17, H, H, 4:55
4, 18, L, H, 4:55
5, 0, L, M, 4:55
5, 1, M, M, 4:55
5, 2, M, M, 4:55
5, 3, L, L, 4:55
5, 4, L, L, 4:55
5, 5, M, M, 4:55
5, 6, M, L, 4:55
5, 7, M, L, 4:55
5, 8, H, M, 4:55
5, 9, H, M, 4:55
5, 10, H, M, 4:55
5, 11, H, M, 4:55
5, 12, L, M, 4:55
5, 13, M, M, 4:55
5, 14, L, L, 4:55
6, 0, M, L, 4:55
6, 1, M, M, 4:55
6, 2, L, L, 4:55
6, 3, L, L, 4:55
6, 4, L, L, 4:55
6, 5, L, L, 4:55
6, 6, M, M, 4:55
7, 0, M, M, 4:55
7, 1, M, M, 4:55
7, 2, M, L, 4:55
7, 3, L, L, 4:55
7, 4, L, L, 4:55
7, 5, M, M, 4:55
7, 6, M, M, 4:55
7, 7, M, M, 4:55
7, 8, L, L, 4:55
7, 9, H, M, 4:55
7, 10, H, M, 4:55
7, 11, M, M, 4:55
8, 0, L, H, 4:55
8, 1, L, L, 4:55
8, 2, L, L, 4:55
8, 3, L, L, 4:55
8, 4, L, L, 4:55
8, 5, L, L, 4:55
8, 6, L, L, 4:55
