#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 7:46
0, 1, L, L, 7:46
0, 2, M, L, 7:46
0, 3, M, L, 7:46
0, 4, L, L, 7:46
0, 5, L, L, 7:46
0, 6, L, L, 7:46
0, 7, L, L, 7:46
0, 8, L, L, 7:46
0, 9, H, L, 7:46
0, 10, H, L, 7:46
0, 11, H, M, 7:46
0, 12, H, L, 7:46
0, 13, H, L, 7:46
0, 14, H, L, 7:46
0, 15, H, L, 7:46
0, 16, H, H, 7:46
0, 17, M, H, 7:46
0, 18, L, L, 7:46
0, 19, H, L, 7:46
0, 20, H, L, 7:46
0, 21, H, L, 7:46
0, 22, H, L, 7:46
0, 23, H, M, 7:46
0, 24, H, L, 7:46
0, 25, H, L, 7:46
0, 26, H, L, 7:46
0, 27, L, L, 7:46
0, 28, L, L, 7:46
0, 29, L, L, 7:46
0, 30, L, L, 7:46
0, 31, L, L, 7:46
0, 32, L, M, 7:46
0, 33, L, M, 7:46
0, 34, L, L, 7:46
0, 35, L, L, 7:46
0, 36, L, L, 7:46
1, 0, M, L, 7:44
1, 1, L, L, 7:44
1, 2, L, L, 7:44
1, 3, L, L, 7:44
1, 4, L, L, 7:44
1, 5, L, L, 7:44
1, 6, M, M, 7:44
1, 7, M, M, 7:44
1, 8, L, L, 7:44
1, 9, L, L, 7:44
1, 10, M, L, 7:44
1, 11, M, M, 7:44
2, 0, M, M, 7:44
2, 1, M, L, 7:44
2, 2, L, L, 7:44
2, 3, L, L, 7:44
2, 4, M, M, 7:44
2, 5, L, L, 7:44
2, 6, M, M, 7:44
2, 7, M, M, 7:44
2, 8, L, L, 7:44
2, 9, M, M, 7:44
2, 10, M, M, 7:44
2, 11, L, L, 7:44
2, 12, L, L, 7:44
2, 13, L, L, 7:44
2, 14, M, L, 7:44
2, 15, M, M, 7:44
2, 16, L, M, 7:44
2, 17, L, L, 7:44
2, 18, L, L, 7:44
2, 19, L, L, 7:44
2, 20, L, L, 7:44
2, 21, L, L, 7:44
2, 22, L, L, 7:44
2, 23, M, L, 7:44
2, 24, M, L, 7:44
3, 0, H, L, 7:44
3, 1, H, L, 7:44
3, 2, H, L, 7:44
3, 3, H, L, 7:44
3, 4, H, L, 7:44
3, 5, H, M, 7:44
3, 6, L, M, 7:44
3, 7, L, L, 7:44
4, 0, H, L, 7:44
4, 1, H, L, 7:44
4, 2, H, L, 7:44
4, 3, H, L, 7:44
4, 4, H, H, 7:44
4, 5, H, H, 7:44
4, 6, H, H, 7:44
4, 7, H, H, 7:44
4, 8, L, L, 7:44
4, 9, L, L, 7:44
4, 10, M, L, 7:44
4, 11, M, L, 7:44
4, 12, M, L, 7:44
4, 13, L, L, 7:44
4, 14, H, L, 7:44
4, 15, H, L, 7:44
4, 16, H, M, 7:44
4, 17, H, L, 7:44
4, 18, H, L, 7:44
5, 0, M, M, 7:44
5, 1, M, M, 7:44
5, 2, L, L, 7:44
5, 3, L, L, 7:44
5, 4, L, L, 7:44
5, 5, L, L, 7:44
5, 6, L, H, 7:44
5, 7, H, H, 7:44
5, 8, H, H, 7:44
5, 9, H, H, 7:44
5, 10, H, H, 7:44
5, 11, L, H, 7:44
5, 12, L, H, 7:44
5, 13, L, H, 7:44
5, 14, L, H, 7:44
6, 0, M, M, 7:44
6, 1, M, M, 7:44
6, 2, L, L, 7:44
6, 3, L, L, 7:44
6, 4, L, M, 7:44
6, 5, L, L, 7:44
6, 6, M, M, 7:44
7, 0, M, M, 7:46
7, 1, L, L, 7:46
7, 2, L, L, 7:46
7, 3, M, M, 7:46
7, 4, L, L, 7:46
7, 5, L, L, 7:46
7, 6, L, L, 7:46
7, 7, L, H, 7:46
7, 8, L, H, 7:46
7, 9, L, H, 7:46
7, 10, L, H, 7:46
7, 11, L, H, 7:46
8, 0, L, H, 7:37
8, 1, L, L, 7:37
8, 2, L, L, 7:37
8, 3, L, L, 7:37
8, 4, L, L, 7:37
8, 5, L, L, 7:37
8, 6, L, L, 7:37
