#lineID, stationID, statusN, statusS, timestamp
0, 0, M, L, 3:30
0, 1, L, L, 3:30
0, 2, M, M, 3:30
0, 3, L, L, 3:30
0, 4, M, M, 3:30
0, 5, L, L, 3:30
0, 6, H, L, 3:30
0, 7, H, L, 3:30
0, 8, H, L, 3:30
0, 9, H, L, 3:30
0, 10, H, M, 3:30
0, 11, H, M, 3:30
0, 12, H, M, 3:30
0, 13, H, L, 3:30
0, 14, H, L, 3:30
0, 15, H, M, 3:30
0, 16, H, L, 3:30
0, 17, H, H, 3:30
0, 18, L, H, 3:30
0, 19, L, H, 3:30
0, 20, L, H, 3:30
0, 21, L, H, 3:30
0, 22, L, H, 3:30
0, 23, H, H, 3:30
0, 24, H, H, 3:30
0, 25, H, H, 3:30
0, 26, H, H, 3:30
0, 27, L, H, 3:30
0, 28, H, H, 3:30
0, 29, H, H, 3:30
0, 30, H, M, 3:30
0, 31, H, M, 3:30
0, 32, L, H, 3:30
0, 33, L, H, 3:30
0, 34, L, L, 3:30
0, 35, L, L, 3:30
0, 36, L, L, 3:30
1, 0, L, L, 3:30
1, 1, L, L, 3:30
1, 2, L, L, 3:30
1, 3, L, L, 3:30
1, 4, L, L, 3:30
1, 5, L, L, 3:30
1, 6, M, M, 3:30
1, 7, M, M, 3:30
1, 8, L, L, 3:30
1, 9, L, L, 3:30
1, 10, L, L, 3:30
1, 11, L, L, 3:30
2, 0, M, M, 3:30
2, 1, M, M, 3:30
2, 2, M, M, 3:30
2, 3, L, L, 3:30
2, 4, M, M, 3:30
2, 5, M, M, 3:30
2, 6, L, M, 3:30
2, 7, L, M, 3:30
2, 8, L, L, 3:30
2, 9, L, L, 3:30
2, 10, L, L, 3:30
2, 11, L, L, 3:30
2, 12, L, L, 3:30
2, 13, L, L, 3:30
2, 14, M, L, 3:30
2, 15, M, M, 3:30
2, 16, L, M, 3:30
2, 17, L, L, 3:30
2, 18, L, L, 3:30
2, 19, L, L, 3:30
2, 20, L, L, 3:30
2, 21, L, L, 3:30
2, 22, M, L, 3:30
2, 23, M, L, 3:30
2, 24, M, M, 3:30
3, 0, L, L, 3:30
3, 1, M, M, 3:30
3, 2, M, M, 3:30
3, 3, M, L, 3:30
3, 4, M, L, 3:30
3, 5, M, M, 3:30
3, 6, M, M, 3:30
3, 7, M, M, 3:30
4, 0, L, L, 3:28
4, 1, L, L, 3:28
4, 2, L, L, 3:28
4, 3, M, L, 3:28
4, 4, H, H, 3:28
4, 5, H, H, 3:28
4, 6, H, H, 3:28
4, 7, M, H, 3:28
4, 8, M, L, 3:28
4, 9, L, L, 3:28
4, 10, H, H, 3:28
4, 11, H, H, 3:28
4, 12, H, H, 3:28
4, 13, H, H, 3:28
4, 14, H, H, 3:28
4, 15, H, H, 3:28
4, 16, H, M, 3:28
4, 17, M, M, 3:28
4, 18, M, M, 3:28
5, 0, M, M, 3:31
5, 1, M, M, 3:31
5, 2, L, M, 3:31
5, 3, L, L, 3:31
5, 4, L, L, 3:31
5, 5, L, L, 3:31
5, 6, M, H, 3:31
5, 7, M, H, 3:31
5, 8, M, H, 3:31
5, 9, H, M, 3:31
5, 10, H, M, 3:31
5, 11, M, M, 3:31
5, 12, L, M, 3:31
5, 13, M, M, 3:31
5, 14, L, L, 3:31
6, 0, L, M, 3:11
6, 1, L, M, 3:11
6, 2, L, L, 3:11
6, 3, L, L, 3:11
6, 4, L, L, 3:11
6, 5, M, L, 3:11
6, 6, L, L, 3:11
7, 0, M, M, 3:11
7, 1, M, M, 3:11
7, 2, M, M, 3:11
7, 3, M, M, 3:11
7, 4, L, L, 3:11
7, 5, M, M, 3:11
7, 6, M, M, 3:11
7, 7, L, L, 3:11
7, 8, L, L, 3:11
7, 9, L, M, 3:11
7, 10, L, M, 3:11
7, 11, M, M, 3:11
8, 0, L, H, 3:29
8, 1, L, H, 3:29
8, 2, L, L, 3:29
8, 3, L, L, 3:29
8, 4, L, L, 3:29
8, 5, L, L, 3:29
8, 6, L, L, 3:29
