#lineID, stationID, statusN, statusS, timestamp
0, 0, M, L, 5:13
0, 1, L, L, 5:13
0, 2, M, M, 5:13
0, 3, L, L, 5:13
0, 4, M, M, 5:13
0, 5, L, L, 5:13
0, 6, L, L, 5:13
0, 7, L, L, 5:13
0, 8, H, L, 5:13
0, 9, H, L, 5:13
0, 10, H, H, 5:13
0, 11, H, H, 5:13
0, 12, H, H, 5:13
0, 13, H, H, 5:13
0, 14, H, H, 5:13
0, 15, H, H, 5:13
0, 16, H, H, 5:13
0, 17, H, H, 5:13
0, 18, H, H, 5:13
0, 19, H, H, 5:13
0, 20, L, H, 5:13
0, 21, L, H, 5:13
0, 22, L, H, 5:13
0, 23, H, H, 5:13
0, 24, H, H, 5:13
0, 25, H, H, 5:13
0, 26, H, H, 5:13
0, 27, H, H, 5:13
0, 28, H, H, 5:13
0, 29, H, H, 5:13
0, 30, L, H, 5:13
0, 31, M, L, 5:13
0, 32, L, H, 5:13
0, 33, L, H, 5:13
0, 34, L, L, 5:13
0, 35, L, L, 5:13
0, 36, L, L, 5:13
1, 0, L, L, 5:13
1, 1, L, L, 5:13
1, 2, L, M, 5:13
1, 3, L, L, 5:13
1, 4, L, M, 5:13
1, 5, L, L, 5:13
1, 6, M, M, 5:13
1, 7, M, M, 5:13
1, 8, L, L, 5:13
1, 9, L, L, 5:13
1, 10, L, L, 5:13
1, 11, M, M, 5:13
2, 0, M, M, 5:14
2, 1, M, M, 5:14
2, 2, M, M, 5:14
2, 3, L, L, 5:14
2, 4, M, M, 5:14
2, 5, M, M, 5:14
2, 6, L, M, 5:14
2, 7, L, M, 5:14
2, 8, L, L, 5:14
2, 9, L, L, 5:14
2, 10, L, L, 5:14
2, 11, L, L, 5:14
2, 12, L, L, 5:14
2, 13, L, L, 5:14
2, 14, M, L, 5:14
2, 15, M, M, 5:14
2, 16, L, M, 5:14
2, 17, L, L, 5:14
2, 18, L, L, 5:14
2, 19, L, L, 5:14
2, 20, L, L, 5:14
2, 21, L, L, 5:14
2, 22, L, L, 5:14
2, 23, M, L, 5:14
2, 24, M, M, 5:14
3, 0, L, L, 5:08
3, 1, M, M, 5:08
3, 2, M, M, 5:08
3, 3, M, L, 5:08
3, 4, M, L, 5:08
3, 5, M, M, 5:08
3, 6, M, M, 5:08
3, 7, M, M, 5:08
4, 0, L, L, 5:12
4, 1, L, L, 5:12
4, 2, L, L, 5:12
4, 3, M, M, 5:12
4, 4, H, H, 5:12
4, 5, H, H, 5:12
4, 6, H, H, 5:12
4, 7, M, H, 5:12
4, 8, M, L, 5:12
4, 9, L, L, 5:12
4, 10, H, H, 5:12
4, 11, H, H, 5:12
4, 12, H, H, 5:12
4, 13, L, H, 5:12
4, 14, H, H, 5:12
4, 15, M, H, 5:12
4, 16, M, H, 5:12
4, 17, M, H, 5:12
4, 18, M, H, 5:12
5, 0, M, M, 5:12
5, 1, M, M, 5:12
5, 2, L, M, 5:12
5, 3, L, L, 5:12
5, 4, L, L, 5:12
5, 5, L, L, 5:12
5, 6, M, H, 5:12
5, 7, M, H, 5:12
5, 8, M, H, 5:12
5, 9, H, M, 5:12
5, 10, H, M, 5:12
5, 11, M, M, 5:12
5, 12, L, M, 5:12
5, 13, M, M, 5:12
5, 14, L, L, 5:12
6, 0, L, H, 5:13
6, 1, L, H, 5:13
6, 2, L, L, 5:13
6, 3, L, L, 5:13
6, 4, L, L, 5:13
6, 5, M, L, 5:13
6, 6, L, L, 5:13
7, 0, M, M, 5:13
7, 1, M, M, 5:13
7, 2, M, M, 5:13
7, 3, M, M, 5:13
7, 4, L, L, 5:13
7, 5, M, M, 5:13
7, 6, M, M, 5:13
7, 7, L, L, 5:13
7, 8, L, L, 5:13
7, 9, L, M, 5:13
7, 10, L, M, 5:13
7, 11, M, M, 5:13
8, 0, L, H, 5:14
8, 1, L, L, 5:14
8, 2, L, L, 5:14
8, 3, L, L, 5:14
8, 4, L, L, 5:14
8, 5, H, H, 5:14
8, 6, L, H, 5:14
