#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 9:41
0, 1, L, L, 9:41
0, 2, L, L, 9:41
0, 3, L, L, 9:41
0, 4, L, L, 9:41
0, 5, L, L, 9:41
0, 6, L, L, 9:41
0, 7, L, L, 9:41
0, 8, L, L, 9:41
0, 9, L, L, 9:41
0, 10, L, L, 9:41
0, 11, M, L, 9:41
0, 12, L, L, 9:41
0, 13, L, L, 9:41
0, 14, L, L, 9:41
0, 15, L, L, 9:41
0, 16, L, M, 9:41
0, 17, M, L, 9:41
0, 18, L, L, 9:41
0, 19, H, M, 9:41
0, 20, H, L, 9:41
0, 21, H, L, 9:41
0, 22, H, L, 9:41
0, 23, H, M, 9:41
0, 24, L, L, 9:41
0, 25, M, H, 9:41
0, 26, M, H, 9:41
0, 27, L, L, 9:41
0, 28, M, L, 9:41
0, 29, L, L, 9:41
0, 30, M, L, 9:41
0, 31, M, L, 9:41
0, 32, L, H, 9:41
0, 33, L, H, 9:41
0, 34, L, L, 9:41
0, 35, L, L, 9:41
0, 36, L, L, 9:41
1, 0, H, M, 9:41
1, 1, H, L, 9:41
1, 2, H, L, 9:41
1, 3, H, L, 9:41
1, 4, L, M, 9:41
1, 5, L, M, 9:41
1, 6, M, M, 9:41
1, 7, M, M, 9:41
1, 8, L, L, 9:41
1, 9, L, L, 9:41
1, 10, L, L, 9:41
1, 11, M, M, 9:41
2, 0, M, M, 9:37
2, 1, L, L, 9:37
2, 2, M, L, 9:37
2, 3, L, L, 9:37
2, 4, M, M, 9:37
2, 5, M, M, 9:37
2, 6, L, L, 9:37
2, 7, L, L, 9:37
2, 8, L, L, 9:37
2, 9, L, L, 9:37
2, 10, L, L, 9:37
2, 11, L, L, 9:37
2, 12, L, L, 9:37
2, 13, L, L, 9:37
2, 14, M, L, 9:37
2, 15, M, M, 9:37
2, 16, L, M, 9:37
2, 17, L, L, 9:37
2, 18, L, L, 9:37
2, 19, L, L, 9:37
2, 20, L, L, 9:37
2, 21, L, L, 9:37
2, 22, M, L, 9:37
2, 23, M, L, 9:37
2, 24, M, L, 9:37
3, 0, L, L, 9:37
3, 1, H, L, 9:37
3, 2, H, L, 9:37
3, 3, H, L, 9:37
3, 4, L, L, 9:37
3, 5, L, L, 9:37
3, 6, L, L, 9:37
3, 7, L, M, 9:37
4, 0, M, M, 9:39
4, 1, L, L, 9:39
4, 2, L, L, 9:39
4, 3, L, L, 9:39
4, 4, M, L, 9:39
4, 5, M, L, 9:39
4, 6, L, L, 9:39
4, 7, L, L, 9:39
4, 8, L, L, 9:39
4, 9, L, L, 9:39
4, 10, M, L, 9:39
4, 11, M, M, 9:39
4, 12, L, L, 9:39
4, 13, H, L, 9:39
4, 14, H, H, 9:39
4, 15, H, H, 9:39
4, 16, H, H, 9:39
4, 17, H, H, 9:39
4, 18, H, H, 9:39
5, 0, L, L, 9:40
5, 1, L, L, 9:40
5, 2, L, L, 9:40
5, 3, L, L, 9:40
5, 4, L, L, 9:40
5, 5, L, L, 9:40
5, 6, L, H, 9:40
5, 7, L, H, 9:40
5, 8, M, L, 9:40
5, 9, M, H, 9:40
5, 10, M, H, 9:40
5, 11, L, H, 9:40
5, 12, L, H, 9:40
5, 13, L, H, 9:40
5, 14, L, H, 9:40
6, 0, L, L, 9:40
6, 1, L, L, 9:40
6, 2, L, L, 9:40
6, 3, L, L, 9:40
6, 4, L, L, 9:40
6, 5, L, L, 9:40
6, 6, L, L, 9:40
7, 0, M, M, 9:39
7, 1, M, M, 9:39
7, 2, L, L, 9:39
7, 3, L, L, 9:39
7, 4, L, L, 9:39
7, 5, M, M, 9:39
7, 6, M, M, 9:39
7, 7, L, L, 9:39
7, 8, L, M, 9:39
7, 9, M, M, 9:39
7, 10, M, M, 9:39
7, 11, M, M, 9:39
8, 0, L, L, 9:39
8, 1, L, L, 9:39
8, 2, L, L, 9:39
8, 3, L, L, 9:39
8, 4, L, L, 9:39
8, 5, L, L, 9:39
8, 6, L, L, 9:39
