#lineID, stationID, statusN, statusS, timestamp
0, 0, M, L, 12:17
0, 1, L, L, 12:17
0, 2, M, M, 12:17
0, 3, L, L, 12:17
0, 4, L, L, 12:17
0, 5, L, L, 12:17
0, 6, L, L, 12:17
0, 7, L, L, 12:17
0, 8, L, L, 12:17
0, 9, L, L, 12:17
0, 10, L, M, 12:17
0, 11, M, H, 12:17
0, 12, M, H, 12:17
0, 13, L, H, 12:17
0, 14, L, H, 12:17
0, 15, H, L, 12:17
0, 16, H, H, 12:17
0, 17, M, H, 12:17
0, 18, L, M, 12:17
0, 19, L, L, 12:17
0, 20, L, L, 12:17
0, 21, L, L, 12:17
0, 22, M, L, 12:17
0, 23, H, H, 12:17
0, 24, H, H, 12:17
0, 25, H, H, 12:17
0, 26, H, H, 12:17
0, 27, L, H, 12:17
0, 28, M, H, 12:17
0, 29, L, L, 12:17
0, 30, L, L, 12:17
0, 31, M, L, 12:17
0, 32, L, H, 12:17
0, 33, M, H, 12:17
0, 34, L, L, 12:17
0, 35, L, L, 12:17
0, 36, L, L, 12:17
1, 0, L, L, 12:14
1, 1, L, L, 12:14
1, 2, L, L, 12:14
1, 3, L, L, 12:14
1, 4, L, L, 12:14
1, 5, L, L, 12:14
1, 6, M, M, 12:14
1, 7, M, M, 12:14
1, 8, L, L, 12:14
1, 9, L, L, 12:14
1, 10, L, L, 12:14
1, 11, M, M, 12:14
2, 0, M, M, 12:14
2, 1, M, M, 12:14
2, 2, M, L, 12:14
2, 3, M, L, 12:14
2, 4, M, M, 12:14
2, 5, M, M, 12:14
2, 6, M, M, 12:14
2, 7, M, M, 12:14
2, 8, M, M, 12:14
2, 9, M, L, 12:14
2, 10, M, L, 12:14
2, 11, M, L, 12:14
2, 12, H, L, 12:14
2, 13, H, L, 12:14
2, 14, H, L, 12:14
2, 15, H, M, 12:14
2, 16, L, M, 12:14
2, 17, L, L, 12:14
2, 18, M, M, 12:14
2, 19, L, L, 12:14
2, 20, M, M, 12:14
2, 21, L, L, 12:14
2, 22, M, L, 12:14
2, 23, M, L, 12:14
2, 24, M, M, 12:14
3, 0, M, M, 12:14
3, 1, H, M, 12:14
3, 2, H, L, 12:14
3, 3, H, L, 12:14
3, 4, H, M, 12:14
3, 5, H, M, 12:14
3, 6, L, L, 12:14
3, 7, M, M, 12:14
4, 0, M, L, 12:13
4, 1, L, L, 12:13
4, 2, M, L, 12:13
4, 3, M, L, 12:13
4, 4, M, L, 12:13
4, 5, M, H, 12:13
4, 6, L, H, 12:13
4, 7, L, H, 12:13
4, 8, L, L, 12:13
4, 9, L, M, 12:13
4, 10, M, M, 12:13
4, 11, H, M, 12:13
4, 12, H, M, 12:13
4, 13, L, L, 12:13
4, 14, H, L, 12:13
4, 15, H, L, 12:13
4, 16, H, M, 12:13
4, 17, L, L, 12:13
4, 18, L, L, 12:13
5, 0, M, M, 12:15
5, 1, M, M, 12:15
5, 2, L, M, 12:15
5, 3, L, L, 12:15
5, 4, L, L, 12:15
5, 5, L, L, 12:15
5, 6, L, L, 12:15
5, 7, L, L, 12:15
5, 8, H, M, 12:15
5, 9, H, M, 12:15
5, 10, H, H, 12:15
5, 11, H, H, 12:15
5, 12, L, L, 12:15
5, 13, L, L, 12:15
5, 14, M, L, 12:15
6, 0, L, M, 12:13
6, 1, L, L, 12:13
6, 2, L, L, 12:13
6, 3, L, L, 12:13
6, 4, L, L, 12:13
6, 5, M, M, 12:13
6, 6, M, M, 12:13
7, 0, L, H, 12:13
7, 1, M, H, 12:13
7, 2, L, H, 12:13
7, 3, L, H, 12:13
7, 4, L, H, 12:13
7, 5, L, H, 12:13
7, 6, M, H, 12:13
7, 7, L, L, 12:13
7, 8, L, L, 12:13
7, 9, H, H, 12:13
7, 10, H, H, 12:13
7, 11, M, H, 12:13
8, 0, L, H, 12:13
8, 1, L, H, 12:13
8, 2, L, L, 12:13
8, 3, L, L, 12:13
8, 4, L, L, 12:13
8, 5, L, L, 12:13
8, 6, L, L, 12:13
