#lineID, stationID, statusN, statusS, timestamp
0, 0, M, L, 11:43
0, 1, L, L, 11:43
0, 2, M, M, 11:43
0, 3, L, L, 11:43
0, 4, L, L, 11:43
0, 5, L, L, 11:43
0, 6, L, L, 11:43
0, 7, H, L, 11:43
0, 8, H, L, 11:43
0, 9, H, L, 11:43
0, 10, H, L, 11:43
0, 11, H, M, 11:43
0, 12, H, L, 11:43
0, 13, H, L, 11:43
0, 14, H, L, 11:43
0, 15, H, L, 11:43
0, 16, H, M, 11:43
0, 17, M, L, 11:43
0, 18, L, L, 11:43
0, 19, L, M, 11:43
0, 20, L, H, 11:43
0, 21, H, H, 11:43
0, 22, H, H, 11:43
0, 23, H, H, 11:43
0, 24, H, H, 11:43
0, 25, H, H, 11:43
0, 26, H, H, 11:43
0, 27, L, H, 11:43
0, 28, L, H, 11:43
0, 29, M, H, 11:43
0, 30, M, L, 11:43
0, 31, M, H, 11:43
0, 32, L, H, 11:43
0, 33, L, H, 11:43
0, 34, L, L, 11:43
0, 35, L, L, 11:43
0, 36, L, L, 11:43
1, 0, L, L, 11:46
1, 1, L, L, 11:46
1, 2, L, L, 11:46
1, 3, L, L, 11:46
1, 4, L, L, 11:46
1, 5, L, L, 11:46
1, 6, M, M, 11:46
1, 7, M, M, 11:46
1, 8, L, L, 11:46
1, 9, L, L, 11:46
1, 10, L, L, 11:46
1, 11, L, L, 11:46
2, 0, M, H, 11:47
2, 1, M, H, 11:47
2, 2, L, H, 11:47
2, 3, L, H, 11:47
2, 4, M, H, 11:47
2, 5, M, H, 11:47
2, 6, L, L, 11:47
2, 7, L, L, 11:47
2, 8, L, L, 11:47
2, 9, L, L, 11:47
2, 10, L, L, 11:47
2, 11, L, L, 11:47
2, 12, L, L, 11:47
2, 13, L, L, 11:47
2, 14, M, L, 11:47
2, 15, M, M, 11:47
2, 16, L, M, 11:47
2, 17, L, L, 11:47
2, 18, L, L, 11:47
2, 19, L, L, 11:47
2, 20, L, L, 11:47
2, 21, L, L, 11:47
2, 22, L, L, 11:47
2, 23, L, L, 11:47
2, 24, L, L, 11:47
3, 0, L, L, 11:47
3, 1, H, M, 11:47
3, 2, H, M, 11:47
3, 3, H, L, 11:47
3, 4, H, L, 11:47
3, 5, H, M, 11:47
3, 6, L, L, 11:47
3, 7, L, M, 11:47
4, 0, L, L, 11:47
4, 1, L, L, 11:47
4, 2, L, L, 11:47
4, 3, L, L, 11:47
4, 4, H, H, 11:47
4, 5, H, H, 11:47
4, 6, H, H, 11:47
4, 7, H, H, 11:47
4, 8, H, L, 11:47
4, 9, L, L, 11:47
4, 10, H, H, 11:47
4, 11, H, H, 11:47
4, 12, H, H, 11:47
4, 13, H, L, 11:47
4, 14, H, L, 11:47
4, 15, H, L, 11:47
4, 16, H, H, 11:47
4, 17, H, H, 11:47
4, 18, H, H, 11:47
5, 0, M, M, 11:47
5, 1, M, M, 11:47
5, 2, L, L, 11:47
5, 3, L, L, 11:47
5, 4, L, L, 11:47
5, 5, L, L, 11:47
5, 6, H, L, 11:47
5, 7, H, L, 11:47
5, 8, H, L, 11:47
5, 9, H, H, 11:47
5, 10, H, H, 11:47
5, 11, H, H, 11:47
5, 12, L, H, 11:47
5, 13, L, M, 11:47
5, 14, L, M, 11:47
6, 0, L, L, 11:47
6, 1, L, L, 11:47
6, 2, L, L, 11:47
6, 3, L, L, 11:47
6, 4, L, L, 11:47
6, 5, L, L, 11:47
6, 6, L, L, 11:47
7, 0, M, M, 11:47
7, 1, M, M, 11:47
7, 2, L, L, 11:47
7, 3, L, M, 11:47
7, 4, L, M, 11:47
7, 5, M, M, 11:47
7, 6, M, M, 11:47
7, 7, L, L, 11:47
7, 8, L, L, 11:47
7, 9, M, M, 11:47
7, 10, M, M, 11:47
7, 11, M, M, 11:47
8, 0, L, H, 11:26
8, 1, L, L, 11:26
8, 2, L, L, 11:26
8, 3, L, L, 11:26
8, 4, L, L, 11:26
8, 5, L, H, 11:26
8, 6, L, H, 11:26
