#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 8:14
0, 1, L, L, 8:14
0, 2, M, M, 8:14
0, 3, L, L, 8:14
0, 4, M, M, 8:14
0, 5, M, M, 8:14
0, 6, L, M, 8:14
0, 7, L, L, 8:14
0, 8, L, L, 8:14
0, 9, L, L, 8:14
0, 10, L, H, 8:14
0, 11, M, H, 8:14
0, 12, L, H, 8:14
0, 13, L, H, 8:14
0, 14, L, H, 8:14
0, 15, L, H, 8:14
0, 16, L, H, 8:14
0, 17, L, H, 8:14
0, 18, L, H, 8:14
0, 19, L, H, 8:14
0, 20, L, H, 8:14
0, 21, L, H, 8:14
0, 22, H, H, 8:14
0, 23, H, H, 8:14
0, 24, H, H, 8:14
0, 25, H, H, 8:14
0, 26, H, H, 8:14
0, 27, H, H, 8:14
0, 28, H, M, 8:14
0, 29, H, L, 8:14
0, 30, H, L, 8:14
0, 31, H, L, 8:14
0, 32, H, H, 8:14
0, 33, L, H, 8:14
0, 34, L, L, 8:14
0, 35, L, L, 8:14
0, 36, L, L, 8:14
1, 0, L, L, 8:14
1, 1, L, L, 8:14
1, 2, L, L, 8:14
1, 3, L, L, 8:14
1, 4, L, L, 8:14
1, 5, L, L, 8:14
1, 6, M, M, 8:14
1, 7, M, M, 8:14
1, 8, L, L, 8:14
1, 9, L, L, 8:14
1, 10, L, L, 8:14
1, 11, M, M, 8:14
2, 0, M, M, 8:15
2, 1, M, M, 8:15
2, 2, L, L, 8:15
2, 3, L, L, 8:15
2, 4, M, M, 8:15
2, 5, M, M, 8:15
2, 6, L, M, 8:15
2, 7, L, M, 8:15
2, 8, L, M, 8:15
2, 9, L, L, 8:15
2, 10, L, L, 8:15
2, 11, M, M, 8:15
2, 12, L, M, 8:15
2, 13, L, L, 8:15
2, 14, M, L, 8:15
2, 15, M, M, 8:15
2, 16, M, M, 8:15
2, 17, L, L, 8:15
2, 18, M, M, 8:15
2, 19, L, L, 8:15
2, 20, M, M, 8:15
2, 21, L, L, 8:15
2, 22, L, L, 8:15
2, 23, M, L, 8:15
2, 24, M, M, 8:15
3, 0, M, M, 8:15
3, 1, M, M, 8:15
3, 2, M, M, 8:15
3, 3, M, L, 8:15
3, 4, M, L, 8:15
3, 5, M, M, 8:15
3, 6, L, M, 8:15
3, 7, L, M, 8:15
4, 0, L, L, 8:15
4, 1, L, L, 8:15
4, 2, M, L, 8:15
4, 3, H, L, 8:15
4, 4, H, H, 8:15
4, 5, H, H, 8:15
4, 6, L, H, 8:15
4, 7, L, H, 8:15
4, 8, L, L, 8:15
4, 9, L, L, 8:15
4, 10, M, M, 8:15
4, 11, L, M, 8:15
4, 12, M, M, 8:15
4, 13, L, L, 8:15
4, 14, M, L, 8:15
4, 15, M, M, 8:15
4, 16, M, H, 8:15
4, 17, L, H, 8:15
4, 18, L, H, 8:15
5, 0, M, M, 8:15
5, 1, M, M, 8:15
5, 2, L, M, 8:15
5, 3, L, L, 8:15
5, 4, M, L, 8:15
5, 5, L, L, 8:15
5, 6, L, L, 8:15
5, 7, M, L, 8:15
5, 8, M, M, 8:15
5, 9, M, M, 8:15
5, 10, M, M, 8:15
5, 11, M, L, 8:15
5, 12, L, L, 8:15
5, 13, L, L, 8:15
5, 14, M, L, 8:15
6, 0, H, L, 8:15
6, 1, H, M, 8:15
6, 2, H, L, 8:15
6, 3, L, L, 8:15
6, 4, L, L, 8:15
6, 5, M, M, 8:15
6, 6, M, M, 8:15
7, 0, M, M, 8:15
7, 1, M, M, 8:15
7, 2, M, M, 8:15
7, 3, L, M, 8:15
7, 4, L, M, 8:15
7, 5, M, M, 8:15
7, 6, M, M, 8:15
7, 7, L, M, 8:15
7, 8, L, L, 8:15
7, 9, M, M, 8:15
7, 10, M, M, 8:15
7, 11, L, L, 8:15
8, 0, L, L, 8:15
8, 1, L, L, 8:15
8, 2, L, L, 8:15
8, 3, L, L, 8:15
8, 4, L, L, 8:15
8, 5, L, L, 8:15
8, 6, L, L, 8:15
