#lineID, stationID, statusN, statusS, timestamp
0, 0, H, M, 3:15
0, 1, L, L, 3:15
0, 2, L, L, 3:15
0, 3, L, L, 3:15
0, 4, L, L, 3:15
0, 5, L, L, 3:15
0, 6, L, L, 3:15
0, 7, L, L, 3:15
0, 8, L, L, 3:15
0, 9, L, L, 3:15
0, 10, M, M, 3:15
0, 11, M, H, 3:15
0, 12, M, H, 3:15
0, 13, L, H, 3:15
0, 14, L, H, 3:15
0, 15, M, H, 3:15
0, 16, M, M, 3:15
0, 17, M, L, 3:15
0, 18, L, L, 3:15
0, 19, L, H, 3:15
0, 20, L, H, 3:15
0, 21, H, H, 3:15
0, 22, H, H, 3:15
0, 23, L, H, 3:15
0, 24, L, H, 3:15
0, 25, L, H, 3:15
0, 26, H, H, 3:15
0, 27, H, H, 3:15
0, 28, H, L, 3:15
0, 29, H, L, 3:15
0, 30, L, L, 3:15
0, 31, L, L, 3:15
0, 32, L, H, 3:15
0, 33, L, H, 3:15
0, 34, L, L, 3:15
0, 35, L, L, 3:15
0, 36, L, L, 3:15
1, 0, L, L, 3:12
1, 1, L, L, 3:12
1, 2, L, L, 3:12
1, 3, L, L, 3:12
1, 4, L, L, 3:12
1, 5, L, L, 3:12
1, 6, M, M, 3:12
1, 7, M, M, 3:12
1, 8, L, L, 3:12
1, 9, L, L, 3:12
1, 10, L, L, 3:12
1, 11, L, L, 3:12
2, 0, M, M, 3:12
2, 1, L, L, 3:12
2, 2, L, L, 3:12
2, 3, L, L, 3:12
2, 4, M, M, 3:12
2, 5, M, M, 3:12
2, 6, M, M, 3:12
2, 7, L, L, 3:12
2, 8, M, M, 3:12
2, 9, L, L, 3:12
2, 10, L, L, 3:12
2, 11, M, M, 3:12
2, 12, M, M, 3:12
2, 13, L, L, 3:12
2, 14, L, L, 3:12
2, 15, M, M, 3:12
2, 16, L, L, 3:12
2, 17, L, L, 3:12
2, 18, M, M, 3:12
2, 19, L, L, 3:12
2, 20, L, L, 3:12
2, 21, L, M, 3:12
2, 22, M, L, 3:12
2, 23, M, L, 3:12
2, 24, M, L, 3:12
3, 0, L, L, 3:12
3, 1, M, M, 3:12
3, 2, M, L, 3:12
3, 3, L, L, 3:12
3, 4, L, L, 3:12
3, 5, M, M, 3:12
3, 6, L, L, 3:12
3, 7, L, M, 3:12
4, 0, L, L, 3:12
4, 1, L, L, 3:12
4, 2, M, L, 3:12
4, 3, M, M, 3:12
4, 4, L, H, 3:12
4, 5, M, H, 3:12
4, 6, L, H, 3:12
4, 7, L, H, 3:12
4, 8, L, H, 3:12
4, 9, M, L, 3:12
4, 10, M, M, 3:12
4, 11, M, M, 3:12
4, 12, M, M, 3:12
4, 13, L, L, 3:12
4, 14, H, L, 3:12
4, 15, H, M, 3:12
4, 16, H, H, 3:12
4, 17, M, H, 3:12
4, 18, M, H, 3:12
5, 0, L, L, 3:12
5, 1, L, L, 3:12
5, 2, L, L, 3:12
5, 3, L, L, 3:12
5, 4, L, L, 3:12
5, 5, L, L, 3:12
5, 6, L, L, 3:12
5, 7, M, L, 3:12
5, 8, H, M, 3:12
5, 9, H, M, 3:12
5, 10, H, L, 3:12
5, 11, H, M, 3:12
5, 12, L, L, 3:12
5, 13, L, L, 3:12
5, 14, L, L, 3:12
6, 0, L, H, 3:12
6, 1, M, H, 3:12
6, 2, M, H, 3:12
6, 3, L, L, 3:12
6, 4, L, L, 3:12
6, 5, M, M, 3:12
6, 6, L, L, 3:12
7, 0, M, M, 3:12
7, 1, M, L, 3:12
7, 2, L, L, 3:12
7, 3, M, M, 3:12
7, 4, L, L, 3:12
7, 5, L, L, 3:12
7, 6, M, M, 3:12
7, 7, L, L, 3:12
7, 8, L, L, 3:12
7, 9, L, L, 3:12
7, 10, M, M, 3:12
7, 11, L, L, 3:12
8, 0, L, H, 3:12
8, 1, L, L, 3:12
8, 2, H, L, 3:12
8, 3, H, L, 3:12
8, 4, L, L, 3:12
8, 5, H, L, 3:12
8, 6, L, L, 3:12
