#lineID, stationID, statusN, statusS, timestamp
0, 0, M, L, 4:44
0, 1, L, L, 4:44
0, 2, L, L, 4:44
0, 3, L, L, 4:44
0, 4, L, M, 4:44
0, 5, M, M, 4:44
0, 6, L, L, 4:44
0, 7, L, L, 4:44
0, 8, L, L, 4:44
0, 9, L, L, 4:44
0, 10, L, L, 4:44
0, 11, M, M, 4:44
0, 12, L, M, 4:44
0, 13, L, L, 4:44
0, 14, L, L, 4:44
0, 15, L, L, 4:44
0, 16, M, L, 4:44
0, 17, M, L, 4:44
0, 18, L, L, 4:44
0, 19, H, L, 4:44
0, 20, H, L, 4:44
0, 21, M, L, 4:44
0, 22, L, L, 4:44
0, 23, L, L, 4:44
0, 24, L, L, 4:44
0, 25, L, L, 4:44
0, 26, L, L, 4:44
0, 27, L, L, 4:44
0, 28, H, M, 4:44
0, 29, H, L, 4:44
0, 30, L, L, 4:44
0, 31, L, L, 4:44
0, 32, M, M, 4:44
0, 33, L, L, 4:44
0, 34, L, L, 4:44
0, 35, L, L, 4:44
0, 36, L, L, 4:44
1, 0, L, L, 4:44
1, 1, M, M, 4:44
1, 2, M, M, 4:44
1, 3, L, L, 4:44
1, 4, L, L, 4:44
1, 5, L, L, 4:44
1, 6, M, M, 4:44
1, 7, M, M, 4:44
1, 8, M, L, 4:44
1, 9, L, L, 4:44
1, 10, L, L, 4:44
1, 11, L, L, 4:44
2, 0, M, M, 4:44
2, 1, M, M, 4:44
2, 2, L, L, 4:44
2, 3, L, L, 4:44
2, 4, L, L, 4:44
2, 5, L, L, 4:44
2, 6, L, L, 4:44
2, 7, L, M, 4:44
2, 8, M, M, 4:44
2, 9, L, L, 4:44
2, 10, L, L, 4:44
2, 11, M, M, 4:44
2, 12, M, M, 4:44
2, 13, L, L, 4:44
2, 14, L, L, 4:44
2, 15, M, M, 4:44
2, 16, M, M, 4:44
2, 17, L, L, 4:44
2, 18, M, M, 4:44
2, 19, L, L, 4:44
2, 20, L, L, 4:44
2, 21, L, L, 4:44
2, 22, L, L, 4:44
2, 23, L, L, 4:44
2, 24, L, L, 4:44
3, 0, M, M, 4:44
3, 1, M, M, 4:44
3, 2, L, L, 4:44
3, 3, L, L, 4:44
3, 4, L, L, 4:44
3, 5, M, M, 4:44
3, 6, L, L, 4:44
3, 7, M, M, 4:44
4, 0, L, L, 4:47
4, 1, L, L, 4:47
4, 2, L, L, 4:47
4, 3, L, L, 4:47
4, 4, L, L, 4:47
4, 5, M, M, 4:47
4, 6, L, L, 4:47
4, 7, M, M, 4:47
4, 8, M, L, 4:47
4, 9, L, L, 4:47
4, 10, M, M, 4:47
4, 11, M, M, 4:47
4, 12, L, L, 4:47
4, 13, L, L, 4:47
4, 14, L, L, 4:47
4, 15, M, M, 4:47
4, 16, M, M, 4:47
4, 17, L, L, 4:47
4, 18, L, L, 4:47
5, 0, L, L, 4:47
5, 1, L, L, 4:47
5, 2, L, L, 4:47
5, 3, L, L, 4:47
5, 4, L, L, 4:47
5, 5, L, L, 4:47
5, 6, L, L, 4:47
5, 7, M, M, 4:47
5, 8, L, L, 4:47
5, 9, L, L, 4:47
5, 10, M, M, 4:47
5, 11, L, L, 4:47
5, 12, L, L, 4:47
5, 13, L, L, 4:47
5, 14, L, L, 4:47
6, 0, L, M, 4:47
6, 1, L, L, 4:47
6, 2, L, L, 4:47
6, 3, L, L, 4:47
6, 4, L, L, 4:47
6, 5, M, M, 4:47
6, 6, L, L, 4:47
7, 0, M, M, 4:47
7, 1, M, M, 4:47
7, 2, L, L, 4:47
7, 3, L, L, 4:47
7, 4, M, L, 4:47
7, 5, M, M, 4:47
7, 6, M, M, 4:47
7, 7, L, L, 4:47
7, 8, L, L, 4:47
7, 9, H, M, 4:47
7, 10, H, M, 4:47
7, 11, L, L, 4:47
8, 0, L, M, 4:47
8, 1, L, L, 4:47
8, 2, L, L, 4:47
8, 3, L, L, 4:47
8, 4, L, L, 4:47
8, 5, L, L, 4:47
8, 6, L, L, 4:47
