#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 6:55
0, 1, L, L, 6:55
0, 2, M, M, 6:55
0, 3, L, L, 6:55
0, 4, L, L, 6:55
0, 5, L, L, 6:55
0, 6, L, L, 6:55
0, 7, H, L, 6:55
0, 8, H, L, 6:55
0, 9, H, L, 6:55
0, 10, H, L, 6:55
0, 11, H, L, 6:55
0, 12, H, M, 6:55
0, 13, H, L, 6:55
0, 14, H, L, 6:55
0, 15, H, L, 6:55
0, 16, H, H, 6:55
0, 17, M, H, 6:55
0, 18, L, L, 6:55
0, 19, H, L, 6:55
0, 20, H, L, 6:55
0, 21, H, L, 6:55
0, 22, H, L, 6:55
0, 23, H, M, 6:55
0, 24, H, L, 6:55
0, 25, H, L, 6:55
0, 26, H, M, 6:55
0, 27, L, L, 6:55
0, 28, L, L, 6:55
0, 29, L, L, 6:55
0, 30, L, L, 6:55
0, 31, M, L, 6:55
0, 32, L, M, 6:55
0, 33, L, M, 6:55
0, 34, L, L, 6:55
0, 35, L, L, 6:55
0, 36, L, L, 6:55
1, 0, M, L, 7:00
1, 1, L, L, 7:00
1, 2, M, L, 7:00
1, 3, M, L, 7:00
1, 4, L, L, 7:00
1, 5, H, L, 7:00
1, 6, H, M, 7:00
1, 7, H, M, 7:00
1, 8, L, L, 7:00
1, 9, L, L, 7:00
1, 10, M, L, 7:00
1, 11, M, L, 7:00
2, 0, M, M, 7:00
2, 1, M, M, 7:00
2, 2, L, L, 7:00
2, 3, L, L, 7:00
2, 4, L, L, 7:00
2, 5, M, M, 7:00
2, 6, M, M, 7:00
2, 7, L, L, 7:00
2, 8, L, L, 7:00
2, 9, L, L, 7:00
2, 10, L, L, 7:00
2, 11, M, M, 7:00
2, 12, M, M, 7:00
2, 13, L, L, 7:00
2, 14, L, L, 7:00
2, 15, M, M, 7:00
2, 16, L, L, 7:00
2, 17, L, L, 7:00
2, 18, L, L, 7:00
2, 19, L, L, 7:00
2, 20, L, L, 7:00
2, 21, L, L, 7:00
2, 22, L, L, 7:00
2, 23, M, L, 7:00
2, 24, M, M, 7:00
3, 0, H, L, 6:55
3, 1, H, L, 6:55
3, 2, H, L, 6:55
3, 3, H, L, 6:55
3, 4, H, L, 6:55
3, 5, H, M, 6:55
3, 6, L, L, 6:55
3, 7, L, M, 6:55
4, 0, H, L, 6:59
4, 1, H, L, 6:59
4, 2, H, L, 6:59
4, 3, H, L, 6:59
4, 4, H, H, 6:59
4, 5, H, H, 6:59
4, 6, L, H, 6:59
4, 7, L, H, 6:59
4, 8, M, H, 6:59
4, 9, L, L, 6:59
4, 10, M, M, 6:59
4, 11, M, M, 6:59
4, 12, L, M, 6:59
4, 13, L, L, 6:59
4, 14, H, L, 6:59
4, 15, H, M, 6:59
4, 16, H, M, 6:59
4, 17, M, M, 6:59
4, 18, M, M, 6:59
5, 0, H, H, 6:55
5, 1, H, H, 6:55
5, 2, H, H, 6:55
5, 3, L, L, 6:55
5, 4, L, L, 6:55
5, 5, L, L, 6:55
5, 6, L, M, 6:55
5, 7, L, M, 6:55
5, 8, L, L, 6:55
5, 9, L, L, 6:55
5, 10, L, M, 6:55
5, 11, L, M, 6:55
5, 12, L, M, 6:55
5, 13, L, M, 6:55
5, 14, L, L, 6:55
6, 0, L, H, 6:55
6, 1, L, H, 6:55
6, 2, L, L, 6:55
6, 3, L, L, 6:55
6, 4, L, L, 6:55
6, 5, L, L, 6:55
6, 6, M, M, 6:55
7, 0, M, M, 6:56
7, 1, L, M, 6:56
7, 2, L, L, 6:56
7, 3, L, L, 6:56
7, 4, L, L, 6:56
7, 5, M, M, 6:56
7, 6, L, M, 6:56
7, 7, L, M, 6:56
7, 8, L, L, 6:56
7, 9, M, M, 6:56
7, 10, L, L, 6:56
7, 11, L, L, 6:56
8, 0, L, H, 6:56
8, 1, L, H, 6:56
8, 2, L, L, 6:56
8, 3, L, L, 6:56
8, 4, L, L, 6:56
8, 5, L, L, 6:56
8, 6, L, L, 6:56
