#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 10:29
0, 1, L, L, 10:29
0, 2, M, M, 10:29
0, 3, L, L, 10:29
0, 4, L, L, 10:29
0, 5, L, L, 10:29
0, 6, L, L, 10:29
0, 7, L, L, 10:29
0, 8, L, L, 10:29
0, 9, L, L, 10:29
0, 10, L, H, 10:29
0, 11, M, H, 10:29
0, 12, L, H, 10:29
0, 13, L, H, 10:29
0, 14, L, H, 10:29
0, 15, M, L, 10:29
0, 16, M, M, 10:29
0, 17, M, L, 10:29
0, 18, L, L, 10:29
0, 19, H, H, 10:29
0, 20, H, H, 10:29
0, 21, H, H, 10:29
0, 22, H, L, 10:29
0, 23, H, H, 10:29
0, 24, H, H, 10:29
0, 25, H, H, 10:29
0, 26, H, H, 10:29
0, 27, H, L, 10:29
0, 28, H, L, 10:29
0, 29, H, L, 10:29
0, 30, L, L, 10:29
0, 31, L, L, 10:29
0, 32, L, H, 10:29
0, 33, L, H, 10:29
0, 34, L, L, 10:29
0, 35, L, L, 10:29
0, 36, L, L, 10:29
1, 0, L, L, 10:27
1, 1, L, L, 10:27
1, 2, L, L, 10:27
1, 3, L, L, 10:27
1, 4, L, L, 10:27
1, 5, L, L, 10:27
1, 6, M, M, 10:27
1, 7, M, M, 10:27
1, 8, L, L, 10:27
1, 9, L, L, 10:27
1, 10, L, L, 10:27
1, 11, M, M, 10:27
2, 0, M, M, 10:27
2, 1, M, M, 10:27
2, 2, L, L, 10:27
2, 3, L, L, 10:27
2, 4, M, M, 10:27
2, 5, M, M, 10:27
2, 6, L, L, 10:27
2, 7, L, L, 10:27
2, 8, L, L, 10:27
2, 9, L, L, 10:27
2, 10, L, L, 10:27
2, 11, L, L, 10:27
2, 12, L, L, 10:27
2, 13, H, L, 10:27
2, 14, H, L, 10:27
2, 15, H, M, 10:27
2, 16, L, L, 10:27
2, 17, L, L, 10:27
2, 18, L, L, 10:27
2, 19, L, L, 10:27
2, 20, L, L, 10:27
2, 21, L, L, 10:27
2, 22, M, L, 10:27
2, 23, M, L, 10:27
2, 24, M, L, 10:27
3, 0, M, L, 10:10
3, 1, H, L, 10:10
3, 2, H, L, 10:10
3, 3, H, L, 10:10
3, 4, H, L, 10:10
3, 5, H, L, 10:10
3, 6, L, L, 10:10
3, 7, L, L, 10:10
4, 0, L, L, 10:27
4, 1, L, L, 10:27
4, 2, L, L, 10:27
4, 3, L, L, 10:27
4, 4, M, M, 10:27
4, 5, M, H, 10:27
4, 6, L, H, 10:27
4, 7, L, H, 10:27
4, 8, L, L, 10:27
4, 9, L, L, 10:27
4, 10, M, L, 10:27
4, 11, M, L, 10:27
4, 12, L, L, 10:27
4, 13, H, L, 10:27
4, 14, H, L, 10:27
4, 15, H, M, 10:27
4, 16, H, H, 10:27
4, 17, H, H, 10:27
4, 18, H, H, 10:27
5, 0, M, M, 10:27
5, 1, M, M, 10:27
5, 2, M, M, 10:27
5, 3, L, L, 10:27
5, 4, L, L, 10:27
5, 5, L, L, 10:27
5, 6, H, L, 10:27
5, 7, H, L, 10:27
5, 8, H, L, 10:27
5, 9, H, H, 10:27
5, 10, H, H, 10:27
5, 11, L, H, 10:27
5, 12, L, H, 10:27
5, 13, L, H, 10:27
5, 14, L, H, 10:27
6, 0, L, L, 10:10
6, 1, L, L, 10:10
6, 2, L, L, 10:10
6, 3, L, L, 10:10
6, 4, L, L, 10:10
6, 5, M, M, 10:10
6, 6, M, M, 10:10
7, 0, M, M, 10:10
7, 1, M, H, 10:10
7, 2, L, H, 10:10
7, 3, L, H, 10:10
7, 4, L, H, 10:10
7, 5, M, H, 10:10
7, 6, M, H, 10:10
7, 7, L, L, 10:10
7, 8, L, L, 10:10
7, 9, M, H, 10:10
7, 10, M, H, 10:10
7, 11, M, H, 10:10
8, 0, L, H, 10:06
8, 1, L, L, 10:06
8, 2, L, L, 10:06
8, 3, L, L, 10:06
8, 4, L, L, 10:06
8, 5, L, L, 10:06
8, 6, L, L, 10:06
