#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 7:16
0, 1, L, L, 7:16
0, 2, L, L, 7:16
0, 3, L, L, 7:16
0, 4, L, L, 7:16
0, 5, L, L, 7:16
0, 6, L, L, 7:16
0, 7, L, L, 7:16
0, 8, L, L, 7:16
0, 9, L, L, 7:16
0, 10, H, M, 7:16
0, 11, H, M, 7:16
0, 12, H, M, 7:16
0, 13, H, L, 7:16
0, 14, H, L, 7:16
0, 15, H, L, 7:16
0, 16, H, M, 7:16
0, 17, H, L, 7:16
0, 18, H, L, 7:16
0, 19, H, H, 7:16
0, 20, H, H, 7:16
0, 21, H, H, 7:16
0, 22, H, H, 7:16
0, 23, H, L, 7:16
0, 24, H, L, 7:16
0, 25, H, L, 7:16
0, 26, H, L, 7:16
0, 27, L, L, 7:16
0, 28, L, L, 7:16
0, 29, M, H, 7:16
0, 30, L, L, 7:16
0, 31, M, L, 7:16
0, 32, L, M, 7:16
0, 33, L, M, 7:16
0, 34, L, L, 7:16
0, 35, L, L, 7:16
0, 36, L, L, 7:16
1, 0, L, L, 7:16
1, 1, M, L, 7:16
1, 2, L, L, 7:16
1, 3, L, L, 7:16
1, 4, M, L, 7:16
1, 5, M, L, 7:16
1, 6, M, M, 7:16
1, 7, M, M, 7:16
1, 8, L, L, 7:16
1, 9, L, L, 7:16
1, 10, M, L, 7:16
1, 11, M, M, 7:16
2, 0, M, M, 7:17
2, 1, M, M, 7:17
2, 2, L, L, 7:17
2, 3, L, L, 7:17
2, 4, M, L, 7:17
2, 5, L, L, 7:17
2, 6, L, L, 7:17
2, 7, M, M, 7:17
2, 8, M, M, 7:17
2, 9, L, L, 7:17
2, 10, L, L, 7:17
2, 11, M, M, 7:17
2, 12, L, M, 7:17
2, 13, L, L, 7:17
2, 14, M, L, 7:17
2, 15, M, M, 7:17
2, 16, L, L, 7:17
2, 17, L, L, 7:17
2, 18, M, M, 7:17
2, 19, L, L, 7:17
2, 20, M, M, 7:17
2, 21, L, L, 7:17
2, 22, L, L, 7:17
2, 23, L, L, 7:17
2, 24, L, L, 7:17
3, 0, M, M, 7:16
3, 1, M, M, 7:16
3, 2, L, L, 7:16
3, 3, L, L, 7:16
3, 4, M, L, 7:16
3, 5, M, M, 7:16
3, 6, L, L, 7:16
3, 7, L, L, 7:16
4, 0, M, L, 7:16
4, 1, L, L, 7:16
4, 2, H, L, 7:16
4, 3, H, L, 7:16
4, 4, H, L, 7:16
4, 5, H, M, 7:16
4, 6, H, M, 7:16
4, 7, H, M, 7:16
4, 8, L, L, 7:16
4, 9, L, L, 7:16
4, 10, M, M, 7:16
4, 11, M, M, 7:16
4, 12, L, L, 7:16
4, 13, L, L, 7:16
4, 14, H, L, 7:16
4, 15, H, L, 7:16
4, 16, H, M, 7:16
4, 17, H, L, 7:16
4, 18, H, L, 7:16
5, 0, L, L, 7:16
5, 1, L, L, 7:16
5, 2, L, L, 7:16
5, 3, L, L, 7:16
5, 4, L, L, 7:16
5, 5, L, L, 7:16
5, 6, L, L, 7:16
5, 7, M, L, 7:16
5, 8, M, M, 7:16
5, 9, L, L, 7:16
5, 10, L, L, 7:16
5, 11, L, L, 7:16
5, 12, L, L, 7:16
5, 13, L, L, 7:16
5, 14, L, L, 7:16
6, 0, L, L, 7:15
6, 1, M, M, 7:15
6, 2, L, L, 7:15
6, 3, L, L, 7:15
6, 4, L, L, 7:15
6, 5, L, L, 7:15
6, 6, M, M, 7:15
7, 0, M, M, 7:15
7, 1, M, M, 7:15
7, 2, L, L, 7:15
7, 3, L, L, 7:15
7, 4, L, L, 7:15
7, 5, L, L, 7:15
7, 6, M, M, 7:15
7, 7, L, L, 7:15
7, 8, L, L, 7:15
7, 9, L, H, 7:15
7, 10, L, H, 7:15
7, 11, L, H, 7:15
8, 0, L, H, 7:15
8, 1, L, L, 7:15
8, 2, L, L, 7:15
8, 3, L, L, 7:15
8, 4, L, L, 7:15
8, 5, L, L, 7:15
8, 6, L, L, 7:15
