#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 5:46
0, 1, M, M, 5:46
0, 2, H, H, 5:46
0, 3, H, H, 5:46
0, 4, H, H, 5:46
0, 5, H, L, 5:46
0, 6, L, L, 5:46
0, 7, L, L, 5:46
0, 8, L, L, 5:46
0, 9, L, L, 5:46
0, 10, H, L, 5:46
0, 11, H, L, 5:46
0, 12, H, H, 5:46
0, 13, L, H, 5:46
0, 14, L, H, 5:46
0, 15, L, H, 5:46
0, 16, L, L, 5:46
0, 17, L, H, 5:46
0, 18, L, L, 5:46
0, 19, M, L, 5:46
0, 20, L, L, 5:46
0, 21, L, M, 5:46
0, 22, L, L, 5:46
0, 23, L, L, 5:46
0, 24, L, L, 5:46
0, 25, L, L, 5:46
0, 26, L, M, 5:46
0, 27, L, L, 5:46
0, 28, L, L, 5:46
0, 29, L, L, 5:46
0, 30, M, L, 5:46
0, 31, M, L, 5:46
0, 32, L, M, 5:46
0, 33, L, M, 5:46
0, 34, L, L, 5:46
0, 35, L, L, 5:46
0, 36, L, L, 5:46
1, 0, L, L, 5:43
1, 1, L, L, 5:43
1, 2, L, L, 5:43
1, 3, L, L, 5:43
1, 4, L, L, 5:43
1, 5, L, L, 5:43
1, 6, M, M, 5:43
1, 7, M, M, 5:43
1, 8, L, L, 5:43
1, 9, L, L, 5:43
1, 10, L, L, 5:43
1, 11, L, L, 5:43
2, 0, M, M, 5:42
2, 1, L, L, 5:42
2, 2, L, L, 5:42
2, 3, L, L, 5:42
2, 4, L, L, 5:42
2, 5, L, L, 5:42
2, 6, M, M, 5:42
2, 7, M, M, 5:42
2, 8, L, L, 5:42
2, 9, L, L, 5:42
2, 10, M, M, 5:42
2, 11, M, M, 5:42
2, 12, L, L, 5:42
2, 13, L, L, 5:42
2, 14, L, L, 5:42
2, 15, L, L, 5:42
2, 16, L, L, 5:42
2, 17, L, L, 5:42
2, 18, L, L, 5:42
2, 19, L, L, 5:42
2, 20, L, L, 5:42
2, 21, L, L, 5:42
2, 22, L, L, 5:42
2, 23, L, L, 5:42
2, 24, L, L, 5:42
3, 0, L, L, 5:42
3, 1, M, M, 5:42
3, 2, M, M, 5:42
3, 3, L, L, 5:42
3, 4, M, M, 5:42
3, 5, M, M, 5:42
3, 6, L, M, 5:42
3, 7, L, M, 5:42
4, 0, M, L, 5:45
4, 1, L, L, 5:45
4, 2, M, M, 5:45
4, 3, L, L, 5:45
4, 4, L, L, 5:45
4, 5, M, H, 5:45
4, 6, M, H, 5:45
4, 7, M, H, 5:45
4, 8, M, H, 5:45
4, 9, L, M, 5:45
4, 10, M, M, 5:45
4, 11, L, L, 5:45
4, 12, L, L, 5:45
4, 13, L, L, 5:45
4, 14, L, L, 5:45
4, 15, L, L, 5:45
4, 16, M, H, 5:45
4, 17, M, H, 5:45
4, 18, M, H, 5:45
5, 0, L, L, 5:41
5, 1, L, L, 5:41
5, 2, L, L, 5:41
5, 3, L, L, 5:41
5, 4, M, M, 5:41
5, 5, L, L, 5:41
5, 6, L, L, 5:41
5, 7, L, L, 5:41
5, 8, M, M, 5:41
5, 9, M, M, 5:41
5, 10, M, M, 5:41
5, 11, L, L, 5:41
5, 12, L, L, 5:41
5, 13, L, L, 5:41
5, 14, L, L, 5:41
6, 0, L, L, 5:39
6, 1, M, M, 5:39
6, 2, L, L, 5:39
6, 3, L, L, 5:39
6, 4, M, M, 5:39
6, 5, M, M, 5:39
6, 6, L, L, 5:39
7, 0, L, L, 5:42
7, 1, L, L, 5:42
7, 2, M, M, 5:42
7, 3, M, M, 5:42
7, 4, M, M, 5:42
7, 5, M, M, 5:42
7, 6, M, M, 5:42
7, 7, M, M, 5:42
7, 8, L, L, 5:42
7, 9, M, M, 5:42
7, 10, H, L, 5:42
7, 11, H, L, 5:42
8, 0, L, H, 5:42
8, 1, L, L, 5:42
8, 2, L, L, 5:42
8, 3, L, L, 5:42
8, 4, L, L, 5:42
8, 5, L, L, 5:42
8, 6, L, L, 5:42
