#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 10:25
0, 1, L, L, 10:25
0, 2, M, M, 10:25
0, 3, L, L, 10:25
0, 4, L, L, 10:25
0, 5, L, L, 10:25
0, 6, L, L, 10:25
0, 7, L, L, 10:25
0, 8, L, L, 10:25
0, 9, L, L, 10:25
0, 10, L, L, 10:25
0, 11, M, M, 10:25
0, 12, M, M, 10:25
0, 13, L, M, 10:25
0, 14, L, L, 10:25
0, 15, L, M, 10:25
0, 16, L, L, 10:25
0, 17, L, L, 10:25
0, 18, M, L, 10:25
0, 19, M, L, 10:25
0, 20, L, M, 10:25
0, 21, L, L, 10:25
0, 22, M, L, 10:25
0, 23, M, M, 10:25
0, 24, L, L, 10:25
0, 25, L, L, 10:25
0, 26, L, M, 10:25
0, 27, M, M, 10:25
0, 28, M, M, 10:25
0, 29, M, M, 10:25
0, 30, L, L, 10:25
0, 31, L, L, 10:25
0, 32, M, M, 10:25
0, 33, L, M, 10:25
0, 34, L, L, 10:25
0, 35, L, L, 10:25
0, 36, L, L, 10:25
1, 0, M, M, 10:22
1, 1, L, L, 10:22
1, 2, L, L, 10:22
1, 3, L, L, 10:22
1, 4, L, L, 10:22
1, 5, L, L, 10:22
1, 6, M, M, 10:22
1, 7, M, M, 10:22
1, 8, L, L, 10:22
1, 9, L, L, 10:22
1, 10, L, L, 10:22
1, 11, M, L, 10:22
2, 0, M, M, 10:22
2, 1, M, M, 10:22
2, 2, L, L, 10:22
2, 3, L, L, 10:22
2, 4, M, M, 10:22
2, 5, M, M, 10:22
2, 6, L, L, 10:22
2, 7, L, L, 10:22
2, 8, L, L, 10:22
2, 9, L, L, 10:22
2, 10, L, L, 10:22
2, 11, L, L, 10:22
2, 12, L, L, 10:22
2, 13, L, L, 10:22
2, 14, M, M, 10:22
2, 15, M, M, 10:22
2, 16, M, M, 10:22
2, 17, L, L, 10:22
2, 18, L, L, 10:22
2, 19, L, L, 10:22
2, 20, L, L, 10:22
2, 21, L, L, 10:22
2, 22, M, L, 10:22
2, 23, M, L, 10:22
2, 24, M, M, 10:22
3, 0, L, L, 10:22
3, 1, M, M, 10:22
3, 2, M, L, 10:22
3, 3, L, L, 10:22
3, 4, L, L, 10:22
3, 5, M, M, 10:22
3, 6, L, L, 10:22
3, 7, M, M, 10:22
4, 0, L, L, 10:22
4, 1, L, L, 10:22
4, 2, L, L, 10:22
4, 3, L, M, 10:22
4, 4, M, M, 10:22
4, 5, M, M, 10:22
4, 6, M, M, 10:22
4, 7, L, M, 10:22
4, 8, L, L, 10:22
4, 9, L, L, 10:22
4, 10, M, M, 10:22
4, 11, L, M, 10:22
4, 12, L, L, 10:22
4, 13, L, L, 10:22
4, 14, M, L, 10:22
4, 15, L, M, 10:22
4, 16, M, M, 10:22
4, 17, L, L, 10:22
4, 18, M, M, 10:22
5, 0, M, M, 10:22
5, 1, M, M, 10:22
5, 2, L, L, 10:22
5, 3, L, L, 10:22
5, 4, L, L, 10:22
5, 5, L, L, 10:22
5, 6, M, M, 10:22
5, 7, M, M, 10:22
5, 8, M, L, 10:22
5, 9, M, M, 10:22
5, 10, M, M, 10:22
5, 11, M, L, 10:22
5, 12, L, L, 10:22
5, 13, L, L, 10:22
5, 14, M, L, 10:22
6, 0, L, L, 10:22
6, 1, L, L, 10:22
6, 2, L, L, 10:22
6, 3, L, L, 10:22
6, 4, L, L, 10:22
6, 5, M, M, 10:22
6, 6, M, M, 10:22
7, 0, M, M, 10:22
7, 1, M, M, 10:22
7, 2, M, L, 10:22
7, 3, M, L, 10:22
7, 4, L, L, 10:22
7, 5, L, M, 10:22
7, 6, L, L, 10:22
7, 7, L, M, 10:22
7, 8, L, L, 10:22
7, 9, M, M, 10:22
7, 10, M, M, 10:22
7, 11, L, M, 10:22
8, 0, L, L, 10:22
8, 1, L, L, 10:22
8, 2, L, L, 10:22
8, 3, L, L, 10:22
8, 4, L, L, 10:22
8, 5, L, L, 10:22
8, 6, L, L, 10:22
