#lineID, stationID, statusN, statusS, timestamp
0, 0, M, M, 6:58
0, 1, L, L, 6:58
0, 2, M, M, 6:58
0, 3, L, L, 6:58
0, 4, M, M, 6:58
0, 5, M, L, 6:58
0, 6, L, L, 6:58
0, 7, L, L, 6:58
0, 8, L, L, 6:58
0, 9, L, L, 6:58
0, 10, L, L, 6:58
0, 11, M, M, 6:58
0, 12, M, M, 6:58
0, 13, L, M, 6:58
0, 14, L, M, 6:58
0, 15, M, H, 6:58
0, 16, L, H, 6:58
0, 17, M, H, 6:58
0, 18, L, H, 6:58
0, 19, L, H, 6:58
0, 20, L, H, 6:58
0, 21, H, H, 6:58
0, 22, H, H, 6:58
0, 23, H, H, 6:58
0, 24, H, H, 6:58
0, 25, H, H, 6:58
0, 26, H, H, 6:58
0, 27, H, H, 6:58
0, 28, H, H, 6:58
0, 29, H, H, 6:58
0, 30, H, H, 6:58
0, 31, L, H, 6:58
0, 32, M, H, 6:58
0, 33, M, H, 6:58
0, 34, L, H, 6:58
0, 35, L, L, 6:58
0, 36, L, L, 6:58
1, 0, L, L, 4:24
1, 1, L, L, 4:24
1, 2, L, L, 4:24
1, 3, L, L, 4:24
1, 4, L, L, 4:24
1, 5, L, L, 4:24
1, 6, M, M, 4:24
1, 7, M, M, 4:24
1, 8, M, L, 4:24
1, 9, L, L, 4:24
1, 10, L, L, 4:24
1, 11, M, M, 4:24
2, 0, M, M, 6:56
2, 1, M, M, 6:56
2, 2, L, M, 6:56
2, 3, L, L, 6:56
2, 4, M, M, 6:56
2, 5, M, M, 6:56
2, 6, M, M, 6:56
2, 7, L, M, 6:56
2, 8, M, M, 6:56
2, 9, M, M, 6:56
2, 10, L, L, 6:56
2, 11, M, M, 6:56
2, 12, M, M, 6:56
2, 13, L, L, 6:56
2, 14, M, M, 6:56
2, 15, M, M, 6:56
2, 16, M, L, 6:56
2, 17, L, M, 6:56
2, 18, M, M, 6:56
2, 19, L, L, 6:56
2, 20, L, L, 6:56
2, 21, L, M, 6:56
2, 22, L, M, 6:56
2, 23, M, L, 6:56
2, 24, M, M, 6:56
3, 0, L, M, 6:56
3, 1, M, M, 6:56
3, 2, M, M, 6:56
3, 3, M, M, 6:56
3, 4, M, M, 6:56
3, 5, M, M, 6:56
3, 6, L, M, 6:56
3, 7, L, M, 6:56
4, 0, L, L, 6:57
4, 1, L, L, 6:57
4, 2, H, M, 6:57
4, 3, H, L, 6:57
4, 4, H, L, 6:57
4, 5, H, H, 6:57
4, 6, L, H, 6:57
4, 7, L, H, 6:57
4, 8, L, L, 6:57
4, 9, M, L, 6:57
4, 10, H, M, 6:57
4, 11, H, M, 6:57
4, 12, M, M, 6:57
4, 13, L, L, 6:57
4, 14, M, L, 6:57
4, 15, M, M, 6:57
4, 16, M, H, 6:57
4, 17, L, H, 6:57
4, 18, L, H, 6:57
5, 0, M, M, 6:56
5, 1, M, M, 6:56
5, 2, L, L, 6:56
5, 3, M, L, 6:56
5, 4, L, L, 6:56
5, 5, L, L, 6:56
5, 6, H, H, 6:56
5, 7, H, H, 6:56
5, 8, H, H, 6:56
5, 9, H, H, 6:56
5, 10, H, M, 6:56
5, 11, H, M, 6:56
5, 12, L, L, 6:56
5, 13, L, L, 6:56
5, 14, L, L, 6:56
6, 0, M, M, 6:56
6, 1, M, M, 6:56
6, 2, L, L, 6:56
6, 3, L, L, 6:56
6, 4, L, M, 6:56
6, 5, M, L, 6:56
6, 6, L, L, 6:56
7, 0, M, H, 6:56
7, 1, M, H, 6:56
7, 2, L, H, 6:56
7, 3, L, H, 6:56
7, 4, L, H, 6:56
7, 5, M, H, 6:56
7, 6, M, H, 6:56
7, 7, L, H, 6:56
7, 8, H, L, 6:56
7, 9, H, H, 6:56
7, 10, H, H, 6:56
7, 11, L, H, 6:56
8, 0, L, H, 7:01
8, 1, L, L, 7:01
8, 2, H, L, 7:01
8, 3, H, L, 7:01
8, 4, H, H, 7:01
8, 5, L, L, 7:01
8, 6, L, L, 7:01
