#lineID, stationID, statusN, statusS, timestamp
0, 0, M, M, 10:16
0, 1, L, L, 10:16
0, 2, M, M, 10:16
0, 3, L, L, 10:16
0, 4, M, M, 10:16
0, 5, M, L, 10:16
0, 6, L, L, 10:16
0, 7, L, L, 10:16
0, 8, L, L, 10:16
0, 9, L, L, 10:16
0, 10, L, L, 10:16
0, 11, L, M, 10:16
0, 12, L, L, 10:16
0, 13, L, L, 10:16
0, 14, L, L, 10:16
0, 15, L, L, 10:16
0, 16, L, L, 10:16
0, 17, L, L, 10:16
0, 18, L, L, 10:16
0, 19, L, H, 10:16
0, 20, L, H, 10:16
0, 21, L, H, 10:16
0, 22, L, H, 10:16
0, 23, M, H, 10:16
0, 24, L, H, 10:16
0, 25, L, H, 10:16
0, 26, M, H, 10:16
0, 27, M, H, 10:16
0, 28, M, M, 10:16
0, 29, M, M, 10:16
0, 30, L, L, 10:16
0, 31, L, L, 10:16
0, 32, M, M, 10:16
0, 33, M, M, 10:16
0, 34, L, L, 10:16
0, 35, L, L, 10:16
0, 36, L, L, 10:16
1, 0, L, L, 10:17
1, 1, L, L, 10:17
1, 2, L, L, 10:17
1, 3, L, L, 10:17
1, 4, L, L, 10:17
1, 5, L, L, 10:17
1, 6, M, M, 10:17
1, 7, M, M, 10:17
1, 8, L, L, 10:17
1, 9, L, L, 10:17
1, 10, L, L, 10:17
1, 11, M, M, 10:17
2, 0, M, M, 10:17
2, 1, M, M, 10:17
2, 2, L, L, 10:17
2, 3, L, L, 10:17
2, 4, L, L, 10:17
2, 5, L, L, 10:17
2, 6, L, L, 10:17
2, 7, L, L, 10:17
2, 8, M, M, 10:17
2, 9, L, L, 10:17
2, 10, L, L, 10:17
2, 11, M, M, 10:17
2, 12, M, M, 10:17
2, 13, L, L, 10:17
2, 14, M, L, 10:17
2, 15, M, M, 10:17
2, 16, L, L, 10:17
2, 17, L, L, 10:17
2, 18, M, M, 10:17
2, 19, L, L, 10:17
2, 20, L, L, 10:17
2, 21, L, L, 10:17
2, 22, L, L, 10:17
2, 23, L, L, 10:17
2, 24, M, M, 10:17
3, 0, L, M, 10:17
3, 1, M, M, 10:17
3, 2, L, L, 10:17
3, 3, L, L, 10:17
3, 4, M, L, 10:17
3, 5, M, M, 10:17
3, 6, L, L, 10:17
3, 7, L, M, 10:17
4, 0, L, L, 10:17
4, 1, L, L, 10:17
4, 2, M, M, 10:17
4, 3, L, L, 10:17
4, 4, L, L, 10:17
4, 5, M, M, 10:17
4, 6, L, M, 10:17
4, 7, L, M, 10:17
4, 8, L, L, 10:17
4, 9, L, L, 10:17
4, 10, M, M, 10:17
4, 11, M, M, 10:17
4, 12, M, M, 10:17
4, 13, L, L, 10:17
4, 14, M, L, 10:17
4, 15, M, M, 10:17
4, 16, M, H, 10:17
4, 17, L, H, 10:17
4, 18, L, H, 10:17
5, 0, M, M, 10:17
5, 1, M, M, 10:17
5, 2, L, L, 10:17
5, 3, L, L, 10:17
5, 4, L, L, 10:17
5, 5, L, L, 10:17
5, 6, L, L, 10:17
5, 7, L, L, 10:17
5, 8, M, M, 10:17
5, 9, M, M, 10:17
5, 10, M, M, 10:17
5, 11, M, L, 10:17
5, 12, L, L, 10:17
5, 13, L, L, 10:17
5, 14, L, L, 10:17
6, 0, M, M, 10:00
6, 1, M, M, 10:00
6, 2, L, L, 10:00
6, 3, L, L, 10:00
6, 4, L, L, 10:00
6, 5, M, M, 10:00
6, 6, L, L, 10:00
7, 0, M, M, 10:00
7, 1, M, M, 10:00
7, 2, L, M, 10:00
7, 3, L, M, 10:00
7, 4, L, L, 10:00
7, 5, M, M, 10:00
7, 6, M, M, 10:00
7, 7, L, L, 10:00
7, 8, H, L, 10:00
7, 9, H, H, 10:00
7, 10, H, H, 10:00
7, 11, L, H, 10:00
8, 0, L, L, 10:00
8, 1, L, L, 10:00
8, 2, L, L, 10:00
8, 3, L, L, 10:00
8, 4, L, L, 10:00
8, 5, L, L, 10:00
8, 6, L, L, 10:00
