#lineID, stationID, statusN, statusS, timestamp
0, 0, L, H, 4:46
0, 1, L, H, 4:46
0, 2, M, H, 4:46
0, 3, L, H, 4:46
0, 4, L, H, 4:46
0, 5, L, H, 4:46
0, 6, L, L, 4:46
0, 7, L, L, 4:46
0, 8, M, L, 4:46
0, 9, M, L, 4:46
0, 10, H, H, 4:46
0, 11, H, H, 4:46
0, 12, H, H, 4:46
0, 13, H, M, 4:46
0, 14, H, M, 4:46
0, 15, H, L, 4:46
0, 16, H, H, 4:46
0, 17, H, H, 4:46
0, 18, L, H, 4:46
0, 19, L, H, 4:46
0, 20, L, H, 4:46
0, 21, L, H, 4:46
0, 22, L, H, 4:46
0, 23, L, H, 4:46
0, 24, L, H, 4:46
0, 25, L, H, 4:46
0, 26, M, H, 4:46
0, 27, L, H, 4:46
0, 28, M, H, 4:46
0, 29, L, M, 4:46
0, 30, L, L, 4:46
0, 31, M, L, 4:46
0, 32, L, H, 4:46
0, 33, L, H, 4:46
0, 34, L, L, 4:46
0, 35, L, L, 4:46
0, 36, L, L, 4:46
1, 0, L, L, 4:43
1, 1, L, L, 4:43
1, 2, L, M, 4:43
1, 3, L, L, 4:43
1, 4, L, L, 4:43
1, 5, L, L, 4:43
1, 6, L, M, 4:43
1, 7, M, M, 4:43
1, 8, M, L, 4:43
1, 9, L, L, 4:43
1, 10, L, L, 4:43
1, 11, M, M, 4:43
2, 0, M, H, 4:43
2, 1, M, H, 4:43
2, 2, L, H, 4:43
2, 3, L, H, 4:43
2, 4, M, H, 4:43
2, 5, L, H, 4:43
2, 6, L, H, 4:43
2, 7, L, H, 4:43
2, 8, L, H, 4:43
2, 9, L, L, 4:43
2, 10, L, L, 4:43
2, 11, M, M, 4:43
2, 12, M, M, 4:43
2, 13, L, L, 4:43
2, 14, M, L, 4:43
2, 15, M, M, 4:43
2, 16, L, M, 4:43
2, 17, L, L, 4:43
2, 18, L, L, 4:43
2, 19, L, L, 4:43
2, 20, L, L, 4:43
2, 21, L, L, 4:43
2, 22, M, L, 4:43
2, 23, M, L, 4:43
2, 24, M, M, 4:43
3, 0, L, M, 4:43
3, 1, M, M, 4:43
3, 2, M, M, 4:43
3, 3, M, L, 4:43
3, 4, M, L, 4:43
3, 5, M, M, 4:43
3, 6, L, M, 4:43
3, 7, M, M, 4:43
4, 0, L, L, 4:43
4, 1, L, L, 4:43
4, 2, L, L, 4:43
4, 3, L, L, 4:43
4, 4, H, H, 4:43
4, 5, H, H, 4:43
4, 6, H, H, 4:43
4, 7, L, H, 4:43
4, 8, L, L, 4:43
4, 9, L, L, 4:43
4, 10, H, H, 4:43
4, 11, L, L, 4:43
4, 12, M, M, 4:43
4, 13, L, H, 4:43
4, 14, H, L, 4:43
4, 15, H, M, 4:43
4, 16, H, H, 4:43
4, 17, L, H, 4:43
4, 18, L, H, 4:43
5, 0, H, H, 4:42
5, 1, H, H, 4:42
5, 2, L, H, 4:42
5, 3, L, H, 4:42
5, 4, L, L, 4:42
5, 5, M, M, 4:42
5, 6, H, H, 4:42
5, 7, H, H, 4:42
5, 8, H, H, 4:42
5, 9, H, M, 4:42
5, 10, H, M, 4:42
5, 11, M, M, 4:42
5, 12, L, L, 4:42
5, 13, L, L, 4:42
5, 14, L, L, 4:42
6, 0, M, M, 4:42
6, 1, M, L, 4:42
6, 2, L, L, 4:42
6, 3, L, L, 4:42
6, 4, L, L, 4:42
6, 5, M, M, 4:42
6, 6, M, M, 4:42
7, 0, H, H, 4:42
7, 1, M, M, 4:42
7, 2, H, M, 4:42
7, 3, H, H, 4:42
7, 4, H, H, 4:42
7, 5, H, H, 4:42
7, 6, H, M, 4:42
7, 7, L, L, 4:42
7, 8, L, M, 4:42
7, 9, M, M, 4:42
7, 10, L, M, 4:42
7, 11, L, M, 4:42
8, 0, L, L, 4:42
8, 1, L, L, 4:42
8, 2, L, L, 4:42
8, 3, L, L, 4:42
8, 4, L, L, 4:42
8, 5, L, L, 4:42
8, 6, L, L, 4:42
