#lineID, stationID, statusN, statusS, timestamp
0, 0, H, H, 2:45
0, 1, L, L, 2:45
0, 2, M, M, 2:45
0, 3, L, L, 2:45
0, 4, L, L, 2:45
0, 5, L, L, 2:45
0, 6, L, L, 2:45
0, 7, L, L, 2:45
0, 8, L, L, 2:45
0, 9, L, L, 2:45
0, 10, L, M, 2:45
0, 11, M, M, 2:45
0, 12, L, M, 2:45
0, 13, L, M, 2:45
0, 14, L, M, 2:45
0, 15, L, L, 2:45
0, 16, M, L, 2:45
0, 17, L, L, 2:45
0, 18, L, L, 2:45
0, 19, L, H, 2:45
0, 20, L, H, 2:45
0, 21, L, L, 2:45
0, 22, L, L, 2:45
0, 23, L, L, 2:45
0, 24, L, L, 2:45
0, 25, L, L, 2:45
0, 26, L, L, 2:45
0, 27, H, L, 2:45
0, 28, H, M, 2:45
0, 29, H, L, 2:45
0, 30, L, L, 2:45
0, 31, M, L, 2:45
0, 32, M, H, 2:45
0, 33, M, H, 2:45
0, 34, L, L, 2:45
0, 35, L, L, 2:45
0, 36, L, L, 2:45
1, 0, L, M, 2:45
1, 1, L, L, 2:45
1, 2, L, L, 2:45
1, 3, L, L, 2:45
1, 4, L, L, 2:45
1, 5, L, L, 2:45
1, 6, M, M, 2:45
1, 7, M, M, 2:45
1, 8, L, L, 2:45
1, 9, L, L, 2:45
1, 10, L, L, 2:45
1, 11, M, M, 2:45
2, 0, M, M, 2:45
2, 1, M, M, 2:45
2, 2, L, M, 2:45
2, 3, M, M, 2:45
2, 4, M, M, 2:45
2, 5, M, M, 2:45
2, 6, M, M, 2:45
2, 7, M, L, 2:45
2, 8, L, M, 2:45
2, 9, L, L, 2:45
2, 10, L, L, 2:45
2, 11, M, M, 2:45
2, 12, M, M, 2:45
2, 13, L, L, 2:45
2, 14, M, L, 2:45
2, 15, M, M, 2:45
2, 16, M, M, 2:45
2, 17, M, L, 2:45
2, 18, M, M, 2:45
2, 19, L, L, 2:45
2, 20, M, L, 2:45
2, 21, M, L, 2:45
2, 22, M, L, 2:45
2, 23, M, L, 2:45
2, 24, M, M, 2:45
3, 0, M, M, 2:45
3, 1, M, M, 2:45
3, 2, M, L, 2:45
3, 3, M, L, 2:45
3, 4, M, L, 2:45
3, 5, M, M, 2:45
3, 6, L, M, 2:45
3, 7, M, M, 2:45
4, 0, M, L, 2:47
4, 1, L, L, 2:47
4, 2, L, L, 2:47
4, 3, H, L, 2:47
4, 4, H, M, 2:47
4, 5, H, M, 2:47
4, 6, L, L, 2:47
4, 7, L, L, 2:47
4, 8, L, L, 2:47
4, 9, L, L, 2:47
4, 10, H, M, 2:47
4, 11, H, M, 2:47
4, 12, M, L, 2:47
4, 13, L, L, 2:47
4, 14, L, L, 2:47
4, 15, M, M, 2:47
4, 16, M, M, 2:47
4, 17, M, L, 2:47
4, 18, M, L, 2:47
5, 0, L, M, 2:47
5, 1, M, M, 2:47
5, 2, M, M, 2:47
5, 3, L, L, 2:47
5, 4, L, L, 2:47
5, 5, L, L, 2:47
5, 6, L, L, 2:47
5, 7, L, M, 2:47
5, 8, M, M, 2:47
5, 9, M, H, 2:47
5, 10, M, H, 2:47
5, 11, M, H, 2:47
5, 12, L, M, 2:47
5, 13, M, M, 2:47
5, 14, L, L, 2:47
6, 0, L, L, 2:47
6, 1, L, L, 2:47
6, 2, L, L, 2:47
6, 3, L, L, 2:47
6, 4, L, L, 2:47
6, 5, M, M, 2:47
6, 6, L, L, 2:47
7, 0, L, M, 2:45
7, 1, M, M, 2:45
7, 2, M, M, 2:45
7, 3, L, L, 2:45
7, 4, L, L, 2:45
7, 5, L, L, 2:45
7, 6, M, M, 2:45
7, 7, L, L, 2:45
7, 8, L, L, 2:45
7, 9, M, H, 2:45
7, 10, M, H, 2:45
7, 11, L, L, 2:45
8, 0, L, L, 2:47
8, 1, L, L, 2:47
8, 2, L, L, 2:47
8, 3, L, L, 2:47
8, 4, L, L, 2:47
8, 5, L, L, 2:47
8, 6, L, L, 2:47
