#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 10:44
0, 1, L, L, 10:44
0, 2, M, M, 10:44
0, 3, L, L, 10:44
0, 4, L, L, 10:44
0, 5, L, L, 10:44
0, 6, L, L, 10:44
0, 7, L, L, 10:44
0, 8, L, L, 10:44
0, 9, L, L, 10:44
0, 10, L, L, 10:44
0, 11, M, L, 10:44
0, 12, M, L, 10:44
0, 13, M, L, 10:44
0, 14, L, L, 10:44
0, 15, M, L, 10:44
0, 16, L, L, 10:44
0, 17, L, M, 10:44
0, 18, L, L, 10:44
0, 19, L, H, 10:44
0, 20, L, H, 10:44
0, 21, L, H, 10:44
0, 22, L, H, 10:44
0, 23, L, H, 10:44
0, 24, L, H, 10:44
0, 25, L, H, 10:44
0, 26, L, H, 10:44
0, 27, L, M, 10:44
0, 28, M, M, 10:44
0, 29, M, L, 10:44
0, 30, L, L, 10:44
0, 31, M, L, 10:44
0, 32, L, M, 10:44
0, 33, L, M, 10:44
0, 34, L, L, 10:44
0, 35, L, L, 10:44
0, 36, L, L, 10:44
1, 0, L, L, 10:44
1, 1, L, L, 10:44
1, 2, L, L, 10:44
1, 3, L, L, 10:44
1, 4, L, L, 10:44
1, 5, L, L, 10:44
1, 6, M, M, 10:44
1, 7, M, M, 10:44
1, 8, L, L, 10:44
1, 9, M, L, 10:44
1, 10, L, L, 10:44
1, 11, M, L, 10:44
2, 0, M, M, 10:42
2, 1, M, M, 10:42
2, 2, L, L, 10:42
2, 3, L, L, 10:42
2, 4, M, M, 10:42
2, 5, M, M, 10:42
2, 6, M, M, 10:42
2, 7, M, M, 10:42
2, 8, L, L, 10:42
2, 9, L, L, 10:42
2, 10, L, L, 10:42
2, 11, M, M, 10:42
2, 12, M, M, 10:42
2, 13, L, L, 10:42
2, 14, M, L, 10:42
2, 15, M, L, 10:42
2, 16, L, L, 10:42
2, 17, L, L, 10:42
2, 18, M, L, 10:42
2, 19, L, L, 10:42
2, 20, L, L, 10:42
2, 21, L, L, 10:42
2, 22, M, L, 10:42
2, 23, M, L, 10:42
2, 24, M, L, 10:42
3, 0, M, M, 10:44
3, 1, M, M, 10:44
3, 2, M, M, 10:44
3, 3, L, L, 10:44
3, 4, M, L, 10:44
3, 5, M, M, 10:44
3, 6, M, M, 10:44
3, 7, M, M, 10:44
4, 0, M, M, 10:44
4, 1, M, L, 10:44
4, 2, L, L, 10:44
4, 3, L, L, 10:44
4, 4, H, H, 10:44
4, 5, H, H, 10:44
4, 6, M, H, 10:44
4, 7, M, H, 10:44
4, 8, L, L, 10:44
4, 9, M, L, 10:44
4, 10, M, M, 10:44
4, 11, M, M, 10:44
4, 12, L, L, 10:44
4, 13, L, L, 10:44
4, 14, M, L, 10:44
4, 15, M, M, 10:44
4, 16, L, H, 10:44
4, 17, L, H, 10:44
4, 18, M, H, 10:44
5, 0, L, M, 10:45
5, 1, M, M, 10:45
5, 2, L, M, 10:45
5, 3, L, L, 10:45
5, 4, L, L, 10:45
5, 5, L, L, 10:45
5, 6, M, L, 10:45
5, 7, M, M, 10:45
5, 8, M, M, 10:45
5, 9, M, M, 10:45
5, 10, M, M, 10:45
5, 11, M, M, 10:45
5, 12, L, M, 10:45
5, 13, L, M, 10:45
5, 14, L, M, 10:45
6, 0, L, L, 10:44
6, 1, L, L, 10:44
6, 2, L, L, 10:44
6, 3, L, L, 10:44
6, 4, L, L, 10:44
6, 5, M, M, 10:44
6, 6, L, L, 10:44
7, 0, M, M, 10:44
7, 1, M, L, 10:44
7, 2, M, M, 10:44
7, 3, L, L, 10:44
7, 4, L, L, 10:44
7, 5, L, L, 10:44
7, 6, M, M, 10:44
7, 7, L, L, 10:44
7, 8, L, L, 10:44
7, 9, M, M, 10:44
7, 10, M, M, 10:44
7, 11, L, M, 10:44
8, 0, L, L, 10:44
8, 1, L, H, 10:44
8, 2, L, H, 10:44
8, 3, L, L, 10:44
8, 4, L, L, 10:44
8, 5, L, M, 10:44
8, 6, L, L, 10:44
