#lineID, stationID, statusN, statusS, timestamp
0, 0, H, M, 3:30
0, 1, L, L, 3:30
0, 2, M, M, 3:30
0, 3, L, L, 3:30
0, 4, L, M, 3:30
0, 5, L, L, 3:30
0, 6, M, L, 3:30
0, 7, M, L, 3:30
0, 8, H, M, 3:30
0, 9, H, L, 3:30
0, 10, H, M, 3:30
0, 11, H, M, 3:30
0, 12, H, M, 3:30
0, 13, H, M, 3:30
0, 14, H, H, 3:30
0, 15, H, H, 3:30
0, 16, H, H, 3:30
0, 17, M, H, 3:30
0, 18, L, L, 3:30
0, 19, H, H, 3:30
0, 20, M, H, 3:30
0, 21, H, M, 3:30
0, 22, H, M, 3:30
0, 23, M, M, 3:30
0, 24, H, L, 3:30
0, 25, H, L, 3:30
0, 26, H, L, 3:30
0, 27, M, L, 3:30
0, 28, M, M, 3:30
0, 29, M, M, 3:30
0, 30, L, L, 3:30
0, 31, L, H, 3:30
0, 32, L, H, 3:30
0, 33, L, H, 3:30
0, 34, L, L, 3:30
0, 35, L, L, 3:30
0, 36, L, L, 3:30
1, 0, L, L, 3:30
1, 1, L, L, 3:30
1, 2, L, L, 3:30
1, 3, L, L, 3:30
1, 4, L, L, 3:30
1, 5, L, L, 3:30
1, 6, M, M, 3:30
1, 7, M, M, 3:30
1, 8, L, L, 3:30
1, 9, L, L, 3:30
1, 10, L, L, 3:30
1, 11, M, L, 3:30
2, 0, M, M, 3:30
2, 1, M, M, 3:30
2, 2, L, L, 3:30
2, 3, L, L, 3:30
2, 4, M, M, 3:30
2, 5, M, M, 3:30
2, 6, M, M, 3:30
2, 7, M, M, 3:30
2, 8, L, L, 3:30
2, 9, L, L, 3:30
2, 10, L, L, 3:30
2, 11, M, M, 3:30
2, 12, M, M, 3:30
2, 13, L, L, 3:30
2, 14, M, L, 3:30
2, 15, M, L, 3:30
2, 16, L, L, 3:30
2, 17, L, L, 3:30
2, 18, L, L, 3:30
2, 19, L, L, 3:30
2, 20, L, L, 3:30
2, 21, L, L, 3:30
2, 22, M, L, 3:30
2, 23, M, L, 3:30
2, 24, M, L, 3:30
3, 0, M, M, 3:30
3, 1, M, M, 3:30
3, 2, M, M, 3:30
3, 3, L, L, 3:30
3, 4, M, L, 3:30
3, 5, M, M, 3:30
3, 6, L, L, 3:30
3, 7, M, M, 3:30
4, 0, L, M, 3:30
4, 1, L, L, 3:30
4, 2, M, L, 3:30
4, 3, M, L, 3:30
4, 4, H, L, 3:30
4, 5, H, H, 3:30
4, 6, M, H, 3:30
4, 7, M, H, 3:30
4, 8, L, L, 3:30
4, 9, L, L, 3:30
4, 10, L, L, 3:30
4, 11, M, M, 3:30
4, 12, M, M, 3:30
4, 13, H, L, 3:30
4, 14, H, L, 3:30
4, 15, H, L, 3:30
4, 16, H, H, 3:30
4, 17, L, H, 3:30
4, 18, L, H, 3:30
5, 0, M, M, 3:29
5, 1, M, M, 3:29
5, 2, L, L, 3:29
5, 3, L, L, 3:29
5, 4, L, L, 3:29
5, 5, H, M, 3:29
5, 6, H, H, 3:29
5, 7, H, H, 3:29
5, 8, H, H, 3:29
5, 9, H, H, 3:29
5, 10, H, H, 3:29
5, 11, L, H, 3:29
5, 12, L, M, 3:29
5, 13, L, M, 3:29
5, 14, L, M, 3:29
6, 0, L, L, 3:30
6, 1, M, M, 3:30
6, 2, L, L, 3:30
6, 3, L, L, 3:30
6, 4, L, L, 3:30
6, 5, M, M, 3:30
6, 6, L, L, 3:30
7, 0, M, M, 3:30
7, 1, M, L, 3:30
7, 2, M, M, 3:30
7, 3, L, L, 3:30
7, 4, L, L, 3:30
7, 5, L, L, 3:30
7, 6, M, M, 3:30
7, 7, L, L, 3:30
7, 8, L, L, 3:30
7, 9, M, M, 3:30
7, 10, M, M, 3:30
7, 11, L, M, 3:30
8, 0, L, H, 3:33
8, 1, L, H, 3:33
8, 2, L, L, 3:33
8, 3, L, L, 3:33
8, 4, L, L, 3:33
8, 5, L, L, 3:33
8, 6, L, L, 3:33
