#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 6:39
0, 1, L, L, 6:39
0, 2, M, L, 6:39
0, 3, L, L, 6:39
0, 4, M, L, 6:39
0, 5, M, L, 6:39
0, 6, L, L, 6:39
0, 7, H, L, 6:39
0, 8, H, L, 6:39
0, 9, H, L, 6:39
0, 10, H, M, 6:39
0, 11, H, M, 6:39
0, 12, H, L, 6:39
0, 13, H, L, 6:39
0, 14, H, L, 6:39
0, 15, H, L, 6:39
0, 16, H, L, 6:39
0, 17, H, L, 6:39
0, 18, H, L, 6:39
0, 19, H, L, 6:39
0, 20, H, L, 6:39
0, 21, H, L, 6:39
0, 22, H, L, 6:39
0, 23, M, L, 6:39
0, 24, L, L, 6:39
0, 25, L, L, 6:39
0, 26, L, L, 6:39
0, 27, L, L, 6:39
0, 28, L, L, 6:39
0, 29, L, M, 6:39
0, 30, L, M, 6:39
0, 31, L, L, 6:39
0, 32, L, L, 6:39
0, 33, L, L, 6:39
0, 34, L, L, 6:39
0, 35, L, L, 6:39
0, 36, L, L, 6:39
1, 0, L, L, 6:39
1, 1, L, L, 6:39
1, 2, L, L, 6:39
1, 3, L, L, 6:39
1, 4, M, L, 6:39
1, 5, M, L, 6:39
1, 6, M, M, 6:39
1, 7, M, M, 6:39
1, 8, L, L, 6:39
1, 9, L, L, 6:39
1, 10, L, L, 6:39
1, 11, M, M, 6:39
2, 0, M, M, 6:39
2, 1, M, M, 6:39
2, 2, L, L, 6:39
2, 3, M, M, 6:39
2, 4, L, L, 6:39
2, 5, L, L, 6:39
2, 6, M, M, 6:39
2, 7, M, M, 6:39
2, 8, M, M, 6:39
2, 9, L, L, 6:39
2, 10, L, L, 6:39
2, 11, L, L, 6:39
2, 12, L, L, 6:39
2, 13, L, L, 6:39
2, 14, M, M, 6:39
2, 15, M, M, 6:39
2, 16, L, L, 6:39
2, 17, L, L, 6:39
2, 18, M, M, 6:39
2, 19, L, L, 6:39
2, 20, L, L, 6:39
2, 21, L, L, 6:39
2, 22, L, L, 6:39
2, 23, M, L, 6:39
2, 24, M, M, 6:39
3, 0, M, L, 6:39
3, 1, M, L, 6:39
3, 2, M, L, 6:39
3, 3, M, L, 6:39
3, 4, M, L, 6:39
3, 5, L, L, 6:39
3, 6, L, L, 6:39
3, 7, L, L, 6:39
4, 0, H, L, 6:43
4, 1, H, L, 6:43
4, 2, H, L, 6:43
4, 3, H, L, 6:43
4, 4, H, H, 6:43
4, 5, H, H, 6:43
4, 6, L, H, 6:43
4, 7, L, H, 6:43
4, 8, L, L, 6:43
4, 9, L, L, 6:43
4, 10, M, L, 6:43
4, 11, M, L, 6:43
4, 12, M, L, 6:43
4, 13, L, L, 6:43
4, 14, H, L, 6:43
4, 15, H, M, 6:43
4, 16, H, M, 6:43
4, 17, M, M, 6:43
4, 18, L, L, 6:43
5, 0, M, M, 6:39
5, 1, M, M, 6:39
5, 2, L, L, 6:39
5, 3, L, L, 6:39
5, 4, L, L, 6:39
5, 5, L, L, 6:39
5, 6, L, L, 6:39
5, 7, L, L, 6:39
5, 8, L, M, 6:39
5, 9, M, M, 6:39
5, 10, M, L, 6:39
5, 11, L, L, 6:39
5, 12, L, L, 6:39
5, 13, L, L, 6:39
5, 14, L, L, 6:39
6, 0, L, H, 6:39
6, 1, L, H, 6:39
6, 2, L, L, 6:39
6, 3, L, L, 6:39
6, 4, L, L, 6:39
6, 5, L, M, 6:39
6, 6, L, M, 6:39
7, 0, M, M, 6:39
7, 1, M, M, 6:39
7, 2, L, L, 6:39
7, 3, L, M, 6:39
7, 4, L, M, 6:39
7, 5, L, M, 6:39
7, 6, L, M, 6:39
7, 7, L, L, 6:39
7, 8, L, L, 6:39
7, 9, M, H, 6:39
7, 10, M, H, 6:39
7, 11, L, H, 6:39
8, 0, L, L, 6:39
8, 1, L, L, 6:39
8, 2, L, L, 6:39
8, 3, L, L, 6:39
8, 4, L, L, 6:39
8, 5, L, L, 6:39
8, 6, L, L, 6:39
