#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 12:54
0, 1, L, L, 12:54
0, 2, L, L, 12:54
0, 3, L, L, 12:54
0, 4, L, L, 12:54
0, 5, L, L, 12:54
0, 6, L, M, 12:54
0, 7, L, L, 12:54
0, 8, L, L, 12:54
0, 9, L, L, 12:54
0, 10, H, L, 12:54
0, 11, H, M, 12:54
0, 12, H, L, 12:54
0, 13, H, L, 12:54
0, 14, H, L, 12:54
0, 15, H, L, 12:54
0, 16, H, H, 12:54
0, 17, H, H, 12:54
0, 18, L, L, 12:54
0, 19, H, H, 12:54
0, 20, H, H, 12:54
0, 21, H, H, 12:54
0, 22, H, H, 12:54
0, 23, H, H, 12:54
0, 24, L, H, 12:54
0, 25, L, H, 12:54
0, 26, M, H, 12:54
0, 27, L, H, 12:54
0, 28, L, L, 12:54
0, 29, L, L, 12:54
0, 30, L, L, 12:54
0, 31, L, L, 12:54
0, 32, L, H, 12:54
0, 33, L, H, 12:54
0, 34, L, L, 12:54
0, 35, L, L, 12:54
0, 36, L, L, 12:54
1, 0, L, L, 12:49
1, 1, L, L, 12:49
1, 2, L, L, 12:49
1, 3, L, L, 12:49
1, 4, L, L, 12:49
1, 5, L, L, 12:49
1, 6, M, M, 12:49
1, 7, M, M, 12:49
1, 8, L, L, 12:49
1, 9, L, L, 12:49
1, 10, L, L, 12:49
1, 11, M, M, 12:49
2, 0, H, H, 12:49
2, 1, M, M, 12:49
2, 2, L, L, 12:49
2, 3, L, L, 12:49
2, 4, M, M, 12:49
2, 5, M, M, 12:49
2, 6, M, M, 12:49
2, 7, L, L, 12:49
2, 8, L, L, 12:49
2, 9, M, M, 12:49
2, 10, L, L, 12:49
2, 11, M, M, 12:49
2, 12, L, L, 12:49
2, 13, L, L, 12:49
2, 14, M, M, 12:49
2, 15, M, M, 12:49
2, 16, L, L, 12:49
2, 17, L, L, 12:49
2, 18, L, L, 12:49
2, 19, L, L, 12:49
2, 20, L, L, 12:49
2, 21, L, L, 12:49
2, 22, L, L, 12:49
2, 23, M, L, 12:49
2, 24, M, L, 12:49
3, 0, M, M, 12:50
3, 1, H, M, 12:50
3, 2, H, L, 12:50
3, 3, H, L, 12:50
3, 4, H, L, 12:50
3, 5, H, M, 12:50
3, 6, L, L, 12:50
3, 7, L, L, 12:50
4, 0, M, L, 12:50
4, 1, M, L, 12:50
4, 2, L, L, 12:50
4, 3, L, L, 12:50
4, 4, M, H, 12:50
4, 5, M, H, 12:50
4, 6, L, H, 12:50
4, 7, L, L, 12:50
4, 8, L, L, 12:50
4, 9, L, L, 12:50
4, 10, H, H, 12:50
4, 11, H, H, 12:50
4, 12, L, H, 12:50
4, 13, H, L, 12:50
4, 14, H, H, 12:50
4, 15, H, H, 12:50
4, 16, H, H, 12:50
4, 17, M, H, 12:50
4, 18, L, M, 12:50
5, 0, M, M, 12:50
5, 1, M, M, 12:50
5, 2, L, L, 12:50
5, 3, L, L, 12:50
5, 4, L, L, 12:50
5, 5, L, L, 12:50
5, 6, H, L, 12:50
5, 7, H, L, 12:50
5, 8, H, L, 12:50
5, 9, H, L, 12:50
5, 10, H, H, 12:50
5, 11, L, H, 12:50
5, 12, L, H, 12:50
5, 13, L, H, 12:50
5, 14, L, L, 12:50
6, 0, L, L, 12:50
6, 1, L, L, 12:50
6, 2, L, L, 12:50
6, 3, L, L, 12:50
6, 4, L, L, 12:50
6, 5, L, L, 12:50
6, 6, M, M, 12:50
7, 0, M, M, 12:50
7, 1, L, L, 12:50
7, 2, M, M, 12:50
7, 3, M, M, 12:50
7, 4, L, M, 12:50
7, 5, M, M, 12:50
7, 6, L, L, 12:50
7, 7, M, H, 12:50
7, 8, L, H, 12:50
7, 9, L, M, 12:50
7, 10, M, M, 12:50
7, 11, M, M, 12:50
8, 0, L, L, 12:52
8, 1, L, L, 12:52
8, 2, L, L, 12:52
8, 3, L, L, 12:52
8, 4, L, L, 12:52
8, 5, L, H, 12:52
8, 6, L, L, 12:52
