#lineID, stationID, statusN, statusS, timestamp
0, 0, M, M, 7:39
0, 1, L, L, 7:39
0, 2, L, L, 7:39
0, 3, L, M, 7:39
0, 4, L, H, 7:39
0, 5, L, H, 7:39
0, 6, L, H, 7:39
0, 7, L, L, 7:39
0, 8, L, L, 7:39
0, 9, L, L, 7:39
0, 10, L, H, 7:39
0, 11, M, H, 7:39
0, 12, L, H, 7:39
0, 13, L, H, 7:39
0, 14, L, H, 7:39
0, 15, L, H, 7:39
0, 16, H, H, 7:39
0, 17, H, H, 7:39
0, 18, L, L, 7:39
0, 19, L, H, 7:39
0, 20, L, H, 7:39
0, 21, L, H, 7:39
0, 22, L, H, 7:39
0, 23, L, H, 7:39
0, 24, L, H, 7:39
0, 25, H, H, 7:39
0, 26, H, H, 7:39
0, 27, H, H, 7:39
0, 28, H, H, 7:39
0, 29, H, H, 7:39
0, 30, H, H, 7:39
0, 31, H, L, 7:39
0, 32, L, H, 7:39
0, 33, L, H, 7:39
0, 34, L, L, 7:39
0, 35, L, L, 7:39
0, 36, L, L, 7:39
1, 0, L, L, 7:39
1, 1, L, L, 7:39
1, 2, L, M, 7:39
1, 3, L, M, 7:39
1, 4, L, L, 7:39
1, 5, L, L, 7:39
1, 6, M, M, 7:39
1, 7, M, M, 7:39
1, 8, L, L, 7:39
1, 9, L, L, 7:39
1, 10, L, L, 7:39
1, 11, M, M, 7:39
2, 0, M, M, 7:39
2, 1, M, M, 7:39
2, 2, L, L, 7:39
2, 3, L, L, 7:39
2, 4, M, H, 7:39
2, 5, M, H, 7:39
2, 6, M, H, 7:39
2, 7, L, H, 7:39
2, 8, L, H, 7:39
2, 9, M, L, 7:39
2, 10, L, L, 7:39
2, 11, M, M, 7:39
2, 12, L, L, 7:39
2, 13, L, L, 7:39
2, 14, M, M, 7:39
2, 15, M, M, 7:39
2, 16, L, M, 7:39
2, 17, L, M, 7:39
2, 18, L, M, 7:39
2, 19, L, L, 7:39
2, 20, L, L, 7:39
2, 21, L, M, 7:39
2, 22, L, M, 7:39
2, 23, M, M, 7:39
2, 24, M, M, 7:39
3, 0, M, H, 7:40
3, 1, M, M, 7:40
3, 2, M, L, 7:40
3, 3, M, M, 7:40
3, 4, M, M, 7:40
3, 5, M, M, 7:40
3, 6, L, M, 7:40
3, 7, L, M, 7:40
4, 0, M, L, 7:40
4, 1, M, L, 7:40
4, 2, H, L, 7:40
4, 3, H, L, 7:40
4, 4, H, L, 7:40
4, 5, H, H, 7:40
4, 6, L, H, 7:40
4, 7, L, H, 7:40
4, 8, L, L, 7:40
4, 9, L, L, 7:40
4, 10, M, H, 7:40
4, 11, M, H, 7:40
4, 12, M, H, 7:40
4, 13, L, L, 7:40
4, 14, L, H, 7:40
4, 15, L, H, 7:40
4, 16, M, H, 7:40
4, 17, M, H, 7:40
4, 18, L, M, 7:40
5, 0, M, H, 7:39
5, 1, M, H, 7:39
5, 2, L, H, 7:39
5, 3, L, L, 7:39
5, 4, L, L, 7:39
5, 5, L, L, 7:39
5, 6, H, M, 7:39
5, 7, H, M, 7:39
5, 8, H, M, 7:39
5, 9, H, M, 7:39
5, 10, H, M, 7:39
5, 11, M, M, 7:39
5, 12, L, L, 7:39
5, 13, L, L, 7:39
5, 14, L, L, 7:39
6, 0, M, M, 7:39
6, 1, M, M, 7:39
6, 2, L, L, 7:39
6, 3, L, L, 7:39
6, 4, L, L, 7:39
6, 5, L, L, 7:39
6, 6, M, M, 7:39
7, 0, H, H, 7:39
7, 1, M, M, 7:39
7, 2, M, M, 7:39
7, 3, M, M, 7:39
7, 4, L, M, 7:39
7, 5, M, M, 7:39
7, 6, L, L, 7:39
7, 7, M, M, 7:39
7, 8, L, M, 7:39
7, 9, H, H, 7:39
7, 10, H, H, 7:39
7, 11, H, H, 7:39
8, 0, L, M, 7:39
8, 1, L, L, 7:39
8, 2, L, L, 7:39
8, 3, L, L, 7:39
8, 4, L, L, 7:39
8, 5, L, L, 7:39
8, 6, L, L, 7:39
