#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 2:43
0, 1, L, L, 2:43
0, 2, M, M, 2:43
0, 3, L, L, 2:43
0, 4, L, L, 2:43
0, 5, L, L, 2:43
0, 6, L, L, 2:43
0, 7, L, L, 2:43
0, 8, H, L, 2:43
0, 9, H, L, 2:43
0, 10, H, M, 2:43
0, 11, H, M, 2:43
0, 12, L, M, 2:43
0, 13, L, L, 2:43
0, 14, L, L, 2:43
0, 15, H, L, 2:43
0, 16, H, M, 2:43
0, 17, H, L, 2:43
0, 18, L, L, 2:43
0, 19, L, H, 2:43
0, 20, L, H, 2:43
0, 21, H, H, 2:43
0, 22, H, H, 2:43
0, 23, H, H, 2:43
0, 24, H, H, 2:43
0, 25, H, H, 2:43
0, 26, H, H, 2:43
0, 27, L, H, 2:43
0, 28, L, H, 2:43
0, 29, L, H, 2:43
0, 30, M, L, 2:43
0, 31, M, L, 2:43
0, 32, L, H, 2:43
0, 33, L, H, 2:43
0, 34, L, L, 2:43
0, 35, L, L, 2:43
0, 36, L, L, 2:43
1, 0, L, L, 2:34
1, 1, L, L, 2:34
1, 2, L, L, 2:34
1, 3, L, L, 2:34
1, 4, L, L, 2:34
1, 5, L, L, 2:34
1, 6, M, M, 2:34
1, 7, M, M, 2:34
1, 8, L, L, 2:34
1, 9, L, L, 2:34
1, 10, L, L, 2:34
1, 11, M, M, 2:34
2, 0, M, M, 2:34
2, 1, M, M, 2:34
2, 2, L, L, 2:34
2, 3, L, L, 2:34
2, 4, L, M, 2:34
2, 5, L, M, 2:34
2, 6, M, M, 2:34
2, 7, M, L, 2:34
2, 8, L, L, 2:34
2, 9, L, L, 2:34
2, 10, L, L, 2:34
2, 11, M, M, 2:34
2, 12, M, M, 2:34
2, 13, L, L, 2:34
2, 14, M, L, 2:34
2, 15, M, M, 2:34
2, 16, L, L, 2:34
2, 17, M, M, 2:34
2, 18, M, M, 2:34
2, 19, L, L, 2:34
2, 20, M, M, 2:34
2, 21, M, M, 2:34
2, 22, L, L, 2:34
2, 23, M, L, 2:34
2, 24, M, M, 2:34
3, 0, M, M, 2:34
3, 1, M, L, 2:34
3, 2, M, L, 2:34
3, 3, L, L, 2:34
3, 4, M, L, 2:34
3, 5, M, M, 2:34
3, 6, L, M, 2:34
3, 7, L, M, 2:34
4, 0, L, L, 2:34
4, 1, L, L, 2:34
4, 2, M, M, 2:34
4, 3, L, L, 2:34
4, 4, H, L, 2:34
4, 5, H, H, 2:34
4, 6, L, H, 2:34
4, 7, L, H, 2:34
4, 8, L, H, 2:34
4, 9, L, H, 2:34
4, 10, M, H, 2:34
4, 11, M, H, 2:34
4, 12, L, M, 2:34
4, 13, L, L, 2:34
4, 14, H, L, 2:34
4, 15, H, L, 2:34
4, 16, H, H, 2:34
4, 17, L, H, 2:34
4, 18, L, H, 2:34
5, 0, M, M, 2:34
5, 1, M, M, 2:34
5, 2, L, L, 2:34
5, 3, L, L, 2:34
5, 4, L, L, 2:34
5, 5, L, L, 2:34
5, 6, H, L, 2:34
5, 7, H, H, 2:34
5, 8, H, H, 2:34
5, 9, H, H, 2:34
5, 10, H, H, 2:34
5, 11, H, H, 2:34
5, 12, L, H, 2:34
5, 13, L, H, 2:34
5, 14, L, M, 2:34
6, 0, L, L, 2:34
6, 1, M, M, 2:34
6, 2, L, L, 2:34
6, 3, L, L, 2:34
6, 4, L, L, 2:34
6, 5, M, M, 2:34
6, 6, M, M, 2:34
7, 0, L, L, 2:34
7, 1, M, M, 2:34
7, 2, L, L, 2:34
7, 3, L, H, 2:34
7, 4, L, H, 2:34
7, 5, M, H, 2:34
7, 6, M, H, 2:34
7, 7, L, L, 2:34
7, 8, L, L, 2:34
7, 9, M, M, 2:34
7, 10, M, M, 2:34
7, 11, L, L, 2:34
8, 0, L, H, 2:34
8, 1, L, L, 2:34
8, 2, L, L, 2:34
8, 3, L, L, 2:34
8, 4, L, L, 2:34
8, 5, L, L, 2:34
8, 6, L, L, 2:34
