#lineID, stationID, statusN, statusS, timestamp
0, 0, M, M, 5:02
0, 1, L, L, 5:02
0, 2, M, M, 5:02
0, 3, L, L, 5:02
0, 4, M, H, 5:02
0, 5, M, H, 5:02
0, 6, L, H, 5:02
0, 7, L, L, 5:02
0, 8, H, L, 5:02
0, 9, H, L, 5:02
0, 10, H, H, 5:02
0, 11, H, H, 5:02
0, 12, L, H, 5:02
0, 13, L, H, 5:02
0, 14, L, H, 5:02
0, 15, L, H, 5:02
0, 16, M, H, 5:02
0, 17, L, H, 5:02
0, 18, L, H, 5:02
0, 19, L, H, 5:02
0, 20, L, H, 5:02
0, 21, L, H, 5:02
0, 22, L, H, 5:02
0, 23, H, H, 5:02
0, 24, H, H, 5:02
0, 25, H, H, 5:02
0, 26, H, H, 5:02
0, 27, H, H, 5:02
0, 28, H, H, 5:02
0, 29, H, L, 5:02
0, 30, H, L, 5:02
0, 31, H, H, 5:02
0, 32, L, H, 5:02
0, 33, L, H, 5:02
0, 34, L, L, 5:02
0, 35, L, L, 5:02
0, 36, L, L, 5:02
1, 0, M, M, 5:02
1, 1, L, L, 5:02
1, 2, L, L, 5:02
1, 3, L, L, 5:02
1, 4, L, L, 5:02
1, 5, L, L, 5:02
1, 6, M, M, 5:02
1, 7, M, M, 5:02
1, 8, L, L, 5:02
1, 9, L, L, 5:02
1, 10, L, L, 5:02
1, 11, M, M, 5:02
2, 0, M, M, 4:52
2, 1, M, M, 4:52
2, 2, L, L, 4:52
2, 3, L, L, 4:52
2, 4, L, L, 4:52
2, 5, M, L, 4:52
2, 6, M, M, 4:52
2, 7, L, M, 4:52
2, 8, M, M, 4:52
2, 9, L, L, 4:52
2, 10, L, L, 4:52
2, 11, M, M, 4:52
2, 12, M, M, 4:52
2, 13, L, L, 4:52
2, 14, L, L, 4:52
2, 15, M, M, 4:52
2, 16, L, L, 4:52
2, 17, L, L, 4:52
2, 18, M, M, 4:52
2, 19, M, L, 4:52
2, 20, L, M, 4:52
2, 21, M, L, 4:52
2, 22, L, L, 4:52
2, 23, L, L, 4:52
2, 24, M, M, 4:52
3, 0, M, M, 4:52
3, 1, H, M, 4:52
3, 2, H, L, 4:52
3, 3, H, L, 4:52
3, 4, H, L, 4:52
3, 5, H, H, 4:52
3, 6, L, H, 4:52
3, 7, L, H, 4:52
4, 0, M, H, 5:02
4, 1, M, H, 5:02
4, 2, L, L, 5:02
4, 3, L, L, 5:02
4, 4, M, L, 5:02
4, 5, M, M, 5:02
4, 6, L, M, 5:02
4, 7, L, L, 5:02
4, 8, L, L, 5:02
4, 9, L, L, 5:02
4, 10, H, H, 5:02
4, 11, H, H, 5:02
4, 12, H, H, 5:02
4, 13, M, M, 5:02
4, 14, H, H, 5:02
4, 15, H, H, 5:02
4, 16, H, H, 5:02
4, 17, L, H, 5:02
4, 18, L, H, 5:02
5, 0, M, M, 4:28
5, 1, M, M, 4:28
5, 2, L, L, 4:28
5, 3, L, L, 4:28
5, 4, L, L, 4:28
5, 5, L, L, 4:28
5, 6, L, L, 4:28
5, 7, M, L, 4:28
5, 8, L, M, 4:28
5, 9, M, L, 4:28
5, 10, M, M, 4:28
5, 11, L, M, 4:28
5, 12, L, L, 4:28
5, 13, L, L, 4:28
5, 14, M, L, 4:28
6, 0, M, M, 4:52
6, 1, M, M, 4:52
6, 2, L, L, 4:52
6, 3, L, L, 4:52
6, 4, L, L, 4:52
6, 5, L, L, 4:52
6, 6, L, L, 4:52
7, 0, M, L, 4:52
7, 1, M, M, 4:52
7, 2, L, L, 4:52
7, 3, L, M, 4:52
7, 4, L, L, 4:52
7, 5, L, M, 4:52
7, 6, L, M, 4:52
7, 7, L, L, 4:52
7, 8, L, L, 4:52
7, 9, H, M, 4:52
7, 10, H, H, 4:52
7, 11, M, H, 4:52
8, 0, L, H, 4:52
8, 1, L, L, 4:52
8, 2, L, L, 4:52
8, 3, L, L, 4:52
8, 4, M, H, 4:52
8, 5, H, M, 4:52
8, 6, H, L, 4:52
