#lineID, stationID, statusN, statusS, timestamp
0, 0, H, M, 2:45
0, 1, L, L, 2:45
0, 2, M, M, 2:45
0, 3, H, L, 2:45
0, 4, H, H, 2:45
0, 5, H, H, 2:45
0, 6, L, H, 2:45
0, 7, L, L, 2:45
0, 8, H, L, 2:45
0, 9, H, L, 2:45
0, 10, H, H, 2:45
0, 11, H, H, 2:45
0, 12, L, H, 2:45
0, 13, L, M, 2:45
0, 14, L, L, 2:45
0, 15, M, H, 2:45
0, 16, M, H, 2:45
0, 17, L, H, 2:45
0, 18, L, H, 2:45
0, 19, L, H, 2:45
0, 20, L, H, 2:45
0, 21, M, H, 2:45
0, 22, M, H, 2:45
0, 23, L, H, 2:45
0, 24, L, H, 2:45
0, 25, M, H, 2:45
0, 26, H, H, 2:45
0, 27, H, H, 2:45
0, 28, H, L, 2:45
0, 29, H, L, 2:45
0, 30, H, L, 2:45
0, 31, H, H, 2:45
0, 32, L, H, 2:45
0, 33, L, H, 2:45
0, 34, L, L, 2:45
0, 35, L, L, 2:45
0, 36, L, L, 2:45
1, 0, M, M, 2:39
1, 1, L, L, 2:39
1, 2, L, L, 2:39
1, 3, L, L, 2:39
1, 4, L, L, 2:39
1, 5, L, L, 2:39
1, 6, M, M, 2:39
1, 7, M, M, 2:39
1, 8, L, L, 2:39
1, 9, L, L, 2:39
1, 10, L, L, 2:39
1, 11, M, M, 2:39
2, 0, M, M, 2:39
2, 1, M, M, 2:39
2, 2, L, L, 2:39
2, 3, L, L, 2:39
2, 4, L, L, 2:39
2, 5, M, L, 2:39
2, 6, M, M, 2:39
2, 7, L, M, 2:39
2, 8, M, M, 2:39
2, 9, L, L, 2:39
2, 10, L, L, 2:39
2, 11, M, M, 2:39
2, 12, M, M, 2:39
2, 13, L, L, 2:39
2, 14, L, L, 2:39
2, 15, M, M, 2:39
2, 16, L, L, 2:39
2, 17, L, L, 2:39
2, 18, M, M, 2:39
2, 19, M, L, 2:39
2, 20, L, M, 2:39
2, 21, L, L, 2:39
2, 22, M, L, 2:39
2, 23, M, L, 2:39
2, 24, M, M, 2:39
3, 0, M, M, 2:39
3, 1, H, M, 2:39
3, 2, H, L, 2:39
3, 3, H, L, 2:39
3, 4, H, L, 2:39
3, 5, H, H, 2:39
3, 6, L, H, 2:39
3, 7, L, H, 2:39
4, 0, L, L, 2:39
4, 1, L, L, 2:39
4, 2, L, L, 2:39
4, 3, L, L, 2:39
4, 4, L, L, 2:39
4, 5, M, M, 2:39
4, 6, L, L, 2:39
4, 7, L, L, 2:39
4, 8, L, L, 2:39
4, 9, L, L, 2:39
4, 10, M, H, 2:39
4, 11, M, H, 2:39
4, 12, L, H, 2:39
4, 13, L, L, 2:39
4, 14, M, L, 2:39
4, 15, M, M, 2:39
4, 16, M, L, 2:39
4, 17, L, H, 2:39
4, 18, L, H, 2:39
5, 0, M, M, 2:39
5, 1, M, M, 2:39
5, 2, L, L, 2:39
5, 3, L, L, 2:39
5, 4, L, L, 2:39
5, 5, L, L, 2:39
5, 6, L, L, 2:39
5, 7, M, L, 2:39
5, 8, L, M, 2:39
5, 9, M, L, 2:39
5, 10, M, M, 2:39
5, 11, L, M, 2:39
5, 12, L, L, 2:39
5, 13, L, L, 2:39
5, 14, M, L, 2:39
6, 0, L, L, 2:39
6, 1, M, M, 2:39
6, 2, L, L, 2:39
6, 3, L, L, 2:39
6, 4, L, L, 2:39
6, 5, L, L, 2:39
6, 6, L, L, 2:39
7, 0, M, L, 2:39
7, 1, M, M, 2:39
7, 2, L, L, 2:39
7, 3, L, M, 2:39
7, 4, L, L, 2:39
7, 5, L, M, 2:39
7, 6, L, M, 2:39
7, 7, L, L, 2:39
7, 8, L, L, 2:39
7, 9, H, M, 2:39
7, 10, H, H, 2:39
7, 11, M, H, 2:39
8, 0, L, H, 2:41
8, 1, L, L, 2:41
8, 2, L, L, 2:41
8, 3, L, L, 2:41
8, 4, H, L, 2:41
8, 5, M, L, 2:41
8, 6, M, L, 2:41
