#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 12:44
0, 1, L, L, 12:44
0, 2, L, L, 12:44
0, 3, L, L, 12:44
0, 4, H, L, 12:44
0, 5, H, L, 12:44
0, 6, L, L, 12:44
0, 7, L, L, 12:44
0, 8, L, L, 12:44
0, 9, L, L, 12:44
0, 10, L, M, 12:44
0, 11, L, H, 12:44
0, 12, H, H, 12:44
0, 13, H, H, 12:44
0, 14, H, H, 12:44
0, 15, H, H, 12:44
0, 16, H, H, 12:44
0, 17, L, L, 12:44
0, 18, L, L, 12:44
0, 19, L, L, 12:44
0, 20, L, L, 12:44
0, 21, L, H, 12:44
0, 22, M, H, 12:44
0, 23, L, H, 12:44
0, 24, L, H, 12:44
0, 25, L, H, 12:44
0, 26, L, H, 12:44
0, 27, H, L, 12:44
0, 28, H, L, 12:44
0, 29, H, L, 12:44
0, 30, L, L, 12:44
0, 31, L, L, 12:44
0, 32, L, M, 12:44
0, 33, L, L, 12:44
0, 34, L, L, 12:44
0, 35, L, L, 12:44
0, 36, L, L, 12:44
1, 0, L, L, 12:41
1, 1, L, L, 12:41
1, 2, L, L, 12:41
1, 3, L, L, 12:41
1, 4, L, L, 12:41
1, 5, L, L, 12:41
1, 6, M, L, 12:41
1, 7, M, L, 12:41
1, 8, L, L, 12:41
1, 9, L, L, 12:41
1, 10, L, L, 12:41
1, 11, L, L, 12:41
2, 0, M, M, 12:41
2, 1, M, M, 12:41
2, 2, L, L, 12:41
2, 3, L, L, 12:41
2, 4, M, M, 12:41
2, 5, M, M, 12:41
2, 6, M, M, 12:41
2, 7, L, L, 12:41
2, 8, L, L, 12:41
2, 9, L, L, 12:41
2, 10, L, L, 12:41
2, 11, L, L, 12:41
2, 12, L, L, 12:41
2, 13, L, L, 12:41
2, 14, L, L, 12:41
2, 15, M, M, 12:41
2, 16, L, L, 12:41
2, 17, L, L, 12:41
2, 18, L, L, 12:41
2, 19, L, L, 12:41
2, 20, L, L, 12:41
2, 21, L, L, 12:41
2, 22, L, L, 12:41
2, 23, M, L, 12:41
2, 24, M, L, 12:41
3, 0, L, L, 12:41
3, 1, M, L, 12:41
3, 2, M, L, 12:41
3, 3, L, L, 12:41
3, 4, L, L, 12:41
3, 5, M, M, 12:41
3, 6, L, L, 12:41
3, 7, L, L, 12:41
4, 0, L, L, 12:43
4, 1, L, L, 12:43
4, 2, L, L, 12:43
4, 3, L, M, 12:43
4, 4, M, L, 12:43
4, 5, M, H, 12:43
4, 6, L, H, 12:43
4, 7, L, H, 12:43
4, 8, L, L, 12:43
4, 9, L, L, 12:43
4, 10, M, L, 12:43
4, 11, M, M, 12:43
4, 12, L, L, 12:43
4, 13, L, L, 12:43
4, 14, L, L, 12:43
4, 15, M, L, 12:43
4, 16, M, M, 12:43
4, 17, L, L, 12:43
4, 18, L, L, 12:43
5, 0, L, L, 12:43
5, 1, L, L, 12:43
5, 2, L, L, 12:43
5, 3, L, L, 12:43
5, 4, L, L, 12:43
5, 5, L, L, 12:43
5, 6, L, L, 12:43
5, 7, L, L, 12:43
5, 8, L, L, 12:43
5, 9, M, M, 12:43
5, 10, M, M, 12:43
5, 11, L, L, 12:43
5, 12, L, L, 12:43
5, 13, L, L, 12:43
5, 14, L, L, 12:43
6, 0, L, L, 12:43
6, 1, L, L, 12:43
6, 2, L, L, 12:43
6, 3, L, L, 12:43
6, 4, L, L, 12:43
6, 5, L, L, 12:43
6, 6, L, L, 12:43
7, 0, M, M, 12:43
7, 1, M, M, 12:43
7, 2, L, M, 12:43
7, 3, L, M, 12:43
7, 4, L, L, 12:43
7, 5, M, H, 12:43
7, 6, L, H, 12:43
7, 7, L, L, 12:43
7, 8, H, L, 12:43
7, 9, H, M, 12:43
7, 10, H, L, 12:43
7, 11, L, L, 12:43
8, 0, L, H, 12:43
8, 1, H, L, 12:43
8, 2, H, L, 12:43
8, 3, H, L, 12:43
8, 4, L, L, 12:43
8, 5, H, H, 12:43
8, 6, H, H, 12:43
