#lineID, stationID, statusN, statusS, timestamp
0, 0, H, H, 9:25
0, 1, L, L, 9:25
0, 2, L, L, 9:25
0, 3, L, L, 9:25
0, 4, L, L, 9:25
0, 5, L, L, 9:25
0, 6, M, H, 9:25
0, 7, L, H, 9:25
0, 8, L, L, 9:25
0, 9, L, L, 9:25
0, 10, L, L, 9:25
0, 11, M, L, 9:25
0, 12, L, M, 9:25
0, 13, L, L, 9:25
0, 14, L, L, 9:25
0, 15, L, H, 9:25
0, 16, L, H, 9:25
0, 17, L, H, 9:25
0, 18, M, H, 9:25
0, 19, L, H, 9:25
0, 20, L, H, 9:25
0, 21, L, H, 9:25
0, 22, L, H, 9:25
0, 23, L, H, 9:25
0, 24, L, H, 9:25
0, 25, L, H, 9:25
0, 26, L, H, 9:25
0, 27, L, H, 9:25
0, 28, M, H, 9:25
0, 29, L, L, 9:25
0, 30, M, L, 9:25
0, 31, M, L, 9:25
0, 32, L, M, 9:25
0, 33, L, L, 9:25
0, 34, L, L, 9:25
0, 35, L, L, 9:25
0, 36, L, L, 9:25
1, 0, L, L, 9:26
1, 1, L, L, 9:26
1, 2, L, L, 9:26
1, 3, L, L, 9:26
1, 4, L, L, 9:26
1, 5, L, L, 9:26
1, 6, M, M, 9:26
1, 7, M, M, 9:26
1, 8, L, L, 9:26
1, 9, L, L, 9:26
1, 10, L, L, 9:26
1, 11, L, L, 9:26
2, 0, M, M, 9:19
2, 1, L, L, 9:19
2, 2, L, L, 9:19
2, 3, L, L, 9:19
2, 4, L, L, 9:19
2, 5, L, L, 9:19
2, 6, L, L, 9:19
2, 7, L, L, 9:19
2, 8, L, L, 9:19
2, 9, L, L, 9:19
2, 10, L, L, 9:19
2, 11, L, L, 9:19
2, 12, L, L, 9:19
2, 13, L, L, 9:19
2, 14, L, L, 9:19
2, 15, M, M, 9:19
2, 16, L, L, 9:19
2, 17, M, M, 9:19
2, 18, L, L, 9:19
2, 19, L, L, 9:19
2, 20, L, L, 9:19
2, 21, L, L, 9:19
2, 22, L, L, 9:19
2, 23, L, L, 9:19
2, 24, L, L, 9:19
3, 0, L, L, 9:15
3, 1, L, L, 9:15
3, 2, L, L, 9:15
3, 3, L, L, 9:15
3, 4, L, L, 9:15
3, 5, L, L, 9:15
3, 6, L, L, 9:15
3, 7, L, L, 9:15
4, 0, M, L, 9:26
4, 1, M, L, 9:26
4, 2, L, L, 9:26
4, 3, L, L, 9:26
4, 4, M, L, 9:26
4, 5, M, M, 9:26
4, 6, M, M, 9:26
4, 7, L, M, 9:26
4, 8, L, L, 9:26
4, 9, L, L, 9:26
4, 10, L, L, 9:26
4, 11, L, L, 9:26
4, 12, L, M, 9:26
4, 13, L, M, 9:26
4, 14, M, L, 9:26
4, 15, L, M, 9:26
4, 16, M, L, 9:26
4, 17, L, L, 9:26
4, 18, L, L, 9:26
5, 0, L, L, 9:26
5, 1, L, L, 9:26
5, 2, L, L, 9:26
5, 3, L, L, 9:26
5, 4, L, L, 9:26
5, 5, L, L, 9:26
5, 6, L, L, 9:26
5, 7, L, L, 9:26
5, 8, L, L, 9:26
5, 9, L, L, 9:26
5, 10, M, M, 9:26
5, 11, L, L, 9:26
5, 12, L, L, 9:26
5, 13, L, L, 9:26
5, 14, M, L, 9:26
6, 0, L, L, 9:27
6, 1, L, M, 9:27
6, 2, L, L, 9:27
6, 3, L, L, 9:27
6, 4, L, L, 9:27
6, 5, L, L, 9:27
6, 6, M, M, 9:27
7, 0, M, M, 9:27
7, 1, M, M, 9:27
7, 2, L, L, 9:27
7, 3, L, L, 9:27
7, 4, L, L, 9:27
7, 5, L, L, 9:27
7, 6, L, L, 9:27
7, 7, L, L, 9:27
7, 8, L, L, 9:27
7, 9, L, L, 9:27
7, 10, H, M, 9:27
7, 11, L, L, 9:27
8, 0, L, H, 9:27
8, 1, L, L, 9:27
8, 2, L, L, 9:27
8, 3, L, L, 9:27
8, 4, L, L, 9:27
8, 5, L, L, 9:27
8, 6, L, L, 9:27
