#lineID, stationID, statusN, statusS, timestamp
0, 0, H, H, 10:08
0, 1, L, L, 10:08
0, 2, L, L, 10:08
0, 3, L, L, 10:08
0, 4, L, L, 10:08
0, 5, L, L, 10:08
0, 6, M, H, 10:08
0, 7, L, H, 10:08
0, 8, L, L, 10:08
0, 9, L, L, 10:08
0, 10, L, L, 10:08
0, 11, M, L, 10:08
0, 12, L, M, 10:08
0, 13, L, L, 10:08
0, 14, L, L, 10:08
0, 15, L, H, 10:08
0, 16, L, H, 10:08
0, 17, L, H, 10:08
0, 18, M, H, 10:08
0, 19, L, H, 10:08
0, 20, L, H, 10:08
0, 21, L, H, 10:08
0, 22, L, H, 10:08
0, 23, L, H, 10:08
0, 24, L, H, 10:08
0, 25, L, H, 10:08
0, 26, L, H, 10:08
0, 27, L, H, 10:08
0, 28, M, H, 10:08
0, 29, L, L, 10:08
0, 30, M, L, 10:08
0, 31, M, L, 10:08
0, 32, L, M, 10:08
0, 33, L, L, 10:08
0, 34, L, L, 10:08
0, 35, L, L, 10:08
0, 36, L, L, 10:08
1, 0, L, L, 10:37
1, 1, L, L, 10:37
1, 2, L, L, 10:37
1, 3, L, L, 10:37
1, 4, L, L, 10:37
1, 5, L, L, 10:37
1, 6, M, M, 10:37
1, 7, M, M, 10:37
1, 8, L, L, 10:37
1, 9, L, L, 10:37
1, 10, L, L, 10:37
1, 11, L, L, 10:37
