#lineID, stationID, statusN, statusS, timestamp
0, 0, H, H, 8:59
0, 1, L, L, 8:59
0, 2, L, L, 8:59
0, 3, L, L, 8:59
0, 4, L, L, 8:59
0, 5, L, L, 8:59
0, 6, M, H, 8:59
0, 7, L, H, 8:59
0, 8, L, L, 8:59
0, 9, L, L, 8:59
0, 10, L, L, 8:59
0, 11, M, L, 8:59
0, 12, L, M, 8:59
0, 13, L, L, 8:59
0, 14, L, L, 8:59
0, 15, L, H, 8:59
0, 16, L, H, 8:59
0, 17, L, H, 8:59
0, 18, M, H, 8:59
0, 19, L, H, 8:59
0, 20, L, H, 8:59
0, 21, L, H, 8:59
0, 22, L, H, 8:59
0, 23, L, H, 8:59
0, 24, L, H, 8:59
0, 25, L, H, 8:59
0, 26, L, H, 8:59
0, 27, L, H, 8:59
0, 28, H, H, 8:59
0, 29, L, L, 8:59
0, 30, H, L, 8:59
0, 31, H, L, 8:59
0, 32, L, M, 8:59
0, 33, L, L, 8:59
0, 34, L, L, 8:59
0, 35, L, L, 8:59
0, 36, L, L, 8:59
1, 0, L, L, 8:51
1, 1, L, L, 8:51
1, 2, L, L, 8:51
1, 3, L, L, 8:51
1, 4, L, L, 8:51
1, 5, L, L, 8:51
1, 6, M, M, 8:51
1, 7, M, M, 8:51
1, 8, L, L, 8:51
1, 9, L, L, 8:51
1, 10, L, L, 8:51
1, 11, L, L, 8:51
2, 0, M, M, 8:59
2, 1, L, L, 8:59
2, 2, L, L, 8:59
2, 3, L, L, 8:59
2, 4, L, L, 8:59
2, 5, L, L, 8:59
2, 6, L, L, 8:59
2, 7, L, L, 8:59
2, 8, L, L, 8:59
2, 9, L, L, 8:59
2, 10, L, L, 8:59
2, 11, L, L, 8:59
2, 12, L, L, 8:59
2, 13, L, L, 8:59
2, 14, L, L, 8:59
2, 15, M, M, 8:59
2, 16, L, L, 8:59
2, 17, M, M, 8:59
2, 18, L, L, 8:59
2, 19, L, L, 8:59
2, 20, L, L, 8:59
2, 21, L, L, 8:59
2, 22, L, L, 8:59
2, 23, L, L, 8:59
2, 24, L, L, 8:59
3, 0, L, L, 8:59
3, 1, L, L, 8:59
3, 2, L, L, 8:59
3, 3, L, L, 8:59
3, 4, L, L, 8:59
3, 5, L, L, 8:59
3, 6, L, L, 8:59
3, 7, L, L, 8:59
4, 0, M, L, 9:02
4, 1, M, L, 9:02
4, 2, L, L, 9:02
4, 3, L, L, 9:02
4, 4, M, L, 9:02
4, 5, M, M, 9:02
4, 6, M, M, 9:02
4, 7, L, M, 9:02
4, 8, L, L, 9:02
4, 9, L, L, 9:02
4, 10, L, L, 9:02
4, 11, L, L, 9:02
4, 12, L, M, 9:02
4, 13, L, M, 9:02
4, 14, M, M, 9:02
4, 15, M, H, 9:02
4, 16, L, H, 9:02
4, 17, L, H, 9:02
4, 18, M, L, 9:02
5, 0, L, L, 8:59
5, 1, L, L, 8:59
5, 2, L, L, 8:59
5, 3, L, L, 8:59
5, 4, L, L, 8:59
5, 5, L, L, 8:59
5, 6, L, L, 8:59
5, 7, L, L, 8:59
5, 8, L, L, 8:59
5, 9, L, L, 8:59
5, 10, M, M, 8:59
5, 11, L, L, 8:59
5, 12, L, L, 8:59
5, 13, L, L, 8:59
5, 14, M, L, 8:59
6, 0, L, L, 8:59
6, 1, L, M, 8:59
6, 2, L, L, 8:59
6, 3, L, L, 8:59
6, 4, L, L, 8:59
6, 5, L, L, 8:59
6, 6, M, M, 8:59
7, 0, M, M, 8:59
7, 1, M, M, 8:59
7, 2, L, L, 8:59
7, 3, L, L, 8:59
7, 4, L, L, 8:59
7, 5, L, L, 8:59
7, 6, L, L, 8:59
7, 7, L, L, 8:59
7, 8, L, L, 8:59
7, 9, L, L, 8:59
7, 10, H, M, 8:59
7, 11, L, L, 8:59
8, 0, L, H, 8:59
8, 1, L, L, 8:59
8, 2, L, L, 8:59
8, 3, L, L, 8:59
8, 4, L, L, 8:59
8, 5, L, L, 8:59
8, 6, L, L, 8:59
