#lineID, stationID, statusN, statusS, timestamp
0, 0, M, L, 11:05
0, 1, L, L, 11:05
0, 2, M, M, 11:05
0, 3, L, L, 11:05
0, 4, L, L, 11:05
0, 5, L, M, 11:05
0, 6, L, L, 11:05
0, 7, L, L, 11:05
0, 8, H, L, 11:05
0, 9, H, L, 11:05
0, 10, H, H, 11:05
0, 11, H, H, 11:05
0, 12, H, H, 11:05
0, 13, H, H, 11:05
0, 14, H, H, 11:05
0, 15, H, H, 11:05
0, 16, H, H, 11:05
0, 17, H, H, 11:05
0, 18, L, L, 11:05
0, 19, H, L, 11:05
0, 20, H, L, 11:05
0, 21, H, M, 11:05
0, 22, H, L, 11:05
0, 23, H, M, 11:05
0, 24, H, L, 11:05
0, 25, H, L, 11:05
0, 26, H, M, 11:05
0, 27, H, L, 11:05
0, 28, H, M, 11:05
0, 29, H, L, 11:05
0, 30, L, L, 11:05
0, 31, L, L, 11:05
0, 32, L, H, 11:05
0, 33, L, H, 11:05
0, 34, L, L, 11:05
0, 35, L, L, 11:05
0, 36, L, L, 11:05
1, 0, L, L, 11:05
1, 1, L, L, 11:05
1, 2, L, L, 11:05
1, 3, L, L, 11:05
1, 4, L, L, 11:05
1, 5, L, L, 11:05
1, 6, M, M, 11:05
1, 7, M, M, 11:05
1, 8, L, L, 11:05
1, 9, L, L, 11:05
1, 10, L, L, 11:05
1, 11, M, M, 11:05
2, 0, M, M, 11:05
2, 1, M, M, 11:05
2, 2, L, L, 11:05
2, 3, L, L, 11:05
2, 4, M, M, 11:05
2, 5, M, M, 11:05
2, 6, L, M, 11:05
2, 7, L, M, 11:05
2, 8, M, M, 11:05
2, 9, M, M, 11:05
2, 10, L, L, 11:05
2, 11, H, L, 11:05
2, 12, H, L, 11:05
2, 13, H, L, 11:05
2, 14, H, M, 11:05
2, 15, H, M, 11:05
2, 16, H, L, 11:05
2, 17, L, L, 11:05
2, 18, M, M, 11:05
2, 19, L, L, 11:05
2, 20, L, L, 11:05
2, 21, L, L, 11:05
2, 22, L, L, 11:05
2, 23, M, L, 11:05
2, 24, M, M, 11:05
3, 0, L, L, 11:05
3, 1, H, L, 11:05
3, 2, H, L, 11:05
3, 3, H, L, 11:05
3, 4, H, L, 11:05
3, 5, H, L, 11:05
3, 6, L, L, 11:05
3, 7, L, L, 11:05
4, 0, L, L, 11:14
4, 1, L, L, 11:14
4, 2, M, L, 11:14
4, 3, L, L, 11:14
4, 4, L, H, 11:14
4, 5, M, H, 11:14
4, 6, L, L, 11:14
4, 7, M, L, 11:14
4, 8, L, L, 11:14
4, 9, M, L, 11:14
4, 10, H, H, 11:14
4, 11, H, H, 11:14
4, 12, H, H, 11:14
4, 13, H, L, 11:14
4, 14, H, L, 11:14
4, 15, H, L, 11:14
4, 16, H, H, 11:14
4, 17, L, H, 11:14
4, 18, L, M, 11:14
5, 0, M, M, 11:05
5, 1, M, M, 11:05
5, 2, L, L, 11:05
5, 3, M, L, 11:05
5, 4, M, L, 11:05
5, 5, L, L, 11:05
5, 6, M, M, 11:05
5, 7, L, M, 11:05
5, 8, M, H, 11:05
5, 9, M, H, 11:05
5, 10, M, H, 11:05
5, 11, L, H, 11:05
5, 12, L, H, 11:05
5, 13, L, L, 11:05
5, 14, L, L, 11:05
6, 0, L, M, 11:05
6, 1, L, M, 11:05
6, 2, L, L, 11:05
6, 3, L, L, 11:05
6, 4, L, L, 11:05
6, 5, L, L, 11:05
6, 6, L, L, 11:05
7, 0, M, M, 10:55
7, 1, M, M, 10:55
7, 2, L, L, 10:55
7, 3, L, L, 10:55
7, 4, L, L, 10:55
7, 5, M, H, 10:55
7, 6, M, M, 10:55
7, 7, L, L, 10:55
7, 8, H, L, 10:55
7, 9, H, M, 10:55
7, 10, H, M, 10:55
7, 11, M, M, 10:55
8, 0, L, M, 10:55
8, 1, L, L, 10:55
8, 2, L, L, 10:55
8, 3, L, L, 10:55
8, 4, L, H, 10:55
8, 5, L, H, 10:55
8, 6, L, L, 10:55
