#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 7:18
0, 1, L, L, 7:18
0, 2, M, M, 7:18
0, 3, L, L, 7:18
0, 4, M, M, 7:18
0, 5, M, M, 7:18
0, 6, L, M, 7:18
0, 7, L, L, 7:18
0, 8, L, L, 7:18
0, 9, L, L, 7:18
0, 10, L, H, 7:18
0, 11, M, H, 7:18
0, 12, L, H, 7:18
0, 13, L, H, 7:18
0, 14, L, H, 7:18
0, 15, M, H, 7:18
0, 16, H, H, 7:18
0, 17, H, H, 7:18
0, 18, L, H, 7:18
0, 19, L, H, 7:18
0, 20, L, H, 7:18
0, 21, L, H, 7:18
0, 22, L, H, 7:18
0, 23, M, H, 7:18
0, 24, M, H, 7:18
0, 25, M, H, 7:18
0, 26, M, H, 7:18
0, 27, L, H, 7:18
0, 28, L, H, 7:18
0, 29, L, H, 7:18
0, 30, M, L, 7:18
0, 31, M, L, 7:18
0, 32, L, H, 7:18
0, 33, L, H, 7:18
0, 34, L, L, 7:18
0, 35, L, L, 7:18
0, 36, L, L, 7:18
1, 0, L, M, 7:18
1, 1, L, L, 7:18
1, 2, M, M, 7:18
1, 3, L, L, 7:18
1, 4, L, L, 7:18
1, 5, L, L, 7:18
1, 6, M, M, 7:18
1, 7, M, M, 7:18
1, 8, L, L, 7:18
1, 9, L, L, 7:18
1, 10, L, L, 7:18
1, 11, M, M, 7:18
2, 0, M, M, 7:18
2, 1, M, M, 7:18
2, 2, L, L, 7:18
2, 3, L, L, 7:18
2, 4, M, M, 7:18
2, 5, M, M, 7:18
2, 6, L, M, 7:18
2, 7, L, M, 7:18
2, 8, M, M, 7:18
2, 9, L, L, 7:18
2, 10, L, M, 7:18
2, 11, M, M, 7:18
2, 12, L, L, 7:18
2, 13, L, L, 7:18
2, 14, L, L, 7:18
2, 15, M, M, 7:18
2, 16, L, M, 7:18
2, 17, L, M, 7:18
2, 18, L, M, 7:18
2, 19, L, L, 7:18
2, 20, L, L, 7:18
2, 21, L, L, 7:18
2, 22, L, L, 7:18
2, 23, M, M, 7:18
2, 24, M, M, 7:18
3, 0, L, L, 7:18
3, 1, M, M, 7:18
3, 2, M, M, 7:18
3, 3, M, L, 7:18
3, 4, M, L, 7:18
3, 5, M, M, 7:18
3, 6, M, M, 7:18
3, 7, M, M, 7:18
4, 0, L, M, 7:18
4, 1, L, M, 7:18
4, 2, M, M, 7:18
4, 3, M, L, 7:18
4, 4, H, M, 7:18
4, 5, H, H, 7:18
4, 6, H, H, 7:18
4, 7, H, H, 7:18
4, 8, H, L, 7:18
4, 9, H, L, 7:18
4, 10, M, H, 7:18
4, 11, L, H, 7:18
4, 12, L, H, 7:18
4, 13, L, L, 7:18
4, 14, L, L, 7:18
4, 15, L, L, 7:18
4, 16, M, H, 7:18
4, 17, M, H, 7:18
4, 18, M, H, 7:18
5, 0, H, H, 7:17
5, 1, H, H, 7:17
5, 2, H, H, 7:17
5, 3, L, L, 7:17
5, 4, L, L, 7:17
5, 5, M, M, 7:17
5, 6, H, H, 7:17
5, 7, H, H, 7:17
5, 8, H, H, 7:17
5, 9, M, H, 7:17
5, 10, M, H, 7:17
5, 11, M, H, 7:17
5, 12, L, L, 7:17
5, 13, L, L, 7:17
5, 14, L, L, 7:17
6, 0, H, L, 7:17
6, 1, H, L, 7:17
6, 2, H, L, 7:17
6, 3, H, L, 7:17
6, 4, H, L, 7:17
6, 5, H, M, 7:17
6, 6, M, M, 7:17
7, 0, L, L, 7:17
7, 1, L, M, 7:17
7, 2, L, M, 7:17
7, 3, M, M, 7:17
7, 4, M, M, 7:17
7, 5, M, M, 7:17
7, 6, M, M, 7:17
7, 7, L, L, 7:17
7, 8, L, M, 7:17
7, 9, M, H, 7:17
7, 10, M, H, 7:17
7, 11, M, H, 7:17
8, 0, L, H, 7:29
8, 1, L, L, 7:29
8, 2, L, L, 7:29
8, 3, L, L, 7:29
8, 4, L, L, 7:29
8, 5, H, H, 7:29
8, 6, L, H, 7:29
