#lineID, stationID, statusN, statusS, timestamp
0, 0, L, H, 5:17
0, 1, L, M, 5:17
0, 2, M, M, 5:17
0, 3, L, L, 5:17
0, 4, M, M, 5:17
0, 5, M, M, 5:17
0, 6, L, M, 5:17
0, 7, L, L, 5:17
0, 8, M, L, 5:17
0, 9, H, M, 5:17
0, 10, H, M, 5:17
0, 11, H, M, 5:17
0, 12, H, M, 5:17
0, 13, H, M, 5:17
0, 14, H, L, 5:17
0, 15, H, L, 5:17
0, 16, H, H, 5:17
0, 17, H, H, 5:17
0, 18, H, H, 5:17
0, 19, H, H, 5:17
0, 20, H, H, 5:17
0, 21, H, H, 5:17
0, 22, H, H, 5:17
0, 23, H, H, 5:17
0, 24, H, H, 5:17
0, 25, H, H, 5:17
0, 26, H, H, 5:17
0, 27, H, H, 5:17
0, 28, H, H, 5:17
0, 29, H, H, 5:17
0, 30, H, L, 5:17
0, 31, H, L, 5:17
0, 32, L, H, 5:17
0, 33, L, H, 5:17
0, 34, L, H, 5:17
0, 35, L, L, 5:17
0, 36, L, L, 5:17
1, 0, L, L, 5:13
1, 1, L, L, 5:13
1, 2, L, L, 5:13
1, 3, L, L, 5:13
1, 4, L, L, 5:13
1, 5, L, L, 5:13
1, 6, M, M, 5:13
1, 7, M, M, 5:13
1, 8, L, L, 5:13
1, 9, L, L, 5:13
1, 10, L, L, 5:13
1, 11, M, M, 5:13
2, 0, M, M, 5:13
2, 1, M, M, 5:13
2, 2, L, L, 5:13
2, 3, L, L, 5:13
2, 4, L, M, 5:13
2, 5, L, M, 5:13
2, 6, M, M, 5:13
2, 7, M, M, 5:13
2, 8, M, M, 5:13
2, 9, L, L, 5:13
2, 10, L, L, 5:13
2, 11, M, M, 5:13
2, 12, M, M, 5:13
2, 13, L, L, 5:13
2, 14, M, L, 5:13
2, 15, M, M, 5:13
2, 16, L, M, 5:13
2, 17, M, M, 5:13
2, 18, M, M, 5:13
2, 19, L, L, 5:13
2, 20, M, M, 5:13
2, 21, L, L, 5:13
2, 22, L, L, 5:13
2, 23, M, L, 5:13
2, 24, M, M, 5:13
3, 0, M, M, 5:13
3, 1, M, M, 5:13
3, 2, M, M, 5:13
3, 3, M, L, 5:13
3, 4, M, L, 5:13
3, 5, M, M, 5:13
3, 6, L, M, 5:13
3, 7, L, M, 5:13
4, 0, L, L, 5:14
4, 1, L, L, 5:14
4, 2, M, L, 5:14
4, 3, M, L, 5:14
4, 4, M, H, 5:14
4, 5, M, H, 5:14
4, 6, L, H, 5:14
4, 7, L, H, 5:14
4, 8, L, L, 5:14
4, 9, L, L, 5:14
4, 10, M, H, 5:14
4, 11, M, H, 5:14
4, 12, H, H, 5:14
4, 13, H, M, 5:14
4, 14, H, L, 5:14
4, 15, H, L, 5:14
4, 16, H, M, 5:14
4, 17, L, L, 5:14
4, 18, L, L, 5:14
5, 0, M, M, 5:15
5, 1, M, M, 5:15
5, 2, L, M, 5:15
5, 3, L, L, 5:15
5, 4, L, L, 5:15
5, 5, M, L, 5:15
5, 6, H, L, 5:15
5, 7, H, L, 5:15
5, 8, H, M, 5:15
5, 9, H, M, 5:15
5, 10, H, M, 5:15
5, 11, M, L, 5:15
5, 12, L, L, 5:15
5, 13, L, L, 5:15
5, 14, M, L, 5:15
6, 0, L, L, 5:10
6, 1, L, L, 5:10
6, 2, L, L, 5:10
6, 3, L, L, 5:10
6, 4, L, L, 5:10
6, 5, L, L, 5:10
6, 6, L, L, 5:10
7, 0, M, M, 5:16
7, 1, M, M, 5:16
7, 2, M, L, 5:16
7, 3, L, L, 5:16
7, 4, L, M, 5:16
7, 5, L, M, 5:16
7, 6, M, M, 5:16
7, 7, L, L, 5:16
7, 8, L, L, 5:16
7, 9, M, M, 5:16
7, 10, H, M, 5:16
7, 11, H, M, 5:16
8, 0, L, H, 5:10
8, 1, L, L, 5:10
8, 2, L, L, 5:10
8, 3, L, L, 5:10
8, 4, L, L, 5:10
8, 5, L, H, 5:10
8, 6, L, L, 5:10
