#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 2:18
0, 1, L, L, 2:18
0, 2, M, M, 2:18
0, 3, L, L, 2:18
0, 4, L, L, 2:18
0, 5, L, L, 2:18
0, 6, L, L, 2:18
0, 7, H, L, 2:18
0, 8, H, L, 2:18
0, 9, H, L, 2:18
0, 10, H, M, 2:18
0, 11, H, L, 2:18
0, 12, H, L, 2:18
0, 13, H, L, 2:18
0, 14, H, L, 2:18
0, 15, H, L, 2:18
0, 16, H, M, 2:18
0, 17, L, M, 2:18
0, 18, L, L, 2:18
0, 19, L, H, 2:18
0, 20, L, H, 2:18
0, 21, H, H, 2:18
0, 22, H, L, 2:18
0, 23, L, L, 2:18
0, 24, L, L, 2:18
0, 25, L, L, 2:18
0, 26, M, L, 2:18
0, 27, L, L, 2:18
0, 28, L, M, 2:18
0, 29, H, L, 2:18
0, 30, H, L, 2:18
0, 31, H, L, 2:18
0, 32, L, H, 2:18
0, 33, L, H, 2:18
0, 34, L, L, 2:18
0, 35, L, L, 2:18
0, 36, L, L, 2:18
1, 0, L, L, 2:18
1, 1, L, L, 2:18
1, 2, L, L, 2:18
1, 3, L, L, 2:18
1, 4, L, L, 2:18
1, 5, L, L, 2:18
1, 6, M, M, 2:18
1, 7, M, M, 2:18
1, 8, L, L, 2:18
1, 9, L, L, 2:18
1, 10, L, L, 2:18
1, 11, L, L, 2:18
2, 0, M, M, 2:18
2, 1, M, L, 2:18
2, 2, L, L, 2:18
2, 3, L, L, 2:18
2, 4, M, M, 2:18
2, 5, M, M, 2:18
2, 6, M, L, 2:18
2, 7, L, L, 2:18
2, 8, L, L, 2:18
2, 9, L, L, 2:18
2, 10, L, L, 2:18
2, 11, L, L, 2:18
2, 12, L, L, 2:18
2, 13, L, L, 2:18
2, 14, L, L, 2:18
2, 15, M, M, 2:18
2, 16, L, L, 2:18
2, 17, L, L, 2:18
2, 18, L, L, 2:18
2, 19, L, L, 2:18
2, 20, L, L, 2:18
2, 21, L, L, 2:18
2, 22, L, L, 2:18
2, 23, L, L, 2:18
2, 24, L, L, 2:18
3, 0, L, L, 2:19
3, 1, H, L, 2:19
3, 2, H, L, 2:19
3, 3, H, L, 2:19
3, 4, H, L, 2:19
3, 5, H, M, 2:19
3, 6, L, M, 2:19
3, 7, L, M, 2:19
4, 0, L, L, 2:23
4, 1, L, L, 2:23
4, 2, M, L, 2:23
4, 3, M, L, 2:23
4, 4, L, H, 2:23
4, 5, M, H, 2:23
4, 6, M, H, 2:23
4, 7, L, H, 2:23
4, 8, M, L, 2:23
4, 9, L, L, 2:23
4, 10, H, H, 2:23
4, 11, H, H, 2:23
4, 12, L, H, 2:23
4, 13, H, L, 2:23
4, 14, H, L, 2:23
4, 15, H, H, 2:23
4, 16, H, H, 2:23
4, 17, M, H, 2:23
4, 18, M, H, 2:23
5, 0, M, H, 2:31
5, 1, M, H, 2:31
5, 2, L, H, 2:31
5, 3, L, L, 2:31
5, 4, L, L, 2:31
5, 5, L, L, 2:31
5, 6, M, H, 2:31
5, 7, M, H, 2:31
5, 8, M, H, 2:31
5, 9, M, H, 2:31
5, 10, M, H, 2:31
5, 11, L, H, 2:31
5, 12, L, L, 2:31
5, 13, L, L, 2:31
5, 14, L, L, 2:31
6, 0, M, M, 2:31
6, 1, M, M, 2:31
6, 2, L, L, 2:31
6, 3, L, L, 2:31
6, 4, L, L, 2:31
6, 5, L, L, 2:31
6, 6, L, L, 2:31
7, 0, M, M, 2:30
7, 1, M, M, 2:30
7, 2, M, M, 2:30
7, 3, M, M, 2:30
7, 4, M, M, 2:30
7, 5, M, M, 2:30
7, 6, M, M, 2:30
7, 7, L, L, 2:30
7, 8, L, L, 2:30
7, 9, M, M, 2:30
7, 10, M, M, 2:30
7, 11, M, M, 2:30
8, 0, L, H, 2:30
8, 1, L, L, 2:30
8, 2, L, L, 2:30
8, 3, L, L, 2:30
8, 4, L, L, 2:30
8, 5, L, L, 2:30
8, 6, L, L, 2:30
