#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 9:43
0, 1, L, L, 9:43
0, 2, M, L, 9:43
0, 3, L, L, 9:43
0, 4, M, L, 9:43
0, 5, L, L, 9:43
0, 6, L, L, 9:43
0, 7, L, L, 9:43
0, 8, L, L, 9:43
0, 9, L, L, 9:43
0, 10, L, M, 9:43
0, 11, L, M, 9:43
0, 12, L, L, 9:43
0, 13, L, M, 9:43
0, 14, L, L, 9:43
0, 15, H, L, 9:43
0, 16, H, M, 9:43
0, 17, H, L, 9:43
0, 18, L, L, 9:43
0, 19, L, L, 9:43
0, 20, L, L, 9:43
0, 21, H, H, 9:43
0, 22, H, H, 9:43
0, 23, H, H, 9:43
0, 24, H, H, 9:43
0, 25, H, M, 9:43
0, 26, H, H, 9:43
0, 27, H, H, 9:43
0, 28, M, M, 9:43
0, 29, M, M, 9:43
0, 30, L, L, 9:43
0, 31, L, H, 9:43
0, 32, L, H, 9:43
0, 33, L, H, 9:43
0, 34, L, L, 9:43
0, 35, L, L, 9:43
0, 36, L, L, 9:43
1, 0, L, L, 9:43
1, 1, L, L, 9:43
1, 2, L, L, 9:43
1, 3, L, L, 9:43
1, 4, L, L, 9:43
1, 5, L, L, 9:43
1, 6, M, M, 9:43
1, 7, M, M, 9:43
1, 8, L, L, 9:43
1, 9, L, L, 9:43
1, 10, L, L, 9:43
1, 11, M, M, 9:43
2, 0, M, M, 9:43
2, 1, H, M, 9:43
2, 2, H, L, 9:43
2, 3, H, L, 9:43
2, 4, M, M, 9:43
2, 5, M, M, 9:43
2, 6, M, M, 9:43
2, 7, L, L, 9:43
2, 8, M, M, 9:43
2, 9, M, M, 9:43
2, 10, L, L, 9:43
2, 11, L, L, 9:43
2, 12, L, L, 9:43
2, 13, L, L, 9:43
2, 14, M, M, 9:43
2, 15, M, M, 9:43
2, 16, L, L, 9:43
2, 17, L, L, 9:43
2, 18, M, M, 9:43
2, 19, M, L, 9:43
2, 20, M, L, 9:43
2, 21, M, L, 9:43
2, 22, M, L, 9:43
2, 23, M, L, 9:43
2, 24, M, M, 9:43
3, 0, H, L, 9:43
3, 1, H, L, 9:43
3, 2, H, L, 9:43
3, 3, H, L, 9:43
3, 4, H, M, 9:43
3, 5, H, M, 9:43
3, 6, L, L, 9:43
3, 7, L, L, 9:43
4, 0, L, L, 9:43
4, 1, M, L, 9:43
4, 2, L, M, 9:43
4, 3, L, M, 9:43
4, 4, M, M, 9:43
4, 5, M, L, 9:43
4, 6, L, L, 9:43
4, 7, L, L, 9:43
4, 8, M, L, 9:43
4, 9, L, L, 9:43
4, 10, H, M, 9:43
4, 11, H, M, 9:43
4, 12, H, M, 9:43
4, 13, H, L, 9:43
4, 14, H, L, 9:43
4, 15, H, L, 9:43
4, 16, H, H, 9:43
4, 17, L, H, 9:43
4, 18, L, H, 9:43
5, 0, M, M, 9:43
5, 1, M, M, 9:43
5, 2, M, M, 9:43
5, 3, L, L, 9:43
5, 4, L, L, 9:43
5, 5, L, L, 9:43
5, 6, H, M, 9:43
5, 7, H, M, 9:43
5, 8, H, L, 9:43
5, 9, H, H, 9:43
5, 10, H, H, 9:43
5, 11, H, H, 9:43
5, 12, L, H, 9:43
5, 13, L, H, 9:43
5, 14, L, H, 9:43
6, 0, L, L, 9:43
6, 1, M, L, 9:43
6, 2, L, L, 9:43
6, 3, L, L, 9:43
6, 4, L, L, 9:43
6, 5, M, M, 9:43
6, 6, L, L, 9:43
7, 0, M, M, 9:43
7, 1, M, M, 9:43
7, 2, M, M, 9:43
7, 3, L, M, 9:43
7, 4, M, M, 9:43
7, 5, M, H, 9:43
7, 6, M, H, 9:43
7, 7, L, H, 9:43
7, 8, L, L, 9:43
7, 9, M, M, 9:43
7, 10, M, M, 9:43
7, 11, M, M, 9:43
8, 0, L, H, 9:38
8, 1, L, L, 9:38
8, 2, L, L, 9:38
8, 3, L, L, 9:38
8, 4, L, L, 9:38
8, 5, L, L, 9:38
8, 6, L, L, 9:38
