#lineID, stationID, statusN, statusS, timestamp
0, 0, M, L, 3:13
0, 1, L, L, 3:13
0, 2, M, M, 3:13
0, 3, L, L, 3:13
0, 4, M, M, 3:13
0, 5, M, M, 3:13
0, 6, L, L, 3:13
0, 7, L, L, 3:13
0, 8, L, L, 3:13
0, 9, M, L, 3:13
0, 10, H, M, 3:13
0, 11, H, M, 3:13
0, 12, H, M, 3:13
0, 13, H, M, 3:13
0, 14, H, M, 3:13
0, 15, H, H, 3:13
0, 16, H, H, 3:13
0, 17, L, L, 3:13
0, 18, L, L, 3:13
0, 19, L, H, 3:13
0, 20, L, H, 3:13
0, 21, L, H, 3:13
0, 22, L, H, 3:13
0, 23, M, H, 3:13
0, 24, L, L, 3:13
0, 25, L, L, 3:13
0, 26, L, M, 3:13
0, 27, L, L, 3:13
0, 28, M, M, 3:13
0, 29, M, L, 3:13
0, 30, L, L, 3:13
0, 31, M, L, 3:13
0, 32, L, M, 3:13
0, 33, L, M, 3:13
0, 34, L, L, 3:13
0, 35, L, L, 3:13
0, 36, L, L, 3:13
1, 0, L, L, 3:15
1, 1, L, L, 3:15
1, 2, L, L, 3:15
1, 3, L, L, 3:15
1, 4, L, L, 3:15
1, 5, L, L, 3:15
1, 6, M, M, 3:15
1, 7, M, M, 3:15
1, 8, L, L, 3:15
1, 9, L, L, 3:15
1, 10, L, L, 3:15
1, 11, M, M, 3:15
2, 0, M, M, 3:15
2, 1, M, L, 3:15
2, 2, L, L, 3:15
2, 3, M, L, 3:15
2, 4, M, M, 3:15
2, 5, M, M, 3:15
2, 6, M, M, 3:15
2, 7, M, M, 3:15
2, 8, M, M, 3:15
2, 9, L, L, 3:15
2, 10, L, L, 3:15
2, 11, M, M, 3:15
2, 12, M, M, 3:15
2, 13, L, L, 3:15
2, 14, L, L, 3:15
2, 15, M, M, 3:15
2, 16, M, H, 3:15
2, 17, L, H, 3:15
2, 18, M, H, 3:15
2, 19, L, H, 3:15
2, 20, M, H, 3:15
2, 21, L, H, 3:15
2, 22, M, L, 3:15
2, 23, M, M, 3:15
2, 24, M, M, 3:15
3, 0, M, L, 3:13
3, 1, M, M, 3:13
3, 2, M, M, 3:13
3, 3, M, L, 3:13
3, 4, M, L, 3:13
3, 5, M, M, 3:13
3, 6, M, M, 3:13
3, 7, L, M, 3:13
4, 0, L, L, 3:13
4, 1, L, L, 3:13
4, 2, M, M, 3:13
4, 3, L, L, 3:13
4, 4, H, H, 3:13
4, 5, H, H, 3:13
4, 6, L, H, 3:13
4, 7, L, L, 3:13
4, 8, L, L, 3:13
4, 9, L, L, 3:13
4, 10, M, M, 3:13
4, 11, M, M, 3:13
4, 12, M, M, 3:13
4, 13, L, L, 3:13
4, 14, L, L, 3:13
4, 15, M, M, 3:13
4, 16, M, M, 3:13
4, 17, L, L, 3:13
4, 18, L, L, 3:13
5, 0, M, M, 3:13
5, 1, M, M, 3:13
5, 2, L, L, 3:13
5, 3, L, L, 3:13
5, 4, L, L, 3:13
5, 5, L, L, 3:13
5, 6, L, H, 3:13
5, 7, M, H, 3:13
5, 8, M, H, 3:13
5, 9, M, H, 3:13
5, 10, M, H, 3:13
5, 11, L, M, 3:13
5, 12, M, L, 3:13
5, 13, L, L, 3:13
5, 14, M, M, 3:13
6, 0, L, L, 3:14
6, 1, M, M, 3:14
6, 2, L, L, 3:14
6, 3, L, L, 3:14
6, 4, L, L, 3:14
6, 5, M, M, 3:14
6, 6, M, M, 3:14
7, 0, M, M, 3:14
7, 1, M, M, 3:14
7, 2, M, M, 3:14
7, 3, L, M, 3:14
7, 4, L, M, 3:14
7, 5, L, M, 3:14
7, 6, M, M, 3:14
7, 7, L, M, 3:14
7, 8, L, L, 3:14
7, 9, M, L, 3:14
7, 10, M, M, 3:14
7, 11, L, M, 3:14
8, 0, L, H, 3:14
8, 1, L, L, 3:14
8, 2, L, L, 3:14
8, 3, L, L, 3:14
8, 4, L, L, 3:14
8, 5, L, L, 3:14
8, 6, L, L, 3:14
