#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 10:17
0, 1, L, L, 10:17
0, 2, L, M, 10:17
0, 3, L, L, 10:17
0, 4, M, M, 10:17
0, 5, L, L, 10:17
0, 6, L, L, 10:17
0, 7, L, L, 10:17
0, 8, L, L, 10:17
0, 9, L, L, 10:17
0, 10, M, L, 10:17
0, 11, M, M, 10:17
0, 12, L, M, 10:17
0, 13, L, M, 10:17
0, 14, L, M, 10:17
0, 15, M, L, 10:17
0, 16, M, M, 10:17
0, 17, M, L, 10:17
0, 18, L, L, 10:17
0, 19, L, M, 10:17
0, 20, L, M, 10:17
0, 21, L, H, 10:17
0, 22, L, H, 10:17
0, 23, M, H, 10:17
0, 24, L, H, 10:17
0, 25, L, H, 10:17
0, 26, L, H, 10:17
0, 27, L, H, 10:17
0, 28, M, M, 10:17
0, 29, L, L, 10:17
0, 30, L, L, 10:17
0, 31, M, L, 10:17
0, 32, L, M, 10:17
0, 33, L, M, 10:17
0, 34, L, L, 10:17
0, 35, L, L, 10:17
0, 36, L, L, 10:17
1, 0, L, L, 10:10
1, 1, L, M, 10:10
1, 2, L, L, 10:10
1, 3, L, L, 10:10
1, 4, L, L, 10:10
1, 5, L, L, 10:10
1, 6, M, M, 10:10
1, 7, M, M, 10:10
1, 8, L, L, 10:10
1, 9, L, L, 10:10
1, 10, L, L, 10:10
1, 11, M, M, 10:10
2, 0, M, M, 10:17
2, 1, M, L, 10:17
2, 2, L, L, 10:17
2, 3, M, L, 10:17
2, 4, L, L, 10:17
2, 5, L, L, 10:17
2, 6, M, M, 10:17
2, 7, M, L, 10:17
2, 8, M, M, 10:17
2, 9, L, L, 10:17
2, 10, L, L, 10:17
2, 11, M, M, 10:17
2, 12, M, M, 10:17
2, 13, L, L, 10:17
2, 14, L, L, 10:17
2, 15, M, M, 10:17
2, 16, M, M, 10:17
2, 17, L, L, 10:17
2, 18, M, M, 10:17
2, 19, L, L, 10:17
2, 20, M, L, 10:17
2, 21, L, M, 10:17
2, 22, M, L, 10:17
2, 23, M, M, 10:17
2, 24, M, M, 10:17
3, 0, M, M, 10:17
3, 1, M, M, 10:17
3, 2, M, L, 10:17
3, 3, M, L, 10:17
3, 4, M, L, 10:17
3, 5, M, M, 10:17
3, 6, M, L, 10:17
3, 7, L, L, 10:17
4, 0, L, L, 10:18
4, 1, L, L, 10:18
4, 2, M, M, 10:18
4, 3, L, L, 10:18
4, 4, L, M, 10:18
4, 5, M, M, 10:18
4, 6, L, M, 10:18
4, 7, M, M, 10:18
4, 8, L, L, 10:18
4, 9, L, L, 10:18
4, 10, M, M, 10:18
4, 11, M, M, 10:18
4, 12, M, M, 10:18
4, 13, H, L, 10:18
4, 14, H, L, 10:18
4, 15, H, M, 10:18
4, 16, H, M, 10:18
4, 17, L, L, 10:18
4, 18, L, L, 10:18
5, 0, M, M, 10:18
5, 1, M, M, 10:18
5, 2, L, M, 10:18
5, 3, L, L, 10:18
5, 4, L, L, 10:18
5, 5, L, L, 10:18
5, 6, H, L, 10:18
5, 7, H, M, 10:18
5, 8, M, H, 10:18
5, 9, M, H, 10:18
5, 10, M, H, 10:18
5, 11, L, H, 10:18
5, 12, M, H, 10:18
5, 13, L, H, 10:18
5, 14, L, H, 10:18
6, 0, L, L, 10:18
6, 1, M, M, 10:18
6, 2, L, L, 10:18
6, 3, L, L, 10:18
6, 4, L, L, 10:18
6, 5, M, M, 10:18
6, 6, M, M, 10:18
7, 0, M, H, 10:18
7, 1, M, H, 10:18
7, 2, M, H, 10:18
7, 3, L, H, 10:18
7, 4, L, H, 10:18
7, 5, L, H, 10:18
7, 6, M, H, 10:18
7, 7, L, L, 10:18
7, 8, L, L, 10:18
7, 9, M, L, 10:18
7, 10, M, H, 10:18
7, 11, L, H, 10:18
8, 0, L, H, 10:18
8, 1, L, L, 10:18
8, 2, L, L, 10:18
8, 3, L, L, 10:18
8, 4, L, L, 10:18
8, 5, L, L, 10:18
8, 6, L, L, 10:18
