#lineID, stationID, statusN, statusS, timestamp
0, 0, M, L, 5:45
0, 1, L, L, 5:45
0, 2, M, M, 5:45
0, 3, L, L, 5:45
0, 4, L, L, 5:45
0, 5, L, L, 5:45
0, 6, L, L, 5:45
0, 7, L, L, 5:45
0, 8, L, L, 5:45
0, 9, L, L, 5:45
0, 10, L, H, 5:45
0, 11, M, H, 5:45
0, 12, L, H, 5:45
0, 13, M, H, 5:45
0, 14, H, H, 5:45
0, 15, H, H, 5:45
0, 16, H, H, 5:45
0, 17, M, H, 5:45
0, 18, L, H, 5:45
0, 19, L, H, 5:45
0, 20, L, H, 5:45
0, 21, M, H, 5:45
0, 22, H, H, 5:45
0, 23, H, H, 5:45
0, 24, H, H, 5:45
0, 25, H, H, 5:45
0, 26, H, H, 5:45
0, 27, L, H, 5:45
0, 28, L, H, 5:45
0, 29, M, H, 5:45
0, 30, H, H, 5:45
0, 31, H, L, 5:45
0, 32, L, H, 5:45
0, 33, L, H, 5:45
0, 34, L, L, 5:45
0, 35, L, L, 5:45
0, 36, L, L, 5:45
1, 0, L, L, 5:45
1, 1, L, L, 5:45
1, 2, M, M, 5:45
1, 3, L, L, 5:45
1, 4, L, M, 5:45
1, 5, L, L, 5:45
1, 6, M, M, 5:45
1, 7, M, M, 5:45
1, 8, L, L, 5:45
1, 9, L, L, 5:45
1, 10, L, L, 5:45
1, 11, M, M, 5:45
2, 0, M, M, 5:45
2, 1, M, M, 5:45
2, 2, L, L, 5:45
2, 3, L, L, 5:45
2, 4, M, M, 5:45
2, 5, M, M, 5:45
2, 6, M, M, 5:45
2, 7, L, M, 5:45
2, 8, L, M, 5:45
2, 9, L, L, 5:45
2, 10, L, L, 5:45
2, 11, L, L, 5:45
2, 12, L, L, 5:45
2, 13, L, L, 5:45
2, 14, M, L, 5:45
2, 15, M, M, 5:45
2, 16, L, M, 5:45
2, 17, M, L, 5:45
2, 18, M, L, 5:45
2, 19, L, L, 5:45
2, 20, L, L, 5:45
2, 21, L, L, 5:45
2, 22, M, L, 5:45
2, 23, M, M, 5:45
2, 24, M, M, 5:45
3, 0, M, M, 5:45
3, 1, M, M, 5:45
3, 2, M, M, 5:45
3, 3, L, L, 5:45
3, 4, L, L, 5:45
3, 5, M, M, 5:45
3, 6, M, M, 5:45
3, 7, M, M, 5:45
4, 0, L, L, 5:45
4, 1, L, L, 5:45
4, 2, M, L, 5:45
4, 3, H, L, 5:45
4, 4, H, M, 5:45
4, 5, H, H, 5:45
4, 6, H, H, 5:45
4, 7, H, H, 5:45
4, 8, M, L, 5:45
4, 9, M, L, 5:45
4, 10, H, H, 5:45
4, 11, H, H, 5:45
4, 12, H, H, 5:45
4, 13, L, L, 5:45
4, 14, H, H, 5:45
4, 15, H, H, 5:45
4, 16, H, H, 5:45
4, 17, L, H, 5:45
4, 18, L, H, 5:45
5, 0, M, H, 5:43
5, 1, M, H, 5:43
5, 2, L, H, 5:43
5, 3, L, L, 5:43
5, 4, L, L, 5:43
5, 5, M, M, 5:43
5, 6, H, L, 5:43
5, 7, H, L, 5:43
5, 8, H, L, 5:43
5, 9, H, M, 5:43
5, 10, H, M, 5:43
5, 11, L, M, 5:43
5, 12, L, L, 5:43
5, 13, L, L, 5:43
5, 14, L, L, 5:43
6, 0, L, H, 5:43
6, 1, M, H, 5:43
6, 2, L, L, 5:43
6, 3, L, L, 5:43
6, 4, L, L, 5:43
6, 5, M, M, 5:43
6, 6, M, M, 5:43
7, 0, H, H, 5:43
7, 1, M, H, 5:43
7, 2, L, H, 5:43
7, 3, M, H, 5:43
7, 4, L, H, 5:43
7, 5, M, H, 5:43
7, 6, M, M, 5:43
7, 7, M, M, 5:43
7, 8, L, H, 5:43
7, 9, H, H, 5:43
7, 10, H, H, 5:43
7, 11, L, H, 5:43
8, 0, L, H, 5:44
8, 1, L, L, 5:44
8, 2, L, L, 5:44
8, 3, L, L, 5:44
8, 4, L, L, 5:44
8, 5, L, L, 5:44
8, 6, L, L, 5:44
