#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 9:23
0, 1, L, L, 9:23
0, 2, M, M, 9:23
0, 3, L, L, 9:23
0, 4, L, L, 9:23
0, 5, L, L, 9:23
0, 6, L, L, 9:23
0, 7, L, L, 9:23
0, 8, L, L, 9:23
0, 9, L, L, 9:23
0, 10, H, L, 9:23
0, 11, H, L, 9:23
0, 12, H, L, 9:23
0, 13, H, L, 9:23
0, 14, H, L, 9:23
0, 15, H, L, 9:23
0, 16, H, L, 9:23
0, 17, H, L, 9:23
0, 18, L, L, 9:23
0, 19, H, L, 9:23
0, 20, H, L, 9:23
0, 21, L, H, 9:23
0, 22, H, L, 9:23
0, 23, H, L, 9:23
0, 24, H, L, 9:23
0, 25, H, H, 9:23
0, 26, H, H, 9:23
0, 27, L, L, 9:23
0, 28, L, M, 9:23
0, 29, L, L, 9:23
0, 30, L, L, 9:23
0, 31, L, H, 9:23
0, 32, L, H, 9:23
0, 33, L, H, 9:23
0, 34, L, L, 9:23
0, 35, L, L, 9:23
0, 36, L, L, 9:23
1, 0, L, L, 9:24
1, 1, L, L, 9:24
1, 2, L, L, 9:24
1, 3, L, L, 9:24
1, 4, L, L, 9:24
1, 5, M, L, 9:24
1, 6, M, M, 9:24
1, 7, M, M, 9:24
1, 8, L, L, 9:24
1, 9, L, L, 9:24
1, 10, H, L, 9:24
1, 11, H, M, 9:24
2, 0, H, H, 9:24
2, 1, M, M, 9:24
2, 2, L, L, 9:24
2, 3, L, L, 9:24
2, 4, M, M, 9:24
2, 5, M, M, 9:24
2, 6, M, L, 9:24
2, 7, L, L, 9:24
2, 8, L, L, 9:24
2, 9, L, L, 9:24
2, 10, L, L, 9:24
2, 11, L, L, 9:24
2, 12, L, L, 9:24
2, 13, L, L, 9:24
2, 14, M, L, 9:24
2, 15, M, M, 9:24
2, 16, L, M, 9:24
2, 17, M, L, 9:24
2, 18, M, L, 9:24
2, 19, L, L, 9:24
2, 20, L, L, 9:24
2, 21, L, L, 9:24
2, 22, M, L, 9:24
2, 23, M, M, 9:24
2, 24, M, M, 9:24
3, 0, H, L, 9:24
3, 1, H, L, 9:24
3, 2, H, L, 9:24
3, 3, H, L, 9:24
3, 4, H, L, 9:24
3, 5, H, L, 9:24
3, 6, L, L, 9:24
3, 7, L, L, 9:24
4, 0, M, L, 9:25
4, 1, M, L, 9:25
4, 2, M, L, 9:25
4, 3, M, L, 9:25
4, 4, L, H, 9:25
4, 5, M, H, 9:25
4, 6, H, L, 9:25
4, 7, H, L, 9:25
4, 8, H, L, 9:25
4, 9, L, L, 9:25
4, 10, H, L, 9:25
4, 11, H, L, 9:25
4, 12, H, L, 9:25
4, 13, L, L, 9:25
4, 14, H, H, 9:25
4, 15, H, H, 9:25
4, 16, H, H, 9:25
4, 17, H, H, 9:25
4, 18, H, H, 9:25
5, 0, M, M, 9:26
5, 1, M, M, 9:26
5, 2, L, L, 9:26
5, 3, L, L, 9:26
5, 4, L, L, 9:26
5, 5, L, L, 9:26
5, 6, L, H, 9:26
5, 7, L, H, 9:26
5, 8, M, L, 9:26
5, 9, M, M, 9:26
5, 10, M, M, 9:26
5, 11, L, M, 9:26
5, 12, L, M, 9:26
5, 13, L, M, 9:26
5, 14, M, M, 9:26
6, 0, L, L, 9:26
6, 1, L, L, 9:26
6, 2, L, L, 9:26
6, 3, L, L, 9:26
6, 4, L, L, 9:26
6, 5, L, L, 9:26
6, 6, M, M, 9:26
7, 0, M, M, 9:26
7, 1, M, M, 9:26
7, 2, L, L, 9:26
7, 3, M, M, 9:26
7, 4, L, L, 9:26
7, 5, M, M, 9:26
7, 6, M, M, 9:26
7, 7, M, M, 9:26
7, 8, L, H, 9:26
7, 9, M, H, 9:26
7, 10, M, H, 9:26
7, 11, L, H, 9:26
8, 0, L, H, 8:26
8, 1, L, L, 8:26
8, 2, L, L, 8:26
8, 3, L, L, 8:26
8, 4, L, L, 8:26
8, 5, L, L, 8:26
8, 6, L, L, 8:26
