#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 11:08
0, 1, L, L, 11:08
0, 2, M, M, 11:08
0, 3, L, L, 11:08
0, 4, L, L, 11:08
0, 5, L, L, 11:08
0, 6, L, L, 11:08
0, 7, L, L, 11:08
0, 8, H, L, 11:08
0, 9, H, L, 11:08
0, 10, H, L, 11:08
0, 11, H, L, 11:08
0, 12, H, L, 11:08
0, 13, H, L, 11:08
0, 14, H, L, 11:08
0, 15, H, L, 11:08
0, 16, H, M, 11:08
0, 17, H, M, 11:08
0, 18, L, L, 11:08
0, 19, L, L, 11:08
0, 20, L, L, 11:08
0, 21, L, L, 11:08
0, 22, H, L, 11:08
0, 23, H, H, 11:08
0, 24, H, H, 11:08
0, 25, H, H, 11:08
0, 26, H, H, 11:08
0, 27, L, L, 11:08
0, 28, L, M, 11:08
0, 29, L, L, 11:08
0, 30, L, L, 11:08
0, 31, L, H, 11:08
0, 32, L, H, 11:08
0, 33, L, H, 11:08
0, 34, L, L, 11:08
0, 35, L, L, 11:08
0, 36, L, L, 11:08
1, 0, L, L, 11:14
1, 1, L, L, 11:14
1, 2, L, L, 11:14
1, 3, L, L, 11:14
1, 4, L, L, 11:14
1, 5, L, L, 11:14
1, 6, M, M, 11:14
1, 7, M, M, 11:14
1, 8, L, L, 11:14
1, 9, L, L, 11:14
1, 10, L, L, 11:14
1, 11, M, M, 11:14
