#lineID, stationID, statusN, statusS, timestamp
0, 0, M, M, 8:29
0, 1, L, L, 8:29
0, 2, L, M, 8:29
0, 3, L, L, 8:29
0, 4, M, L, 8:29
0, 5, M, L, 8:29
0, 6, L, L, 8:29
0, 7, H, L, 8:29
0, 8, H, L, 8:29
0, 9, H, L, 8:29
0, 10, H, L, 8:29
0, 11, H, M, 8:29
0, 12, H, M, 8:29
0, 13, H, L, 8:29
0, 14, H, L, 8:29
0, 15, H, M, 8:29
0, 16, H, L, 8:29
0, 17, H, L, 8:29
0, 18, H, L, 8:29
0, 19, H, M, 8:29
0, 20, H, H, 8:29
0, 21, H, H, 8:29
0, 22, H, H, 8:29
0, 23, H, H, 8:29
0, 24, H, H, 8:29
0, 25, H, H, 8:29
0, 26, L, H, 8:29
0, 27, L, H, 8:29
0, 28, L, H, 8:29
0, 29, M, H, 8:29
0, 30, L, M, 8:29
0, 31, L, L, 8:29
0, 32, M, H, 8:29
0, 33, M, H, 8:29
0, 34, L, L, 8:29
0, 35, L, L, 8:29
0, 36, L, L, 8:29
1, 0, L, L, 8:30
1, 1, L, L, 8:30
1, 2, L, L, 8:30
1, 3, L, L, 8:30
1, 4, L, L, 8:30
1, 5, L, L, 8:30
1, 6, M, M, 8:30
1, 7, M, M, 8:30
1, 8, L, L, 8:30
1, 9, L, L, 8:30
1, 10, L, L, 8:30
1, 11, M, M, 8:30
2, 0, M, M, 8:30
2, 1, M, L, 8:30
2, 2, L, L, 8:30
2, 3, L, M, 8:30
2, 4, L, L, 8:30
2, 5, L, L, 8:30
2, 6, L, L, 8:30
2, 7, M, M, 8:30
2, 8, M, M, 8:30
2, 9, L, L, 8:30
2, 10, L, L, 8:30
2, 11, M, M, 8:30
2, 12, L, M, 8:30
2, 13, L, L, 8:30
2, 14, M, L, 8:30
2, 15, M, M, 8:30
2, 16, M, M, 8:30
2, 17, M, L, 8:30
2, 18, M, M, 8:30
2, 19, L, L, 8:30
2, 20, M, M, 8:30
2, 21, L, L, 8:30
2, 22, L, L, 8:30
2, 23, M, L, 8:30
2, 24, M, M, 8:30
3, 0, H, M, 8:30
3, 1, H, M, 8:30
3, 2, H, L, 8:30
3, 3, H, M, 8:30
3, 4, H, L, 8:30
3, 5, H, M, 8:30
3, 6, L, L, 8:30
3, 7, M, L, 8:30
4, 0, M, L, 8:32
4, 1, M, L, 8:32
4, 2, M, M, 8:32
4, 3, M, M, 8:32
4, 4, H, L, 8:32
4, 5, H, H, 8:32
4, 6, L, H, 8:32
4, 7, L, H, 8:32
4, 8, L, L, 8:32
4, 9, L, L, 8:32
4, 10, H, M, 8:32
4, 11, H, H, 8:32
4, 12, H, H, 8:32
4, 13, L, M, 8:32
4, 14, H, H, 8:32
4, 15, H, L, 8:32
4, 16, H, H, 8:32
4, 17, M, H, 8:32
4, 18, L, H, 8:32
5, 0, M, M, 8:30
5, 1, M, M, 8:30
5, 2, L, M, 8:30
5, 3, L, L, 8:30
5, 4, M, M, 8:30
5, 5, L, L, 8:30
5, 6, M, H, 8:30
5, 7, M, H, 8:30
5, 8, M, H, 8:30
5, 9, M, H, 8:30
5, 10, M, H, 8:30
5, 11, M, H, 8:30
5, 12, L, H, 8:30
5, 13, L, H, 8:30
5, 14, M, H, 8:30
6, 0, L, L, 8:30
6, 1, M, M, 8:30
6, 2, L, L, 8:30
6, 3, L, L, 8:30
6, 4, L, L, 8:30
6, 5, M, M, 8:30
6, 6, L, L, 8:30
7, 0, L, H, 8:30
7, 1, M, H, 8:30
7, 2, L, H, 8:30
7, 3, L, H, 8:30
7, 4, L, H, 8:30
7, 5, L, H, 8:30
7, 6, M, H, 8:30
7, 7, L, L, 8:30
7, 8, L, L, 8:30
7, 9, L, M, 8:30
7, 10, L, H, 8:30
7, 11, L, H, 8:30
8, 0, L, H, 8:29
8, 1, L, H, 8:29
8, 2, L, L, 8:29
8, 3, L, L, 8:29
8, 4, L, L, 8:29
8, 5, L, L, 8:29
8, 6, L, L, 8:29
