#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 12:05
0, 1, L, L, 12:05
0, 2, M, M, 12:05
0, 3, L, L, 12:05
0, 4, M, L, 12:05
0, 5, L, L, 12:05
0, 6, L, L, 12:05
0, 7, H, L, 12:05
0, 8, H, L, 12:05
0, 9, H, L, 12:05
0, 10, H, L, 12:05
0, 11, H, L, 12:05
0, 12, H, M, 12:05
0, 13, H, L, 12:05
0, 14, H, L, 12:05
0, 15, H, M, 12:05
0, 16, H, L, 12:05
0, 17, H, L, 12:05
0, 18, H, L, 12:05
0, 19, H, L, 12:05
0, 20, H, H, 12:05
0, 21, H, H, 12:05
0, 22, H, H, 12:05
0, 23, H, M, 12:05
0, 24, H, M, 12:05
0, 25, H, L, 12:05
0, 26, H, M, 12:05
0, 27, H, L, 12:05
0, 28, H, M, 12:05
0, 29, H, L, 12:05
0, 30, H, M, 12:05
0, 31, H, L, 12:05
0, 32, L, H, 12:05
0, 33, L, H, 12:05
0, 34, L, H, 12:05
0, 35, L, L, 12:05
0, 36, L, L, 12:05
1, 0, L, L, 12:05
1, 1, L, L, 12:05
1, 2, L, L, 12:05
1, 3, L, L, 12:05
1, 4, L, L, 12:05
1, 5, L, L, 12:05
1, 6, M, M, 12:05
1, 7, M, M, 12:05
1, 8, L, L, 12:05
1, 9, L, L, 12:05
1, 10, L, L, 12:05
1, 11, L, L, 12:05
2, 0, H, H, 12:11
2, 1, M, L, 12:11
2, 2, L, L, 12:11
2, 3, L, L, 12:11
2, 4, M, M, 12:11
2, 5, M, M, 12:11
2, 6, L, L, 12:11
2, 7, L, L, 12:11
2, 8, L, L, 12:11
2, 9, L, L, 12:11
2, 10, L, L, 12:11
2, 11, L, L, 12:11
2, 12, L, L, 12:11
2, 13, L, L, 12:11
2, 14, L, L, 12:11
2, 15, M, M, 12:11
2, 16, L, M, 12:11
2, 17, L, L, 12:11
2, 18, L, L, 12:11
2, 19, L, L, 12:11
2, 20, H, L, 12:11
2, 21, H, L, 12:11
2, 22, H, L, 12:11
2, 23, H, L, 12:11
2, 24, H, L, 12:11
3, 0, H, L, 12:06
3, 1, H, H, 12:06
3, 2, H, H, 12:06
3, 3, H, L, 12:06
3, 4, H, L, 12:06
3, 5, H, M, 12:06
3, 6, L, L, 12:06
3, 7, L, M, 12:06
4, 0, M, L, 12:09
4, 1, M, L, 12:09
4, 2, H, L, 12:09
4, 3, H, L, 12:09
4, 4, H, L, 12:09
4, 5, H, H, 12:09
4, 6, H, H, 12:09
4, 7, H, H, 12:09
4, 8, H, H, 12:09
4, 9, H, L, 12:09
4, 10, H, H, 12:09
4, 11, H, H, 12:09
4, 12, H, H, 12:09
4, 13, H, H, 12:09
4, 14, H, H, 12:09
4, 15, H, H, 12:09
4, 16, H, H, 12:09
4, 17, L, H, 12:09
4, 18, L, H, 12:09
5, 0, M, M, 12:05
5, 1, M, M, 12:05
5, 2, M, M, 12:05
5, 3, L, L, 12:05
5, 4, L, L, 12:05
5, 5, L, L, 12:05
5, 6, L, L, 12:05
5, 7, L, L, 12:05
5, 8, H, L, 12:05
5, 9, H, M, 12:05
5, 10, H, M, 12:05
5, 11, L, M, 12:05
5, 12, L, L, 12:05
5, 13, L, L, 12:05
5, 14, L, L, 12:05
6, 0, L, H, 12:06
6, 1, L, L, 12:06
6, 2, L, L, 12:06
6, 3, L, L, 12:06
6, 4, L, L, 12:06
6, 5, M, M, 12:06
6, 6, M, M, 12:06
7, 0, L, M, 12:05
7, 1, M, M, 12:05
7, 2, M, M, 12:05
7, 3, L, L, 12:05
7, 4, L, L, 12:05
7, 5, M, M, 12:05
7, 6, M, M, 12:05
7, 7, L, L, 12:05
7, 8, L, M, 12:05
7, 9, M, H, 12:05
7, 10, M, H, 12:05
7, 11, M, H, 12:05
8, 0, L, H, 12:10
8, 1, L, L, 12:10
8, 2, L, L, 12:10
8, 3, L, L, 12:10
8, 4, L, L, 12:10
8, 5, L, L, 12:10
8, 6, H, L, 12:10
