#lineID, stationID, statusN, statusS, timestamp
0, 0, H, L, 12:56
0, 1, L, L, 12:56
0, 2, L, L, 12:56
0, 3, L, L, 12:56
0, 4, L, L, 12:56
0, 5, L, L, 12:56
0, 6, L, L, 12:56
0, 7, L, L, 12:56
0, 8, H, L, 12:56
0, 9, H, L, 12:56
0, 10, H, M, 12:56
0, 11, H, H, 12:56
0, 12, H, H, 12:56
0, 13, H, H, 12:56
0, 14, H, H, 12:56
0, 15, H, H, 12:56
0, 16, H, H, 12:56
0, 17, L, H, 12:56
0, 18, L, L, 12:56
0, 19, M, H, 12:56
0, 20, L, H, 12:56
0, 21, L, H, 12:56
0, 22, M, L, 12:56
0, 23, L, H, 12:56
0, 24, L, H, 12:56
0, 25, L, H, 12:56
0, 26, L, H, 12:56
0, 27, M, L, 12:56
0, 28, M, M, 12:56
0, 29, M, L, 12:56
0, 30, M, L, 12:56
0, 31, M, L, 12:56
0, 32, L, L, 12:56
0, 33, L, L, 12:56
0, 34, L, L, 12:56
0, 35, L, L, 12:56
0, 36, L, L, 12:56
1, 0, L, L, 12:56
1, 1, L, L, 12:56
1, 2, L, L, 12:56
1, 3, L, L, 12:56
1, 4, L, L, 12:56
1, 5, L, L, 12:56
1, 6, M, M, 12:56
1, 7, M, M, 12:56
1, 8, L, L, 12:56
1, 9, L, L, 12:56
1, 10, L, L, 12:56
1, 11, L, L, 12:56
2, 0, M, M, 12:56
2, 1, M, M, 12:56
2, 2, L, L, 12:56
2, 3, L, L, 12:56
2, 4, L, L, 12:56
2, 5, L, L, 12:56
2, 6, L, L, 12:56
2, 7, L, L, 12:56
2, 8, L, L, 12:56
2, 9, L, L, 12:56
2, 10, L, L, 12:56
2, 11, L, L, 12:56
2, 12, L, L, 12:56
2, 13, L, L, 12:56
2, 14, L, L, 12:56
2, 15, L, L, 12:56
2, 16, L, L, 12:56
2, 17, L, L, 12:56
2, 18, L, L, 12:56
2, 19, L, L, 12:56
2, 20, L, L, 12:56
2, 21, L, L, 12:56
2, 22, L, L, 12:56
2, 23, L, L, 12:56
2, 24, L, L, 12:56
3, 0, L, L, 12:56
3, 1, L, L, 12:56
3, 2, L, L, 12:56
3, 3, L, L, 12:56
3, 4, L, L, 12:56
3, 5, L, L, 12:56
3, 6, L, L, 12:56
3, 7, L, L, 12:56
4, 0, L, L, 12:56
4, 1, L, L, 12:56
4, 2, H, L, 12:56
4, 3, H, H, 12:56
4, 4, H, H, 12:56
4, 5, H, H, 12:56
4, 6, L, H, 12:56
4, 7, L, H, 12:56
4, 8, L, L, 12:56
4, 9, M, L, 12:56
4, 10, L, M, 12:56
4, 11, L, M, 12:56
4, 12, M, M, 12:56
4, 13, L, L, 12:56
4, 14, M, L, 12:56
4, 15, M, L, 12:56
4, 16, L, H, 12:56
4, 17, L, H, 12:56
4, 18, L, L, 12:56
5, 0, L, L, 12:56
5, 1, L, L, 12:56
5, 2, L, L, 12:56
5, 3, L, L, 12:56
5, 4, L, L, 12:56
5, 5, L, L, 12:56
5, 6, L, L, 12:56
5, 7, L, L, 12:56
5, 8, L, L, 12:56
5, 9, L, L, 12:56
5, 10, L, L, 12:56
5, 11, L, L, 12:56
5, 12, L, L, 12:56
5, 13, L, L, 12:56
5, 14, L, L, 12:56
6, 0, L, H, 12:37
6, 1, L, H, 12:37
6, 2, L, L, 12:37
6, 3, L, L, 12:37
6, 4, L, L, 12:37
6, 5, L, L, 12:37
6, 6, L, L, 12:37
7, 0, M, M, 12:37
7, 1, M, M, 12:37
7, 2, L, L, 12:37
7, 3, M, L, 12:37
7, 4, L, L, 12:37
7, 5, L, L, 12:37
7, 6, M, L, 12:37
7, 7, L, L, 12:37
7, 8, L, L, 12:37
7, 9, M, M, 12:37
7, 10, L, L, 12:37
7, 11, L, M, 12:37
8, 0, L, H, 12:56
8, 1, L, L, 12:56
8, 2, L, L, 12:56
8, 3, L, L, 12:56
8, 4, L, L, 12:56
8, 5, H, L, 12:56
8, 6, H, L, 12:56
