#lineID, stationID, statusN, statusS, timestamp
0, 0, H, H, 12:09
0, 1, L, L, 12:09
0, 2, L, L, 12:09
0, 3, L, L, 12:09
0, 4, H, L, 12:09
0, 5, H, L, 12:09
0, 6, L, L, 12:09
0, 7, L, L, 12:09
0, 8, H, L, 12:09
0, 9, H, L, 12:09
0, 10, H, H, 12:09
0, 11, H, H, 12:09
0, 12, H, H, 12:09
0, 13, H, H, 12:09
0, 14, H, H, 12:09
0, 15, H, H, 12:09
0, 16, H, H, 12:09
0, 17, H, L, 12:09
0, 18, L, L, 12:09
0, 19, H, L, 12:09
0, 20, H, L, 12:09
0, 21, H, H, 12:09
0, 22, H, H, 12:09
0, 23, L, H, 12:09
0, 24, L, H, 12:09
0, 25, L, H, 12:09
0, 26, H, H, 12:09
0, 27, H, L, 12:09
0, 28, H, M, 12:09
0, 29, H, L, 12:09
0, 30, L, L, 12:09
0, 31, L, M, 12:09
0, 32, M, M, 12:09
0, 33, M, L, 12:09
0, 34, L, L, 12:09
0, 35, L, L, 12:09
0, 36, L, L, 12:09
1, 0, M, M, 12:16
1, 1, L, L, 12:16
1, 2, L, L, 12:16
1, 3, L, L, 12:16
1, 4, L, L, 12:16
1, 5, L, L, 12:16
1, 6, M, M, 12:16
1, 7, M, M, 12:16
1, 8, L, L, 12:16
1, 9, L, L, 12:16
1, 10, L, L, 12:16
1, 11, M, M, 12:16
2, 0, M, M, 12:09
2, 1, M, M, 12:09
2, 2, L, L, 12:09
2, 3, L, L, 12:09
2, 4, L, L, 12:09
2, 5, L, L, 12:09
2, 6, L, L, 12:09
2, 7, M, M, 12:09
2, 8, M, M, 12:09
2, 9, L, L, 12:09
2, 10, L, L, 12:09
2, 11, M, M, 12:09
2, 12, M, M, 12:09
2, 13, L, L, 12:09
2, 14, M, M, 12:09
2, 15, M, M, 12:09
2, 16, L, L, 12:09
2, 17, L, L, 12:09
2, 18, M, M, 12:09
2, 19, L, L, 12:09
2, 20, L, L, 12:09
2, 21, M, M, 12:09
2, 22, M, L, 12:09
2, 23, M, L, 12:09
2, 24, M, M, 12:09
3, 0, M, L, 12:09
3, 1, H, M, 12:09
3, 2, H, L, 12:09
3, 3, H, L, 12:09
3, 4, H, L, 12:09
3, 5, H, M, 12:09
3, 6, H, L, 12:09
3, 7, L, M, 12:09
4, 0, L, L, 12:09
4, 1, L, L, 12:09
4, 2, M, L, 12:09
4, 3, M, L, 12:09
4, 4, L, L, 12:09
4, 5, M, M, 12:09
4, 6, L, M, 12:09
4, 7, L, L, 12:09
4, 8, L, L, 12:09
4, 9, L, L, 12:09
4, 10, M, M, 12:09
4, 11, M, M, 12:09
4, 12, M, L, 12:09
4, 13, L, L, 12:09
4, 14, H, L, 12:09
4, 15, H, H, 12:09
4, 16, H, H, 12:09
4, 17, L, H, 12:09
4, 18, L, H, 12:09
5, 0, M, M, 11:58
5, 1, M, M, 11:58
5, 2, M, M, 11:58
5, 3, L, L, 11:58
5, 4, M, L, 11:58
5, 5, L, L, 11:58
5, 6, M, L, 11:58
5, 7, L, L, 11:58
5, 8, H, L, 11:58
5, 9, H, H, 11:58
5, 10, H, H, 11:58
5, 11, L, H, 11:58
5, 12, L, L, 11:58
5, 13, L, L, 11:58
5, 14, M, L, 11:58
6, 0, L, L, 12:09
6, 1, L, L, 12:09
6, 2, L, L, 12:09
6, 3, L, L, 12:09
6, 4, L, L, 12:09
6, 5, M, M, 12:09
6, 6, L, L, 12:09
7, 0, M, M, 12:09
7, 1, M, M, 12:09
7, 2, L, L, 12:09
7, 3, L, M, 12:09
7, 4, L, M, 12:09
7, 5, L, M, 12:09
7, 6, L, M, 12:09
7, 7, L, L, 12:09
7, 8, L, L, 12:09
7, 9, M, M, 12:09
7, 10, M, M, 12:09
7, 11, L, L, 12:09
8, 0, L, H, 12:15
8, 1, L, L, 12:15
8, 2, L, L, 12:15
8, 3, L, L, 12:15
8, 4, L, L, 12:15
8, 5, L, L, 12:15
8, 6, L, L, 12:15
