#lineID, stationID, statusN, statusS, timestamp
0, 0, M, L, 8:21
0, 1, L, L, 8:21
0, 2, M, M, 8:21
0, 3, L, L, 8:21
0, 4, L, L, 8:21
0, 5, L, L, 8:21
0, 6, L, L, 8:21
0, 7, L, L, 8:21
0, 8, L, L, 8:21
0, 9, L, L, 8:21
0, 10, M, L, 8:21
0, 11, M, M, 8:21
0, 12, L, M, 8:21
0, 13, L, L, 8:21
0, 14, L, L, 8:21
0, 15, L, M, 8:21
0, 16, L, L, 8:21
0, 17, L, L, 8:21
0, 18, L, L, 8:21
0, 19, L, M, 8:21
0, 20, L, L, 8:21
0, 21, L, L, 8:21
0, 22, M, L, 8:21
0, 23, L, M, 8:21
0, 24, L, L, 8:21
0, 25, L, L, 8:21
0, 26, L, M, 8:21
0, 27, L, L, 8:21
0, 28, L, L, 8:21
0, 29, H, M, 8:21
0, 30, L, M, 8:21
0, 31, L, M, 8:21
0, 32, L, M, 8:21
0, 33, L, L, 8:21
0, 34, L, L, 8:21
0, 35, L, L, 8:21
0, 36, L, L, 8:21
1, 0, L, L, 8:21
1, 1, L, M, 8:21
1, 2, L, M, 8:21
1, 3, L, L, 8:21
1, 4, L, L, 8:21
1, 5, L, L, 8:21
1, 6, M, M, 8:21
1, 7, M, M, 8:21
1, 8, M, L, 8:21
1, 9, L, L, 8:21
1, 10, L, L, 8:21
1, 11, M, M, 8:21
2, 0, L, M, 8:21
2, 1, M, M, 8:21
2, 2, L, L, 8:21
2, 3, L, L, 8:21
2, 4, L, L, 8:21
2, 5, L, L, 8:21
2, 6, L, L, 8:21
2, 7, L, L, 8:21
2, 8, M, M, 8:21
2, 9, L, L, 8:21
2, 10, L, L, 8:21
2, 11, M, M, 8:21
2, 12, M, M, 8:21
2, 13, L, L, 8:21
2, 14, L, L, 8:21
2, 15, M, M, 8:21
2, 16, M, M, 8:21
2, 17, L, L, 8:21
2, 18, L, M, 8:21
2, 19, L, L, 8:21
2, 20, L, L, 8:21
2, 21, L, L, 8:21
2, 22, L, L, 8:21
2, 23, L, L, 8:21
2, 24, L, L, 8:21
3, 0, L, M, 8:21
3, 1, M, M, 8:21
3, 2, L, L, 8:21
3, 3, L, L, 8:21
3, 4, L, L, 8:21
3, 5, M, M, 8:21
3, 6, L, M, 8:21
3, 7, L, M, 8:21
4, 0, L, L, 8:21
4, 1, L, L, 8:21
4, 2, M, L, 8:21
4, 3, L, L, 8:21
4, 4, M, L, 8:21
4, 5, M, M, 8:21
4, 6, L, L, 8:21
4, 7, L, L, 8:21
4, 8, L, L, 8:21
4, 9, L, L, 8:21
4, 10, M, M, 8:21
4, 11, M, M, 8:21
4, 12, L, L, 8:21
4, 13, L, L, 8:21
4, 14, M, L, 8:21
4, 15, L, H, 8:21
4, 16, L, H, 8:21
4, 17, L, H, 8:21
4, 18, M, H, 8:21
5, 0, L, L, 8:06
5, 1, L, L, 8:06
5, 2, L, L, 8:06
5, 3, L, L, 8:06
5, 4, L, L, 8:06
5, 5, L, L, 8:06
5, 6, L, L, 8:06
5, 7, L, L, 8:06
5, 8, M, M, 8:06
5, 9, M, L, 8:06
5, 10, M, M, 8:06
5, 11, M, M, 8:06
5, 12, L, L, 8:06
5, 13, L, L, 8:06
5, 14, L, L, 8:06
6, 0, L, L, 8:06
6, 1, M, L, 8:06
6, 2, L, L, 8:06
6, 3, L, L, 8:06
6, 4, L, L, 8:06
6, 5, L, L, 8:06
6, 6, L, L, 8:06
7, 0, M, M, 8:22
7, 1, L, M, 8:22
7, 2, L, L, 8:22
7, 3, L, L, 8:22
7, 4, L, L, 8:22
7, 5, M, L, 8:22
7, 6, M, L, 8:22
7, 7, L, L, 8:22
7, 8, L, M, 8:22
7, 9, M, H, 8:22
7, 10, M, M, 8:22
7, 11, L, L, 8:22
8, 0, L, M, 8:06
8, 1, L, L, 8:06
8, 2, L, L, 8:06
8, 3, L, L, 8:06
8, 4, L, L, 8:06
8, 5, L, L, 8:06
8, 6, L, L, 8:06
