#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 2:18
0, 1, L, L, 2:18
0, 2, M, M, 2:18
0, 3, L, L, 2:18
0, 4, M, L, 2:18
0, 5, M, L, 2:18
0, 6, L, M, 2:18
0, 7, L, L, 2:18
0, 8, L, L, 2:18
0, 9, L, L, 2:18
0, 10, L, M, 2:18
0, 11, M, M, 2:18
0, 12, L, L, 2:18
0, 13, L, L, 2:18
0, 14, H, L, 2:18
0, 15, H, L, 2:18
0, 16, H, L, 2:18
0, 17, M, L, 2:18
0, 18, L, L, 2:18
0, 19, L, H, 2:18
0, 20, H, H, 2:18
0, 21, H, H, 2:18
0, 22, H, L, 2:18
0, 23, M, M, 2:18
0, 24, H, L, 2:18
0, 25, H, L, 2:18
0, 26, H, M, 2:18
0, 27, L, L, 2:18
0, 28, H, M, 2:18
0, 29, H, L, 2:18
0, 30, H, L, 2:18
0, 31, H, L, 2:18
0, 32, L, H, 2:18
0, 33, L, H, 2:18
0, 34, L, L, 2:18
0, 35, L, L, 2:18
0, 36, L, L, 2:18
1, 0, L, L, 2:13
1, 1, L, L, 2:13
1, 2, L, L, 2:13
1, 3, L, L, 2:13
1, 4, L, L, 2:13
1, 5, M, L, 2:13
1, 6, M, M, 2:13
1, 7, M, M, 2:13
1, 8, L, L, 2:13
1, 9, L, L, 2:13
1, 10, L, L, 2:13
1, 11, M, L, 2:13
2, 0, M, M, 2:13
2, 1, M, M, 2:13
2, 2, L, L, 2:13
2, 3, L, L, 2:13
2, 4, M, M, 2:13
2, 5, M, M, 2:13
2, 6, L, M, 2:13
2, 7, L, M, 2:13
2, 8, M, M, 2:13
2, 9, M, L, 2:13
2, 10, L, L, 2:13
2, 11, L, L, 2:13
2, 12, L, L, 2:13
2, 13, L, L, 2:13
2, 14, M, L, 2:13
2, 15, M, M, 2:13
2, 16, L, M, 2:13
2, 17, L, L, 2:13
2, 18, L, L, 2:13
2, 19, L, L, 2:13
2, 20, L, L, 2:13
2, 21, L, L, 2:13
2, 22, L, L, 2:13
2, 23, L, L, 2:13
2, 24, L, L, 2:13
3, 0, M, L, 2:29
3, 1, M, M, 2:29
3, 2, M, M, 2:29
3, 3, M, L, 2:29
3, 4, M, L, 2:29
3, 5, M, M, 2:29
3, 6, L, M, 2:29
3, 7, L, M, 2:29
4, 0, L, L, 2:31
4, 1, L, L, 2:31
4, 2, M, L, 2:31
4, 3, H, L, 2:31
4, 4, H, H, 2:31
4, 5, H, H, 2:31
4, 6, H, H, 2:31
4, 7, L, H, 2:31
4, 8, H, M, 2:31
4, 9, H, L, 2:31
4, 10, H, H, 2:31
4, 11, H, H, 2:31
4, 12, H, H, 2:31
4, 13, H, H, 2:31
4, 14, H, L, 2:31
4, 15, H, L, 2:31
4, 16, H, H, 2:31
4, 17, H, H, 2:31
4, 18, M, H, 2:31
5, 0, M, M, 2:29
5, 1, M, M, 2:29
5, 2, L, L, 2:29
5, 3, L, L, 2:29
5, 4, L, L, 2:29
5, 5, L, L, 2:29
5, 6, M, H, 2:29
5, 7, M, H, 2:29
5, 8, L, H, 2:29
5, 9, M, H, 2:29
5, 10, M, M, 2:29
5, 11, L, M, 2:29
5, 12, L, L, 2:29
5, 13, L, L, 2:29
5, 14, L, L, 2:29
6, 0, L, L, 2:14
6, 1, L, L, 2:14
6, 2, L, L, 2:14
6, 3, L, L, 2:14
6, 4, L, L, 2:14
6, 5, L, L, 2:14
6, 6, L, L, 2:14
7, 0, L, L, 2:14
7, 1, L, L, 2:14
7, 2, L, L, 2:14
7, 3, L, L, 2:14
7, 4, L, L, 2:14
7, 5, M, M, 2:14
7, 6, M, M, 2:14
7, 7, L, M, 2:14
7, 8, L, L, 2:14
7, 9, M, M, 2:14
7, 10, M, M, 2:14
7, 11, M, M, 2:14
8, 0, L, L, 2:26
8, 1, L, L, 2:26
8, 2, L, L, 2:26
8, 3, L, L, 2:26
8, 4, L, L, 2:26
8, 5, L, L, 2:26
8, 6, L, L, 2:26
