#lineID, stationID, statusN, statusS, timestamp
0, 0, L, L, 3:59
0, 1, L, L, 3:59
0, 2, M, M, 3:59
0, 3, L, L, 3:59
0, 4, L, L, 3:59
0, 5, L, L, 3:59
0, 6, L, L, 3:59
0, 7, L, L, 3:59
0, 8, L, L, 3:59
0, 9, L, L, 3:59
0, 10, H, H, 3:59
0, 11, H, H, 3:59
0, 12, H, H, 3:59
0, 13, H, L, 3:59
0, 14, H, L, 3:59
0, 15, H, M, 3:59
0, 16, H, L, 3:59
0, 17, M, M, 3:59
0, 18, L, L, 3:59
0, 19, L, H, 3:59
0, 20, L, H, 3:59
0, 21, L, H, 3:59
0, 22, M, H, 3:59
0, 23, L, H, 3:59
0, 24, L, H, 3:59
0, 25, L, L, 3:59
0, 26, L, M, 3:59
0, 27, L, L, 3:59
0, 28, L, L, 3:59
0, 29, L, M, 3:59
0, 30, L, L, 3:59
0, 31, M, L, 3:59
0, 32, L, H, 3:59
0, 33, L, H, 3:59
0, 34, L, L, 3:59
0, 35, L, L, 3:59
0, 36, L, L, 3:59
1, 0, L, L, 3:59
1, 1, L, L, 3:59
1, 2, L, M, 3:59
1, 3, L, M, 3:59
1, 4, L, L, 3:59
1, 5, L, L, 3:59
1, 6, M, M, 3:59
1, 7, M, M, 3:59
1, 8, L, L, 3:59
1, 9, L, L, 3:59
1, 10, L, L, 3:59
1, 11, M, M, 3:59
2, 0, M, M, 3:59
2, 1, L, M, 3:59
2, 2, L, L, 3:59
2, 3, L, L, 3:59
2, 4, M, M, 3:59
2, 5, M, M, 3:59
2, 6, M, M, 3:59
2, 7, L, L, 3:59
2, 8, L, L, 3:59
2, 9, M, M, 3:59
2, 10, M, M, 3:59
2, 11, L, L, 3:59
2, 12, M, M, 3:59
2, 13, L, L, 3:59
2, 14, M, L, 3:59
2, 15, M, M, 3:59
2, 16, L, M, 3:59
2, 17, L, L, 3:59
2, 18, M, M, 3:59
2, 19, L, L, 3:59
2, 20, L, L, 3:59
2, 21, L, L, 3:59
2, 22, L, L, 3:59
2, 23, M, L, 3:59
2, 24, M, L, 3:59
3, 0, M, M, 4:01
3, 1, M, M, 4:01
3, 2, M, M, 4:01
3, 3, M, M, 4:01
3, 4, M, M, 4:01
3, 5, M, M, 4:01
3, 6, L, M, 4:01
3, 7, M, M, 4:01
4, 0, L, M, 4:01
4, 1, M, M, 4:01
4, 2, L, L, 4:01
4, 3, H, L, 4:01
4, 4, H, H, 4:01
4, 5, H, H, 4:01
4, 6, L, H, 4:01
4, 7, L, M, 4:01
4, 8, L, L, 4:01
4, 9, H, L, 4:01
4, 10, M, H, 4:01
4, 11, L, H, 4:01
4, 12, L, H, 4:01
4, 13, L, H, 4:01
4, 14, L, H, 4:01
4, 15, L, H, 4:01
4, 16, M, H, 4:01
4, 17, L, H, 4:01
4, 18, L, M, 4:01
5, 0, M, H, 4:00
5, 1, M, H, 4:00
5, 2, L, H, 4:00
5, 3, L, L, 4:00
5, 4, L, L, 4:00
5, 5, M, L, 4:00
5, 6, M, H, 4:00
5, 7, L, H, 4:00
5, 8, H, H, 4:00
5, 9, H, H, 4:00
5, 10, H, H, 4:00
5, 11, H, M, 4:00
5, 12, L, L, 4:00
5, 13, L, L, 4:00
5, 14, L, L, 4:00
6, 0, M, L, 4:01
6, 1, M, L, 4:01
6, 2, L, L, 4:01
6, 3, L, L, 4:01
6, 4, L, L, 4:01
6, 5, M, M, 4:01
6, 6, M, M, 4:01
7, 0, M, M, 4:01
7, 1, L, L, 4:01
7, 2, M, M, 4:01
7, 3, M, M, 4:01
7, 4, L, L, 4:01
7, 5, M, M, 4:01
7, 6, M, M, 4:01
7, 7, L, L, 4:01
7, 8, L, M, 4:01
7, 9, M, H, 4:01
7, 10, M, H, 4:01
7, 11, M, H, 4:01
8, 0, L, L, 4:01
8, 1, L, L, 4:01
8, 2, L, L, 4:01
8, 3, L, L, 4:01
8, 4, L, L, 4:01
8, 5, L, L, 4:01
8, 6, L, L, 4:01
